"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int"
"881" "V3" 13 "gug" 12 "d" 9 "saw" "rt" 441 "ungram" "lo"
"8821" "V3" 13 "gug" 3 "c" 9 "looked_for" "rt" 521 "ungram" "hi"
"883" "V3" 13 "gug" 10 "b" 9 "shouted_at" "rt" 449 "gram" "lo"
"8841" "V3" 13 "gug" 13 "a" 9 "ignored" "rt" 521 "gram" "hi"
"885" "V3" 13 "gug" 2 "b" 9 "found" "rt" 441 "gram" "lo"
"8861" "V3" 13 "gug" 7 "c" 9 "saw" "rt" 401 "ungram" "hi"
"887" "V3" 13 "gug" 6 "b" 9 "brought_along" "rt" 529 "gram" "lo"
"8881" "V3" 13 "gug" 15 "c" 9 "described" "rt" 457 "ungram" "hi"
"889" "V3" 13 "gug" 5 "a" 9 "missed" "rt" 426 "gram" "hi"
"8901" "V3" 13 "gug" 14 "b" 9 "looked_at" "rt" 489 "gram" "lo"
"891" "V3" 13 "gug" 4 "d" 9 "hired" "rt" 425 "ungram" "lo"
"8921" "V3" 13 "gug" 8 "d" 9 "recognized" "rt" 425 "ungram" "lo"
"893" "V3" 13 "gug" 16 "d" 9 "liked" "rt" 433 "ungram" "lo"
"8941" "V3" 13 "gug" 11 "c" 9 "forgotten_about" "rt" 537 "ungram" "hi"
"895" "V3" 13 "gug" 9 "a" 9 "admired" "rt" 497 "gram" "hi"
"8961" "V3" 13 "gug" 1 "a" 9 "carried" "rt" 401 "gram" "hi"
"897" "V3" 14 "gug" 11 "d" 9 "forgotten_about" "rt" 1369 "ungram" "lo"
"8981" "V3" 14 "gug" 12 "a" 9 "saw" "rt" 401 "gram" "hi"
"899" "V3" 14 "gug" 8 "a" 9 "recognized" "rt" 3947 "gram" "hi"
"9001" "V3" 14 "gug" 15 "d" 9 "described" "rt" 337 "ungram" "lo"
"901" "V3" 14 "gug" 6 "c" 9 "brought_along" "rt" 1265 "ungram" "hi"
"9021" "V3" 14 "gug" 2 "c" 9 "found" "rt" 425 "ungram" "hi"
"903" "V3" 14 "gug" 5 "b" 9 "missed" "rt" 817 "gram" "lo"
"9041" "V3" 14 "gug" 14 "c" 9 "looked_at" "rt" 473 "ungram" "hi"
"905" "V3" 14 "gug" 4 "a" 9 "hired" "rt" 2609 "gram" "hi"
"9061" "V3" 14 "gug" 13 "b" 9 "ignored" "rt" 417 "gram" "lo"
"907" "V3" 14 "gug" 16 "a" 9 "liked" "rt" 1777 "gram" "hi"
"9081" "V3" 14 "gug" 9 "b" 9 "admired" "rt" 1593 "gram" "lo"
"909" "V3" 14 "gug" 7 "d" 9 "saw" "rt" 450 "ungram" "lo"
"9101" "V3" 14 "gug" 1 "b" 9 "carried" "rt" 585 "gram" "lo"
"911" "V3" 14 "gug" 3 "d" 9 "looked_for" "rt" 593 "ungram" "lo"
"9121" "V3" 14 "gug" 10 "c" 9 "shouted_at" "rt" 665 "ungram" "hi"
"913" "V3" 15 "gug" 1 "c" 9 "carried" "rt" 417 "ungram" "hi"
"9141" "V3" 15 "gug" 15 "a" 9 "described" "rt" 393 "gram" "hi"
"915" "V3" 15 "gug" 3 "a" 9 "looked_for" "rt" 361 "gram" "hi"
"9161" "V3" 15 "gug" 9 "c" 9 "admired" "rt" 633 "ungram" "hi"
"917" "V3" 15 "gug" 7 "a" 9 "saw" "rt" 353 "gram" "hi"
"9181" "V3" 15 "gug" 16 "b" 9 "liked" "rt" 409 "gram" "lo"
"919" "V3" 15 "gug" 5 "c" 9 "missed" "rt" 377 "ungram" "hi"
"9201" "V3" 15 "gug" 13 "c" 9 "ignored" "rt" 417 "ungram" "hi"
"921" "V3" 15 "gug" 8 "b" 9 "recognized" "rt" 361 "gram" "lo"
"9221" "V3" 15 "gug" 14 "d" 9 "looked_at" "rt" 6377 "ungram" "lo"
"923" "V3" 15 "gug" 4 "b" 9 "hired" "rt" 2761 "gram" "lo"
"9241" "V3" 15 "gug" 10 "d" 9 "shouted_at" "rt" 4601 "ungram" "lo"
"925" "V3" 15 "gug" 11 "a" 9 "forgotten_about" "rt" 5745 "gram" "hi"
"9261" "V3" 15 "gug" 12 "b" 9 "saw" "rt" 2313 "gram" "lo"
"927" "V3" 15 "gug" 6 "d" 9 "brought_along" "rt" 1977 "ungram" "lo"
"9281" "V3" 15 "gug" 2 "d" 9 "found" "rt" 569 "ungram" "lo"
"929" "V3" 16 "gug" 13 "d" 9 "ignored" "rt" 1353 "ungram" "lo"
"9301" "V3" 16 "gug" 12 "c" 9 "saw" "rt" 1345 "ungram" "hi"
"931" "V3" 16 "gug" 2 "a" 9 "found" "rt" 394 "gram" "hi"
"9321" "V3" 16 "gug" 7 "b" 9 "saw" "rt" 441 "gram" "lo"
"933" "V3" 16 "gug" 14 "a" 9 "looked_at" "rt" 1305 "gram" "hi"
"9341" "V3" 16 "gug" 6 "a" 9 "brought_along" "rt" 1992 "gram" "hi"
"935" "V3" 16 "gug" 11 "b" 9 "forgotten_about" "rt" 1929 "gram" "lo"
"9361" "V3" 16 "gug" 8 "c" 9 "recognized" "rt" 2553 "ungram" "hi"
"937" "V3" 16 "gug" 5 "d" 9 "missed" "rt" 377 "ungram" "lo"
"9381" "V3" 16 "gug" 16 "c" 9 "liked" "rt" 1313 "ungram" "hi"
"939" "V3" 16 "gug" 9 "d" 9 "admired" "rt" 1529 "ungram" "lo"
"9401" "V3" 16 "gug" 4 "c" 9 "hired" "rt" 449 "ungram" "hi"
"941" "V3" 16 "gug" 15 "b" 9 "described" "rt" 1201 "gram" "lo"
"9421" "V3" 16 "gug" 1 "d" 9 "carried" "rt" 505 "ungram" "lo"
"943" "V3" 16 "gug" 10 "a" 9 "shouted_at" "rt" 633 "gram" "hi"
"9441" "V3" 16 "gug" 3 "b" 9 "looked_for" "rt" 945 "gram" "lo"
"945" "V3" 17 "gug" 4 "d" 9 "hired" "rt" 577 "ungram" "lo"
"9461" "V3" 17 "gug" 5 "a" 9 "missed" "rt" 961 "gram" "hi"
"947" "V3" 17 "gug" 16 "d" 9 "liked" "rt" 889 "ungram" "lo"
"9481" "V3" 17 "gug" 14 "b" 9 "looked_at" "rt" 897 "gram" "lo"
"949" "V3" 17 "gug" 3 "c" 9 "looked_for" "rt" 953 "ungram" "hi"
"9501" "V3" 17 "gug" 9 "a" 9 "admired" "rt" 841 "gram" "hi"
"951" "V3" 17 "gug" 11 "c" 9 "forgotten_about" "rt" 1889 "ungram" "hi"
"9521" "V3" 17 "gug" 8 "d" 9 "recognized" "rt" 1449 "ungram" "lo"
"953" "V3" 17 "gug" 7 "c" 9 "saw" "rt" 785 "ungram" "hi"
"9541" "V3" 17 "gug" 10 "b" 9 "shouted_at" "rt" 1449 "gram" "lo"
"955" "V3" 17 "gug" 13 "a" 9 "ignored" "rt" 937 "gram" "hi"
"9561" "V3" 17 "gug" 6 "b" 9 "brought_along" "rt" 1745 "gram" "lo"
"957" "V3" 17 "gug" 2 "b" 9 "found" "rt" 665 "gram" "lo"
"9581" "V3" 17 "gug" 15 "c" 9 "described" "rt" 985 "ungram" "hi"
"959" "V3" 17 "gug" 1 "a" 9 "carried" "rt" 849 "gram" "hi"
"9601" "V3" 17 "gug" 12 "d" 9 "saw" "rt" 650 "ungram" "lo"
"961" "V3" 18 "gug" 6 "c" 9 "brought_along" "rt" 4257 "ungram" "hi"
"9621" "V3" 18 "gug" 5 "b" 9 "missed" "rt" 377 "gram" "lo"
"963" "V3" 18 "gug" 8 "a" 9 "recognized" "rt" 4704 "gram" "hi"
"9641" "V3" 18 "gug" 12 "a" 9 "saw" "rt" 3129 "gram" "hi"
"965" "V3" 18 "gug" 4 "a" 9 "hired" "rt" 4889 "gram" "hi"
"9661" "V3" 18 "gug" 10 "c" 9 "shouted_at" "rt" 2033 "ungram" "hi"
"967" "V3" 18 "gug" 1 "b" 9 "carried" "rt" 2409 "gram" "lo"
"9681" "V3" 18 "gug" 3 "d" 9 "looked_for" "rt" 4169 "ungram" "lo"
"969" "V3" 18 "gug" 9 "b" 9 "admired" "rt" 2808 "gram" "lo"
"9701" "V3" 18 "gug" 7 "d" 9 "saw" "rt" 730 "ungram" "lo"
"971" "V3" 18 "gug" 11 "d" 9 "forgotten_about" "rt" 1617 "ungram" "lo"
"9721" "V3" 18 "gug" 13 "b" 9 "ignored" "rt" 3057 "gram" "lo"
"973" "V3" 18 "gug" 16 "a" 9 "liked" "rt" 1657 "gram" "hi"
"9741" "V3" 18 "gug" 15 "d" 9 "described" "rt" 2249 "ungram" "lo"
"975" "V3" 18 "gug" 2 "c" 9 "found" "rt" 953 "ungram" "hi"
"9761" "V3" 18 "gug" 14 "c" 9 "looked_at" "rt" 5137 "ungram" "hi"
"977" "V3" 19 "gug" 9 "c" 9 "admired" "rt" 4545 "ungram" "hi"
"9781" "V3" 19 "gug" 10 "d" 9 "shouted_at" "rt" 993 "ungram" "lo"
"979" "V3" 19 "gug" 3 "a" 9 "looked_for" "rt" 457 "gram" "hi"
"9801" "V3" 19 "gug" 13 "c" 9 "ignored" "rt" 745 "ungram" "hi"
"981" "V3" 19 "gug" 11 "a" 9 "forgotten_about" "rt" 657 "gram" "hi"
"9821" "V3" 19 "gug" 4 "b" 9 "hired" "rt" 2441 "gram" "lo"
"983" "V3" 19 "gug" 5 "c" 9 "missed" "rt" 2641 "ungram" "hi"
"9841" "V3" 19 "gug" 2 "d" 9 "found" "rt" 369 "ungram" "lo"
"985" "V3" 19 "gug" 14 "d" 9 "looked_at" "rt" 377 "ungram" "lo"
"9861" "V3" 19 "gug" 8 "b" 9 "recognized" "rt" 3561 "gram" "lo"
"987" "V3" 19 "gug" 15 "a" 9 "described" "rt" 1017 "gram" "hi"
"9881" "V3" 19 "gug" 16 "b" 9 "liked" "rt" 361 "gram" "lo"
"989" "V3" 19 "gug" 1 "c" 9 "carried" "rt" 705 "ungram" "hi"
"9901" "V3" 19 "gug" 7 "a" 9 "saw" "rt" 378 "gram" "hi"
"991" "V3" 19 "gug" 12 "b" 9 "saw" "rt" 722 "gram" "lo"
"9921" "V3" 19 "gug" 6 "d" 9 "brought_along" "rt" 217 "ungram" "lo"
"993" "V3" 2 "gug" 4 "a" 9 "hired" "rt" 265 "gram" "hi"
"9941" "V3" 2 "gug" 5 "b" 9 "missed" "rt" 241 "gram" "lo"
"995" "V3" 2 "gug" 12 "a" 9 "saw" "rt" 529 "gram" "hi"
"9961" "V3" 2 "gug" 6 "c" 9 "brought_along" "rt" 329 "ungram" "hi"
"997" "V3" 2 "gug" 2 "c" 9 "found" "rt" 265 "ungram" "hi"
"9981" "V3" 2 "gug" 3 "d" 9 "looked_for" "rt" 265 "ungram" "lo"
"999" "V3" 2 "gug" 1 "b" 9 "carried" "rt" 257 "gram" "lo"
"10001" "V3" 2 "gug" 14 "c" 9 "looked_at" "rt" 641 "ungram" "hi"
"1001" "V3" 2 "gug" 15 "d" 9 "described" "rt" 641 "ungram" "lo"
"10021" "V3" 2 "gug" 9 "b" 9 "admired" "rt" 241 "gram" "lo"
"1003" "V3" 2 "gug" 10 "c" 9 "shouted_at" "rt" 233 "ungram" "hi"
"10041" "V3" 2 "gug" 16 "a" 9 "liked" "rt" 290 "gram" "hi"
"1005" "V3" 2 "gug" 7 "d" 9 "saw" "rt" 202 "ungram" "lo"
"10061" "V3" 2 "gug" 11 "d" 9 "forgotten_about" "rt" 809 "ungram" "lo"
"1007" "V3" 2 "gug" 8 "a" 9 "recognized" "rt" 217 "gram" "hi"
"10081" "V3" 2 "gug" 13 "b" 9 "ignored" "rt" 345 "gram" "lo"
"1009" "V3" 20 "gug" 11 "b" 9 "forgotten_about" "rt" 1401 "gram" "lo"
"10101" "V3" 20 "gug" 2 "a" 9 "found" "rt" 401 "gram" "hi"
"1011" "V3" 20 "gug" 14 "a" 9 "looked_at" "rt" 1185 "gram" "hi"
"10121" "V3" 20 "gug" 13 "d" 9 "ignored" "rt" 513 "ungram" "lo"
"1013" "V3" 20 "gug" 6 "a" 9 "brought_along" "rt" 1457 "gram" "hi"
"10141" "V3" 20 "gug" 10 "a" 9 "shouted_at" "rt" 497 "gram" "hi"
"1015" "V3" 20 "gug" 1 "d" 9 "carried" "rt" 961 "ungram" "lo"
"10161" "V3" 20 "gug" 7 "b" 9 "saw" "rt" 425 "gram" "lo"
"1017" "V3" 20 "gug" 9 "d" 9 "admired" "rt" 529 "ungram" "lo"
"10181" "V3" 20 "gug" 5 "d" 9 "missed" "rt" 873 "ungram" "lo"
"1019" "V3" 20 "gug" 16 "c" 9 "liked" "rt" 538 "ungram" "hi"
"10201" "V3" 20 "gug" 12 "c" 9 "saw" "rt" 721 "ungram" "hi"
"1021" "V3" 20 "gug" 8 "c" 9 "recognized" "rt" 505 "ungram" "hi"
"10221" "V3" 20 "gug" 4 "c" 9 "hired" "rt" 689 "ungram" "hi"
"1023" "V3" 20 "gug" 3 "b" 9 "looked_for" "rt" 417 "gram" "lo"
"10241" "V3" 20 "gug" 15 "b" 9 "described" "rt" 681 "gram" "lo"
"1025" "V3" 21 "gug" 14 "b" 9 "looked_at" "rt" 289 "gram" "lo"
"10261" "V3" 21 "gug" 13 "a" 9 "ignored" "rt" 1441 "gram" "hi"
"1027" "V3" 21 "gug" 16 "d" 9 "liked" "rt" 257 "ungram" "lo"
"10281" "V3" 21 "gug" 3 "c" 9 "looked_for" "rt" 473 "ungram" "hi"
"1029" "V3" 21 "gug" 12 "d" 9 "saw" "rt" 394 "ungram" "lo"
"10301" "V3" 21 "gug" 1 "a" 9 "carried" "rt" 345 "gram" "hi"
"1031" "V3" 21 "gug" 10 "b" 9 "shouted_at" "rt" 6977 "gram" "lo"
"10321" "V3" 21 "gug" 7 "c" 9 "saw" "rt" 337 "ungram" "hi"
"1033" "V3" 21 "gug" 11 "c" 9 "forgotten_about" "rt" 273 "ungram" "hi"
"10341" "V3" 21 "gug" 2 "b" 9 "found" "rt" 242 "gram" "lo"
"1035" "V3" 21 "gug" 5 "a" 9 "missed" "rt" 457 "gram" "hi"
"10361" "V3" 21 "gug" 15 "c" 9 "described" "rt" 225 "ungram" "hi"
"1037" "V3" 21 "gug" 6 "b" 9 "brought_along" "rt" 489 "gram" "lo"
"10381" "V3" 21 "gug" 4 "d" 9 "hired" "rt" 186 "ungram" "lo"
"1039" "V3" 21 "gug" 8 "d" 9 "recognized" "rt" 313 "ungram" "lo"
"10401" "V3" 21 "gug" 9 "a" 9 "admired" "rt" 361 "gram" "hi"
"1041" "V3" 22 "gug" 16 "a" 9 "liked" "rt" 986 "gram" "hi"
"10421" "V3" 22 "gug" 8 "a" 9 "recognized" "rt" 1049 "gram" "hi"
"1043" "V3" 22 "gug" 4 "a" 9 "hired" "rt" 1433 "gram" "hi"
"10441" "V3" 22 "gug" 2 "c" 9 "found" "rt" 833 "ungram" "hi"
"1045" "V3" 22 "gug" 1 "b" 9 "carried" "rt" 1065 "gram" "lo"
"10461" "V3" 22 "gug" 15 "d" 9 "described" "rt" 569 "ungram" "lo"
"1047" "V3" 22 "gug" 10 "c" 9 "shouted_at" "rt" 1409 "ungram" "hi"
"10481" "V3" 22 "gug" 9 "b" 9 "admired" "rt" 681 "gram" "lo"
"1049" "V3" 22 "gug" 13 "b" 9 "ignored" "rt" 465 "gram" "lo"
"10501" "V3" 22 "gug" 6 "c" 9 "brought_along" "rt" 904 "ungram" "hi"
"1051" "V3" 22 "gug" 14 "c" 9 "looked_at" "rt" 457 "ungram" "hi"
"10521" "V3" 22 "gug" 5 "b" 9 "missed" "rt" 353 "gram" "lo"
"1053" "V3" 22 "gug" 7 "d" 9 "saw" "rt" 410 "ungram" "lo"
"10541" "V3" 22 "gug" 3 "d" 9 "looked_for" "rt" 529 "ungram" "lo"
"1055" "V3" 22 "gug" 11 "d" 9 "forgotten_about" "rt" 473 "ungram" "lo"
"10561" "V3" 22 "gug" 12 "a" 9 "saw" "rt" 417 "gram" "hi"
"1057" "V3" 23 "gug" 7 "a" 9 "saw" "rt" 401 "gram" "hi"
"10581" "V3" 23 "gug" 3 "a" 9 "looked_for" "rt" 561 "gram" "hi"
"1059" "V3" 23 "gug" 14 "d" 9 "looked_at" "rt" 1601 "ungram" "lo"
"10601" "V3" 23 "gug" 5 "c" 9 "missed" "rt" 625 "ungram" "hi"
"1061" "V3" 23 "gug" 6 "d" 9 "brought_along" "rt" 1297 "ungram" "lo"
"10621" "V3" 23 "gug" 2 "d" 9 "found" "rt" 554 "ungram" "lo"
"1063" "V3" 23 "gug" 13 "c" 9 "ignored" "rt" 569 "ungram" "hi"
"10641" "V3" 23 "gug" 10 "d" 9 "shouted_at" "rt" 833 "ungram" "lo"
"1065" "V3" 23 "gug" 1 "c" 9 "carried" "rt" 1641 "ungram" "hi"
"10661" "V3" 23 "gug" 16 "b" 9 "liked" "rt" 457 "gram" "lo"
"1067" "V3" 23 "gug" 11 "a" 9 "forgotten_about" "rt" 1032 "gram" "hi"
"10681" "V3" 23 "gug" 8 "b" 9 "recognized" "rt" 489 "gram" "lo"
"1069" "V3" 23 "gug" 12 "b" 9 "saw" "rt" 1106 "gram" "lo"
"10701" "V3" 23 "gug" 9 "c" 9 "admired" "rt" 513 "ungram" "hi"
"1071" "V3" 23 "gug" 15 "a" 9 "described" "rt" 377 "gram" "hi"
"10721" "V3" 23 "gug" 4 "b" 9 "hired" "rt" 425 "gram" "lo"
"1073" "V3" 24 "gug" 7 "b" 9 "saw" "rt" 641 "gram" "lo"
"10741" "V3" 24 "gug" 8 "c" 9 "recognized" "rt" 833 "ungram" "hi"
"1075" "V3" 24 "gug" 13 "d" 9 "ignored" "rt" 921 "ungram" "lo"
"10761" "V3" 24 "gug" 14 "a" 9 "looked_at" "rt" 441 "gram" "hi"
"1077" "V3" 24 "gug" 15 "b" 9 "described" "rt" 449 "gram" "lo"
"10781" "V3" 24 "gug" 6 "a" 9 "brought_along" "rt" 593 "gram" "hi"
"1079" "V3" 24 "gug" 9 "d" 9 "admired" "rt" 433 "ungram" "lo"
"10801" "V3" 24 "gug" 4 "c" 9 "hired" "rt" 745 "ungram" "hi"
"1081" "V3" 24 "gug" 12 "c" 9 "saw" "rt" 409 "ungram" "hi"
"10821" "V3" 24 "gug" 3 "b" 9 "looked_for" "rt" 601 "gram" "lo"
"1083" "V3" 24 "gug" 16 "c" 9 "liked" "rt" 537 "ungram" "hi"
"10841" "V3" 24 "gug" 5 "d" 9 "missed" "rt" 537 "ungram" "lo"
"1085" "V3" 24 "gug" 1 "d" 9 "carried" "rt" 497 "ungram" "lo"
"10861" "V3" 24 "gug" 11 "b" 9 "forgotten_about" "rt" 601 "gram" "lo"
"1087" "V3" 24 "gug" 10 "a" 9 "shouted_at" "rt" 681 "gram" "hi"
"10881" "V3" 24 "gug" 2 "a" 9 "found" "rt" 649 "gram" "hi"
"1089" "V3" 25 "gug" 11 "c" 9 "forgotten_about" "rt" 921 "ungram" "hi"
"10901" "V3" 25 "gug" 3 "c" 9 "looked_for" "rt" 321 "ungram" "hi"
"1091" "V3" 25 "gug" 5 "a" 9 "missed" "rt" 329 "gram" "hi"
"10921" "V3" 25 "gug" 6 "b" 9 "brought_along" "rt" 393 "gram" "lo"
"1093" "V3" 25 "gug" 1 "a" 9 "carried" "rt" 225 "gram" "hi"
"10941" "V3" 25 "gug" 14 "b" 9 "looked_at" "rt" 210 "gram" "lo"
"1095" "V3" 25 "gug" 8 "d" 9 "recognized" "rt" 257 "ungram" "lo"
"10961" "V3" 25 "gug" 10 "b" 9 "shouted_at" "rt" 282 "gram" "lo"
"1097" "V3" 25 "gug" 4 "d" 9 "hired" "rt" 329 "ungram" "lo"
"10981" "V3" 25 "gug" 9 "a" 9 "admired" "rt" 249 "gram" "hi"
"1099" "V3" 25 "gug" 16 "d" 9 "liked" "rt" 522 "ungram" "lo"
"11001" "V3" 25 "gug" 2 "b" 9 "found" "rt" 281 "gram" "lo"
"1101" "V3" 25 "gug" 13 "a" 9 "ignored" "rt" 353 "gram" "hi"
"11021" "V3" 25 "gug" 12 "d" 9 "saw" "rt" 466 "ungram" "lo"
"1103" "V3" 25 "gug" 7 "c" 9 "saw" "rt" 249 "ungram" "hi"
"11041" "V3" 25 "gug" 15 "c" 9 "described" "rt" 209 "ungram" "hi"
"1105" "V3" 26 "gug" 9 "b" 9 "admired" "rt" 809 "gram" "lo"
"11061" "V3" 26 "gug" 7 "d" 9 "saw" "rt" 490 "ungram" "lo"
"1107" "V3" 26 "gug" 3 "d" 9 "looked_for" "rt" 473 "ungram" "lo"
"11081" "V3" 26 "gug" 12 "a" 9 "saw" "rt" 450 "gram" "hi"
"1109" "V3" 26 "gug" 4 "a" 9 "hired" "rt" 441 "gram" "hi"
"11101" "V3" 26 "gug" 14 "c" 9 "looked_at" "rt" 489 "ungram" "hi"
"1111" "V3" 26 "gug" 16 "a" 9 "liked" "rt" 585 "gram" "hi"
"11121" "V3" 26 "gug" 10 "c" 9 "shouted_at" "rt" 497 "ungram" "hi"
"1113" "V3" 26 "gug" 2 "c" 9 "found" "rt" 345 "ungram" "hi"
"11141" "V3" 26 "gug" 6 "c" 9 "brought_along" "rt" 728 "ungram" "hi"
"1115" "V3" 26 "gug" 8 "a" 9 "recognized" "rt" 537 "gram" "hi"
"11161" "V3" 26 "gug" 13 "b" 9 "ignored" "rt" 729 "gram" "lo"
"1117" "V3" 26 "gug" 11 "d" 9 "forgotten_about" "rt" 313 "ungram" "lo"
"11181" "V3" 26 "gug" 15 "d" 9 "described" "rt" 577 "ungram" "lo"
"1119" "V3" 26 "gug" 5 "b" 9 "missed" "rt" 385 "gram" "lo"
"11201" "V3" 26 "gug" 1 "b" 9 "carried" "rt" 425 "gram" "lo"
"1121" "V3" 27 "gug" 8 "b" 9 "recognized" "rt" 769 "gram" "lo"
"11221" "V3" 27 "gug" 14 "d" 9 "looked_at" "rt" 817 "ungram" "lo"
"1123" "V3" 27 "gug" 6 "d" 9 "brought_along" "rt" 681 "ungram" "lo"
"11241" "V3" 27 "gug" 13 "c" 9 "ignored" "rt" 497 "ungram" "hi"
"1125" "V3" 27 "gug" 2 "d" 9 "found" "rt" 369 "ungram" "lo"
"11261" "V3" 27 "gug" 12 "b" 9 "saw" "rt" 401 "gram" "lo"
"1127" "V3" 27 "gug" 9 "c" 9 "admired" "rt" 449 "ungram" "hi"
"11281" "V3" 27 "gug" 1 "c" 9 "carried" "rt" 401 "ungram" "hi"
"1129" "V3" 27 "gug" 7 "a" 9 "saw" "rt" 370 "gram" "hi"
"11301" "V3" 27 "gug" 4 "b" 9 "hired" "rt" 393 "gram" "lo"
"1131" "V3" 27 "gug" 3 "a" 9 "looked_for" "rt" 905 "gram" "hi"
"11321" "V3" 27 "gug" 10 "d" 9 "shouted_at" "rt" 377 "ungram" "lo"
"1133" "V3" 27 "gug" 5 "c" 9 "missed" "rt" 393 "ungram" "hi"
"11341" "V3" 27 "gug" 11 "a" 9 "forgotten_about" "rt" 609 "gram" "hi"
"1135" "V3" 27 "gug" 15 "a" 9 "described" "rt" 649 "gram" "hi"
"11361" "V3" 27 "gug" 16 "b" 9 "liked" "rt" 329 "gram" "lo"
"1137" "V3" 28 "gug" 6 "a" 9 "brought_along" "rt" 2600 "gram" "hi"
"11381" "V3" 28 "gug" 11 "b" 9 "forgotten_about" "rt" 449 "gram" "lo"
"1139" "V3" 28 "gug" 12 "c" 9 "saw" "rt" 3953 "ungram" "hi"
"11401" "V3" 28 "gug" 2 "a" 9 "found" "rt" 5200 "gram" "hi"
"1141" "V3" 28 "gug" 10 "a" 9 "shouted_at" "rt" 1728 "gram" "hi"
"11421" "V3" 28 "gug" 16 "c" 9 "liked" "rt" 2457 "ungram" "hi"
"1143" "V3" 28 "gug" 8 "c" 9 "recognized" "rt" 3641 "ungram" "hi"
"11441" "V3" 28 "gug" 9 "d" 9 "admired" "rt" 353 "ungram" "lo"
"1145" "V3" 28 "gug" 14 "a" 9 "looked_at" "rt" 882 "gram" "hi"
"11461" "V3" 28 "gug" 3 "b" 9 "looked_for" "rt" 608 "gram" "lo"
"1147" "V3" 28 "gug" 5 "d" 9 "missed" "rt" 585 "ungram" "lo"
"11481" "V3" 28 "gug" 4 "c" 9 "hired" "rt" 393 "ungram" "hi"
"1149" "V3" 28 "gug" 13 "d" 9 "ignored" "rt" 577 "ungram" "lo"
"11501" "V3" 28 "gug" 1 "d" 9 "carried" "rt" 649 "ungram" "lo"
"1151" "V3" 28 "gug" 15 "b" 9 "described" "rt" 433 "gram" "lo"
"11521" "V3" 28 "gug" 7 "b" 9 "saw" "rt" 2993 "gram" "lo"
"1153" "V3" 29 "gug" 5 "a" 9 "missed" "rt" 449 "gram" "hi"
"11541" "V3" 29 "gug" 1 "a" 9 "carried" "rt" 361 "gram" "hi"
"1155" "V3" 29 "gug" 15 "c" 9 "described" "rt" 393 "ungram" "hi"
"11561" "V3" 29 "gug" 7 "c" 9 "saw" "rt" 361 "ungram" "hi"
"1157" "V3" 29 "gug" 10 "b" 9 "shouted_at" "rt" 337 "gram" "lo"
"11581" "V3" 29 "gug" 9 "a" 9 "admired" "rt" 377 "gram" "hi"
"1159" "V3" 29 "gug" 4 "d" 9 "hired" "rt" 513 "ungram" "lo"
"11601" "V3" 29 "gug" 2 "b" 9 "found" "rt" 361 "gram" "lo"
"1161" "V3" 29 "gug" 3 "c" 9 "looked_for" "rt" 2041 "ungram" "hi"
"11621" "V3" 29 "gug" 13 "a" 9 "ignored" "rt" 449 "gram" "hi"
"1163" "V3" 29 "gug" 11 "c" 9 "forgotten_about" "rt" 1816 "ungram" "hi"
"11641" "V3" 29 "gug" 14 "b" 9 "looked_at" "rt" 1809 "gram" "lo"
"1165" "V3" 29 "gug" 8 "d" 9 "recognized" "rt" 337 "ungram" "lo"
"11661" "V3" 29 "gug" 16 "d" 9 "liked" "rt" 3745 "ungram" "lo"
"1167" "V3" 29 "gug" 12 "d" 9 "saw" "rt" 2457 "ungram" "lo"
"11681" "V3" 29 "gug" 6 "b" 9 "brought_along" "rt" 2945 "gram" "lo"
"1169" "V3" 3 "gug" 3 "a" 9 "looked_for" "rt" 1017 "gram" "hi"
"11701" "V3" 3 "gug" 1 "c" 9 "carried" "rt" 313 "ungram" "hi"
"1171" "V3" 3 "gug" 14 "d" 9 "looked_at" "rt" 329 "ungram" "lo"
"11721" "V3" 3 "gug" 2 "d" 9 "found" "rt" 354 "ungram" "lo"
"1173" "V3" 3 "gug" 16 "b" 9 "liked" "rt" 322 "gram" "lo"
"11741" "V3" 3 "gug" 15 "a" 9 "described" "rt" 361 "gram" "hi"
"1175" "V3" 3 "gug" 4 "b" 9 "hired" "rt" 369 "gram" "lo"
"11761" "V3" 3 "gug" 11 "a" 9 "forgotten_about" "rt" 785 "gram" "hi"
"1177" "V3" 3 "gug" 8 "b" 9 "recognized" "rt" 601 "gram" "lo"
"11781" "V3" 3 "gug" 5 "c" 9 "missed" "rt" 273 "ungram" "hi"
"1179" "V3" 3 "gug" 12 "b" 9 "saw" "rt" 650 "gram" "lo"
"11801" "V3" 3 "gug" 9 "c" 9 "admired" "rt" 1025 "ungram" "hi"
"1181" "V3" 3 "gug" 10 "d" 9 "shouted_at" "rt" 905 "ungram" "lo"
"11821" "V3" 3 "gug" 13 "c" 9 "ignored" "rt" 289 "ungram" "hi"
"1183" "V3" 3 "gug" 6 "d" 9 "brought_along" "rt" 625 "ungram" "lo"
"11841" "V3" 3 "gug" 7 "a" 9 "saw" "rt" 305 "gram" "hi"
"1185" "V3" 30 "gug" 10 "c" 9 "shouted_at" "rt" 2561 "ungram" "hi"
"11861" "V3" 30 "gug" 4 "a" 9 "hired" "rt" 1265 "gram" "hi"
"1187" "V3" 30 "gug" 5 "b" 9 "missed" "rt" 617 "gram" "lo"
