"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int"
"140" "NP3" 8 "gug" 16 "c" 8 "friend" "rt" 660 "ungram" "hi"
"142" "NP3" 8 "gug" 12 "c" 8 "teacher" "rt" 396 "ungram" "hi"
"144" "NP3" 8 "gug" 2 "a" 8 "sister" "rt" 347 "gram" "hi"
"146" "NP3" 8 "gug" 7 "b" 8 "stranger" "rt" 362 "gram" "lo"
"148" "NP3" 8 "gug" 5 "d" 8 "father" "rt" 820 "ungram" "lo"
"150" "NP3" 8 "gug" 1 "d" 8 "peasant" "rt" 411 "ungram" "lo"
"152" "NP3" 8 "gug" 15 "b" 8 "peasant" "rt" 403 "gram" "lo"
"154" "NP3" 8 "gug" 14 "a" 8 "spy" "rt" 1060 "gram" "hi"
"156" "NP3" 8 "gug" 8 "c" 8 "doctor" "rt" 675 "ungram" "hi"
"158" "NP3" 8 "gug" 6 "a" 8 "conductor" "rt" 443 "gram" "hi"
"160" "NP3" 8 "gug" 4 "c" 8 "professor" "rt" 628 "ungram" "hi"
"162" "NP3" 13 "gug" 12 "d" 8 "teacher" "rt" 1108 "ungram" "lo"
"164" "NP3" 13 "gug" 3 "c" 8 "foreman" "rt" 1012 "ungram" "hi"
"166" "NP3" 13 "gug" 10 "b" 8 "guard" "rt" 996 "gram" "lo"
"168" "NP3" 13 "gug" 13 "a" 8 "worker" "rt" 1148 "gram" "hi"
"170" "NP3" 13 "gug" 2 "b" 8 "sister" "rt" 1107 "gram" "lo"
"172" "NP3" 13 "gug" 7 "c" 8 "stranger" "rt" 1323 "ungram" "hi"
"174" "NP3" 13 "gug" 6 "b" 8 "conductor" "rt" 1027 "gram" "lo"
"176" "NP3" 13 "gug" 15 "c" 8 "peasant" "rt" 1163 "ungram" "hi"
"178" "NP3" 13 "gug" 5 "a" 8 "father" "rt" 908 "gram" "hi"
"180" "NP3" 13 "gug" 14 "b" 8 "spy" "rt" 1116 "gram" "lo"
"182" "NP3" 13 "gug" 4 "d" 8 "professor" "rt" 1012 "ungram" "lo"
"184" "NP3" 13 "gug" 8 "d" 8 "doctor" "rt" 835 "ungram" "lo"
"186" "NP3" 13 "gug" 16 "d" 8 "friend" "rt" 844 "ungram" "lo"
