"subj" "group" "sent" "pos" "condfill" "raw" "wl" "res"
"91" "s11" "sent3" "g1" "pos7" "J" 3011 4 2127.169
"92" "s11" "sent9" "g1" "pos7" "L" 1090 4 206.1688
"93" "s11" "sent20" "g1" "pos7" "J" 4054 13 2528.92
"94" "s11" "sent23" "g1" "pos7" "L" 1598 9 357.9192
"95" "s11" "sent30" "g1" "pos7" "J" 1115 4 231.1688
"96" "s11" "sent33" "g1" "pos7" "L" 3825 9 2584.919
"97" "s11" "sent56" "g1" "pos7" "L" 1474 4 590.1688
"98" "s11" "sent59" "g1" "pos7" "J" 1566 5 610.9189
"99" "s11" "sent76" "g1" "pos7" "J" 1414 5 458.9189
"100" "s12" "sent7" "g2" "pos7" "L" 1071 10 -149.214
"101" "s12" "sent13" "g2" "pos7" "J" 953 5 -4.352343
"102" "s12" "sent17" "g2" "pos7" "L" 946 9 -221.6416
"103" "s12" "sent27" "g2" "pos7" "J" 905 4 0.2199802
"104" "s12" "sent38" "g2" "pos7" "L" 863 10 -357.214
"105" "s12" "sent41" "g2" "pos7" "J" 601 6 -408.9247
"106" "s12" "sent49" "g2" "pos7" "L" 700 12 -625.3586
"107" "s12" "sent53" "g2" "pos7" "J" 755 9 -412.6416
"108" "s12" "sent62" "g2" "pos7" "J" 475 9 -692.6416
"109" "s12" "sent66" "g2" "pos7" "L" 677 5 -280.3523
"110" "s12" "sent69" "g2" "pos7" "J" 887 5 -70.35234
"111" "s12" "sent71" "g2" "pos7" "L" 583 9 -584.6416
"112" "s13" "sent7" "g2" "pos7" "L" 964 10 100.096
"113" "s13" "sent13" "g2" "pos7" "J" 889 5 220.6929
"114" "s13" "sent17" "g2" "pos7" "L" 1007 9 182.2154
"115" "s13" "sent27" "g2" "pos7" "J" 496 4 -133.1877
"116" "s13" "sent38" "g2" "pos7" "L" 401 10 -462.904
"117" "s13" "sent41" "g2" "pos7" "J" 784 6 76.57354
"118" "s13" "sent49" "g2" "pos7" "L" 1067 12 124.8572
"119" "s13" "sent53" "g2" "pos7" "J" 279 9 -545.7846
"120" "s13" "sent62" "g2" "pos7" "J" 611 9 -213.7846
"121" "s13" "sent66" "g2" "pos7" "L" 355 5 -313.3071
"122" "s13" "sent69" "g2" "pos7" "J" 282 5 -386.3071
"123" "s13" "sent71" "g2" "pos7" "L" 286 9 -538.7846
"124" "s14" "sent7" "g2" "pos7" "L" 1179 10 580.6796
"125" "s14" "sent13" "g2" "pos7" "J" 685 5 142.2576
"126" "s14" "sent17" "g2" "pos7" "L" 252 9 -335.2048
"127" "s14" "sent27" "g2" "pos7" "J" 343 4 -188.6268
"128" "s14" "sent38" "g2" "pos7" "L" 505 10 -93.32043
"129" "s14" "sent41" "g2" "pos7" "J" 620 6 66.14202
"130" "s14" "sent49" "g2" "pos7" "L" 421 12 -199.5517
"131" "s14" "sent53" "g2" "pos7" "J" 469 9 -118.2048
"132" "s14" "sent62" "g2" "pos7" "J" 276 9 -311.2048
"133" "s14" "sent66" "g2" "pos7" "L" 511 5 -31.74237
"134" "s14" "sent69" "g2" "pos7" "J" 313 5 -229.7424
"135" "s14" "sent71" "g2" "pos7" "L" 214 9 -373.2048
"136" "s15" "sent7" "g2" "pos7" "L" 1350 10 571.6959
"137" "s15" "sent13" "g2" "pos7" "J" 341 5 -246.875
"138" "s15" "sent17" "g2" "pos7" "L" 1324 9 583.7817
"139" "s15" "sent27" "g2" "pos7" "J" 410 4 -139.7892
"140" "s15" "sent38" "g2" "pos7" "L" 792 10 13.69588
"141" "s15" "sent41" "g2" "pos7" "J" 574 6 -51.96085
"142" "s15" "sent49" "g2" "pos7" "L" 1148 12 293.5242
"143" "s15" "sent53" "g2" "pos7" "J" 316 9 -424.2183
"144" "s15" "sent62" "g2" "pos7" "J" 561 9 -179.2183
"145" "s15" "sent66" "g2" "pos7" "L" 599 5 11.12497
"146" "s15" "sent69" "g2" "pos7" "J" 470 5 -117.875
"147" "s15" "sent71" "g2" "pos7" "L" 404 9 -336.2183
"148" "s16" "sent7" "g2" "pos7" "L" 833 10 -209.1356
"149" "s16" "sent13" "g2" "pos7" "J" 1225 5 356.7454
"150" "s16" "sent17" "g2" "pos7" "L" 2480 9 1472.641
"151" "s16" "sent27" "g2" "pos7" "J" 561 4 -272.4784
"152" "s16" "sent38" "g2" "pos7" "L" 524 10 -518.1356
"153" "s16" "sent41" "g2" "pos7" "J" 515 6 -388.0308
"154" "s16" "sent49" "g2" "pos7" "L" 645 12 -466.688
"155" "s16" "sent53" "g2" "pos7" "J" 729 9 -278.3594
"156" "s16" "sent62" "g2" "pos7" "J" 531 9 -476.3594
"157" "s16" "sent66" "g2" "pos7" "L" 436 5 -432.2546
"158" "s16" "sent69" "g2" "pos7" "J" 454 5 -414.2546
"159" "s16" "sent71" "g2" "pos7" "L" 441 9 -566.3594
"160" "s17" "sent7" "g2" "pos7" "L" 823 10 -126.682
"161" "s17" "sent13" "g2" "pos7" "J" 394 5 -227.3151
"162" "s17" "sent17" "g2" "pos7" "L" 523 9 -361.0086
"163" "s17" "sent27" "g2" "pos7" "J" 630 4 74.35833
"164" "s17" "sent38" "g2" "pos7" "L" 472 10 -477.682
"165" "s17" "sent41" "g2" "pos7" "J" 390 6 -296.9884
"166" "s17" "sent49" "g2" "pos7" "L" 1036 12 -45.02876
"167" "s17" "sent53" "g2" "pos7" "J" 519 9 -365.0086
"168" "s17" "sent62" "g2" "pos7" "J" 15397 9 14512.99
"169" "s17" "sent66" "g2" "pos7" "L" 699 5 77.68495
"170" "s17" "sent69" "g2" "pos7" "J" 2275 5 1653.685
"171" "s17" "sent71" "g2" "pos7" "L" 455 9 -429.0086
"172" "s18" "sent7" "g2" "pos7" "L" 1270 10 362.5543
"173" "s18" "sent13" "g2" "pos7" "J" 701 5 25.37697
"174" "s18" "sent17" "g2" "pos7" "L" 535 9 -326.0812
"175" "s18" "sent27" "g2" "pos7" "J" 459 4 -170.2585
"176" "s18" "sent38" "g2" "pos7" "L" 441 10 -466.4457
"177" "s18" "sent41" "g2" "pos7" "J" 375 6 -346.9876
"178" "s18" "sent49" "g2" "pos7" "L" 327 12 -673.1748
"179" "s18" "sent53" "g2" "pos7" "J" 355 9 -506.0812
"180" "s18" "sent62" "g2" "pos7" "J" 367 9 -494.0812
"181" "s18" "sent66" "g2" "pos7" "L" 476 5 -199.623
"182" "s18" "sent69" "g2" "pos7" "J" 391 5 -284.623
"183" "s18" "sent71" "g2" "pos7" "L" 456 9 -405.0812
"184" "s19" "sent7" "g2" "pos7" "L" 4170 10 2722.116
"185" "s19" "sent13" "g2" "pos7" "J" 815 5 -175.8758
"186" "s19" "sent17" "g2" "pos7" "L" 1114 9 -242.4821
"187" "s19" "sent27" "g2" "pos7" "J" 516 4 -383.4742
"188" "s19" "sent38" "g2" "pos7" "L" 1343 10 -104.8836
"189" "s19" "sent41" "g2" "pos7" "J" 2442 6 1359.723
"190" "s19" "sent49" "g2" "pos7" "L" 905 12 -725.6868
"191" "s19" "sent53" "g2" "pos7" "J" 774 9 -582.4821
"192" "s19" "sent62" "g2" "pos7" "J" 1193 9 -163.4821
"193" "s19" "sent66" "g2" "pos7" "L" 397 5 -593.8758
"194" "s19" "sent69" "g2" "pos7" "J" 1179 5 188.1242
"195" "s19" "sent71" "g2" "pos7" "L" 895 9 -461.4821
"196" "s20" "sent7" "g2" "pos7" "L" 760 10 -47.97043
"197" "s20" "sent13" "g2" "pos7" "J" 774 5 105.9116
"198" "s20" "sent17" "g2" "pos7" "L" 475 9 -304.994
"199" "s20" "sent27" "g2" "pos7" "J" 471 4 -169.112
"200" "s20" "sent38" "g2" "pos7" "L" 788 10 -19.97043
"201" "s20" "sent41" "g2" "pos7" "J" 542 6 -154.0648
"202" "s20" "sent49" "g2" "pos7" "L" 342 12 -521.9232
"203" "s20" "sent53" "g2" "pos7" "J" 796 9 16.00598
"204" "s20" "sent62" "g2" "pos7" "J" 363 9 -416.994
"205" "s20" "sent66" "g2" "pos7" "L" 414 5 -254.0884
"206" "s20" "sent69" "g2" "pos7" "J" 595 5 -73.0884
"207" "s20" "sent71" "g2" "pos7" "L" 358 9 -421.994
"208" "s21" "sent7" "g2" "pos7" "L" 1633 10 380.5255
"209" "s21" "sent13" "g2" "pos7" "J" 637 5 -199.9383
"210" "s21" "sent17" "g2" "pos7" "L" 689 9 -480.3673
"211" "s21" "sent27" "g2" "pos7" "J" 904 4 150.169
"212" "s21" "sent38" "g2" "pos7" "L" 1243 10 -9.474512
"213" "s21" "sent41" "g2" "pos7" "J" 731 6 -189.0455
"214" "s21" "sent49" "g2" "pos7" "L" 1120 12 -298.689
"215" "s21" "sent53" "g2" "pos7" "J" 754 9 -415.3673
"216" "s21" "sent62" "g2" "pos7" "J" 747 9 -422.3673
"217" "s21" "sent66" "g2" "pos7" "L" 593 5 -243.9383
"218" "s21" "sent69" "g2" "pos7" "J" 530 5 -306.9383
"219" "s21" "sent71" "g2" "pos7" "L" 421 9 -748.3673
"220" "s22" "sent7" "g2" "pos7" "L" 543 10 -74.15427
"221" "s22" "sent13" "g2" "pos7" "J" 314 5 -171.2063
"222" "s22" "sent17" "g2" "pos7" "L" 397 9 -193.7647
"223" "s22" "sent27" "g2" "pos7" "J" 330 4 -128.8167
"224" "s22" "sent38" "g2" "pos7" "L" 512 10 -105.1543
"225" "s22" "sent41" "g2" "pos7" "J" 1261 6 749.4041
"226" "s22" "sent49" "g2" "pos7" "L" 725 12 55.06653
"227" "s22" "sent53" "g2" "pos7" "J" 474 9 -116.7647
"228" "s22" "sent62" "g2" "pos7" "J" 472 9 -118.7647
"229" "s22" "sent66" "g2" "pos7" "L" 410 5 -75.20627
"230" "s22" "sent69" "g2" "pos7" "J" 364 5 -121.2063
"231" "s22" "sent71" "g2" "pos7" "L" 438 9 -152.7647
"232" "s23" "sent3" "g3" "pos7" "L" 706 4 -180.9858
"233" "s23" "sent9" "g3" "pos7" "J" 2095 4 1208.014
"234" "s23" "sent20" "g3" "pos7" "L" 2017 13 705.0261
"235" "s23" "sent23" "g3" "pos7" "J" 941 9 -182.0903
"236" "s23" "sent30" "g3" "pos7" "L" 766 4 -120.9858
"237" "s23" "sent33" "g3" "pos7" "J" 2361 9 1237.91
"238" "s23" "sent56" "g3" "pos7" "J" 622 4 -264.9858
"239" "s23" "sent59" "g3" "pos7" "L" 633 5 -301.2067
"240" "s23" "sent76" "g3" "pos7" "L" 442 5 -492.2067
"241" "s24" "sent3" "g3" "pos7" "L" 911 4 42.18644
"242" "s24" "sent9" "g3" "pos7" "J" 894 4 25.18644
"243" "s24" "sent20" "g3" "pos7" "L" 1846 13 163.1997
"244" "s24" "sent23" "g3" "pos7" "J" 1089 9 -232.0284
"245" "s24" "sent30" "g3" "pos7" "L" 710 4 -158.8136
"246" "s24" "sent33" "g3" "pos7" "J" 1404 9 82.9716
"247" "s24" "sent56" "g3" "pos7" "J" 555 4 -313.8136
"248" "s24" "sent59" "g3" "pos7" "L" 692 5 -267.2565
"249" "s24" "sent76" "g3" "pos7" "L" 559 5 -400.2565
"250" "s25" "sent3" "g3" "pos7" "L" 1442 4 663.881
"251" "s25" "sent9" "g3" "pos7" "J" 1095 4 316.881
"252" "s25" "sent20" "g3" "pos7" "L" 685 13 -595.5669
"253" "s25" "sent23" "g3" "pos7" "J" 1186 9 128.7433
"254" "s25" "sent30" "g3" "pos7" "L" 630 4 -148.119
"255" "s25" "sent33" "g3" "pos7" "J" 882 9 -175.2567
"256" "s25" "sent56" "g3" "pos7" "J" 563 4 -215.119
"257" "s25" "sent59" "g3" "pos7" "L" 1164 5 330.0534
"258" "s25" "sent76" "g3" "pos7" "L" 474 5 -359.9466
"259" "s26" "sent3" "g3" "pos7" "L" 784 4 -6.56734
"260" "s26" "sent9" "g3" "pos7" "J" 1314 4 523.4327
"261" "s26" "sent20" "g3" "pos7" "L" 1486 13 -308.6785
"262" "s26" "sent23" "g3" "pos7" "J" 672 9 -676.4069
"263" "s26" "sent30" "g3" "pos7" "L" 1017 4 226.4327
"264" "s26" "sent33" "g3" "pos7" "J" 1102 9 -246.4069
"265" "s26" "sent56" "g3" "pos7" "J" 608 4 -182.5673
"266" "s26" "sent59" "g3" "pos7" "L" 603 5 -299.1352
"267" "s26" "sent76" "g3" "pos7" "L" 862 5 -40.13524
"268" "s27" "sent3" "g3" "pos7" "L" 814 4 -813.7844
"269" "s27" "sent9" "g3" "pos7" "J" 4621 4 2993.216
"270" "s27" "sent20" "g3" "pos7" "L" 1025 13 -1712.034
"271" "s27" "sent23" "g3" "pos7" "J" 23473 9 21228.97
"272" "s27" "sent30" "g3" "pos7" "L" 4033 4 2405.216
"273" "s27" "sent33" "g3" "pos7" "J" 10413 9 8168.966
"274" "s27" "sent56" "g3" "pos7" "J" 3455 4 1827.216
"275" "s27" "sent59" "g3" "pos7" "L" 3865 5 2113.966
"276" "s27" "sent76" "g3" "pos7" "L" 457 5 -1294.034
"277" "s28" "sent3" "g3" "pos7" "L" 678 4 88.85142
"278" "s28" "sent9" "g3" "pos7" "J" 840 4 250.8514
