"subj" "group" "sent" "pos" "condfill" "raw" "wl" "NminusOne" "res"
"80" "s14" "gp1" "sent20" "pos7" "J" 2328 12 3370 -273.8225571
"81" "s14" "gp1" "sent30" "pos7" "J" 890 4 3585 -328.7869807
"82" "s14" "gp1" "sent44" "pos7" "J" 869 4 3165 -325.7017698
"83" "s14" "gp1" "sent59" "pos7" "J" 817 5 6078 -289.4551156
"84" "s14" "gp1" "sent76" "pos7" "J" 628 4 3983 -346.495603
"85" "s15" "gp1" "sent3" "pos7" "J" 433 4 1305 90.6610981
"86" "s15" "gp1" "sent20" "pos7" "J" 761 12 1071 -223.1776272
"87" "s15" "gp1" "sent30" "pos7" "J" 297 4 1152 -105.361601
"88" "s15" "gp1" "sent44" "pos7" "J" 400 4 1520 -482.0565026
"89" "s15" "gp1" "sent59" "pos7" "J" 300 5 1354 488.2574056
"90" "s15" "gp1" "sent76" "pos7" "J" 257 4 1169 -99.2987519
"91" "s16" "gp2" "sent13" "pos7" "J" 525 5 1411 -394.8457622
"92" "s16" "gp2" "sent27" "pos7" "J" 587 8 1178 1391.4813606
"93" "s16" "gp2" "sent41" "pos7" "J" 441 8 1495 -247.4693423
"94" "s16" "gp2" "sent53" "pos7" "J" 381 5 2368 -252.8325475
"95" "s16" "gp2" "sent62" "pos7" "J" 562 4 1799 948.333638
"96" "s16" "gp2" "sent69" "pos7" "J" 555 5 2340 -393.8593142
"97" "s17" "gp2" "sent13" "pos7" "J" 585 5 3131 -135.8579441
"98" "s17" "gp2" "sent27" "pos7" "J" 503 8 1789 -28.2512659
"99" "s17" "gp2" "sent41" "pos7" "J" 300 8 3690 324.0711769
"100" "s17" "gp2" "sent53" "pos7" "J" 562 5 1712 131.6026387
"101" "s17" "gp2" "sent62" "pos7" "J" 903 4 1669 55.3772295
"102" "s17" "gp2" "sent69" "pos7" "J" 404 5 1677 -3.7452395
"103" "s18" "gp2" "sent13" "pos7" "J" 668 5 2915 31.0200665
"104" "s18" "gp2" "sent27" "pos7" "J" 847 8 3064 -78.5729895
"105" "s18" "gp2" "sent41" "pos7" "J" 786 8 1948 -124.428943
"106" "s18" "gp2" "sent53" "pos7" "J" 356 5 1268 -84.1958181
