verb subject item condition rt sentencetype
V2 18  5 a  881.0 gram
V2 18  4 a  770.0 gram
V2 18  8 a 1050.0 gram
V2 18  9 a  801.0 gram
V2 18 13 a  530.0 gram
V2 19  3 a  673.0 gram
V2 19  7 a  594.0 gram
V2 19  4 a  585.0 gram
V2 19  8 a  450.0 gram
V2 19 15 a  586.0 gram
V2 19 12 a  538.0 gram
V2 19 16 a  417.0 gram
V2 19 11 a  482.0 gram
V2  2  9 a  882.0 gram
V2  2  8 a  858.0 gram
V2  2 13 a 1186.0 gram
V2  2  5 a  626.0 gram
V2  2  4 a  466.0 gram
V2  2 12 a 1097.0 gram
V2  2 16 a  522.0 gram
V2  2  1 a  522.0 gram
V2 20 15 a  816.0 gram
V2 20  2 a  706.0 gram
V2 20 14 a  922.0 gram
V2 20  6 a  626.0 gram
V2 20  7 a  545.0 gram
V2 20 10 a  434.0 gram
V2 20  3 a  394.0 gram
V2 20 11 a  402.0 gram
V2 21  1 a 1810.0 gram
V2 21 13 a 1306.0 gram
V2 21  9 a 1722.0 gram
V2 21 10 a 1145.0 gram
V2 21  5 a 1682.0 gram
V2 21  6 a 1361.0 gram
V2 21  2 a 1210.0 gram
V2 21 14 a 1122.0 gram
V2 22 16 a  682.0 gram
V2 22  5 a  842.0 gram
V2 22 12 a  690.0 gram
V2 22  4 a  650.0 gram
V2 22  1 a  642.0 gram
V2 22  9 a  642.0 gram
V2 22  8 a  618.0 gram
V2 22 13 a  634.0 gram
V2 23  3 a  895.0 gram
V2 23 12 a  985.0 gram
V2 23 16 a 1065.0 gram
V2 23 11 a 1026.0 gram
V2 23 15 a  882.0 gram
V2 23  8 a  866.0 gram
V2 23  7 a  834.0 gram
V2 23  4 a  786.0 gram
V2 24  7 a 1586.0 gram
V2 24  3 a 2297.0 gram
V2 24  6 a 1474.0 gram
V2 24 14 a 1873.0 gram
V2 24 15 a 1490.0 gram
V2 24 11 a 1122.0 gram
V2 24  2 a 1266.0 gram
V2 24 10 a 1298.0 gram
V2 25  2 a 1354.0 gram
V2 25  9 a 1266.0 gram
V2 25  1 a 1450.0 gram
V2 25 10 a 1586.0 gram
V2 25  5 a 1330.0 gram
V2 25 13 a  858.0 gram
V2 25  6 a 1250.0 gram
V2 25 14 a  754.0 gram
V2 26  5 a 1041.0 gram
V2 26 12 a  826.0 gram
V2 26  8 a  938.0 gram
V2 26  1 a 1490.0 gram
V2 26  4 a  970.0 gram
V2 26 16 a  937.0 gram
V2 26  9 a 1034.0 gram
V2 26 13 a  714.0 gram
V2 27 11 a 1810.0 gram
V2 27  4 a  994.0 gram
V2 27  7 a  714.0 gram
V2 27 12 a  986.0 gram
V2 27 15 a 1370.0 gram
V2 27 16 a  642.0 gram
V2 27  3 a 1298.0 gram
V2 27  8 a  810.0 gram
V2 28  7 a  649.0 gram
V2 28 10 a  658.0 gram
V2 28 14 a  690.0 gram
V2 28 15 a  698.0 gram
V2 28  6 a  554.0 gram
V2 28  3 a  506.0 gram
V2 28 11 a  498.0 gram
V2 28  2 a  514.0 gram
V2 29  6 a  762.0 gram
V2 29  1 a 1009.0 gram
V2 29  2 a  874.0 gram
V2 29 14 a  962.0 gram
V2 29  5 a  746.0 gram
V2 29  9 a  682.0 gram
V2 29 13 a  810.0 gram
V2 29 10 a  602.0 gram
V2  3  3 a  794.0 gram
V2  3 15 a  722.0 gram
V2  3  7 a  618.0 gram
V2  3 12 a  706.0 gram
V2  3 16 a  666.0 gram
V2  3  4 a  546.0 gram
V2  3  8 a 1058.0 gram
V2  3 11 a  506.0 gram
V2 30  8 a  442.0 gram
V2 30 12 a  466.0 gram
V2 30  1 a  834.0 gram
V2 30  5 a  474.0 gram
V2 30  4 a  698.0 gram
V2 30 13 a  498.0 gram
V2 30  9 a  730.0 gram
V2 30 16 a  490.0 gram
V2 31  4 a  866.0 gram
V2 31 15 a 1114.0 gram
V2 31  7 a  906.0 gram
V2 31  3 a  714.0 gram
V2 31 12 a  722.0 gram
V2 31  8 a 1226.0 gram
V2 31 11 a  722.0 gram
V2 31 16 a  674.0 gram
V2 32  3 a  962.0 gram
V2 32 10 a 1746.0 gram
V2 32  6 a 1146.0 gram
V2 32  2 a 1098.0 gram
V2 32 15 a  842.0 gram
V2 32 14 a 1442.0 gram
V2 32 11 a  738.0 gram
V2 32  7 a  698.0 gram
V2 33  5 a  737.0 gram
V2 33  2 a 1074.0 gram
V2 33  9 a  738.0 gram
V2 33  1 a  705.0 gram
V2 33 10 a 1458.0 gram
V2 33  6 a 1034.0 gram
V2 33 14 a  898.0 gram
V2 33 13 a  890.0 gram
V2 34  1 a 5730.0 gram
V2 34 13 a  698.0 gram
V2 34  9 a 1834.0 gram
V2 34  4 a  785.0 gram
V2 34  8 a  682.0 gram
V2 34 12 a  674.0 gram
V2 34 16 a 1130.0 gram
V2 34  5 a 1650.0 gram
V2 35  8 a  690.0 gram
V2 35  7 a  874.0 gram
V2 35 15 a  930.0 gram
V2 35 11 a  882.0 gram
V2 35 16 a 1113.0 gram
V2 35  4 a  674.0 gram
V2 35  3 a  570.0 gram
V2 35 12 a  513.0 gram
V2 36 11 a 1098.0 gram
V2 36 15 a 1898.0 gram
V2 36 14 a  809.0 gram
V2 36  3 a  962.0 gram
V2 36  6 a  874.0 gram
V2 36  7 a  890.0 gram
V2 36 10 a  770.0 gram
V2 36  2 a  993.0 gram
V2 37 10 a 1434.0 gram
V2 37 14 a 2521.0 gram
V2 37  6 a 1161.0 gram
V2 37  9 a  882.0 gram
V2 37  2 a 1050.0 gram
V2 37  1 a 1426.0 gram
V2 37 13 a  810.0 gram
V2 37  5 a 1850.0 gram
V2 38  8 a  746.0 gram
V2 38 16 a  785.0 gram
V2 38  5 a  698.0 gram
V2 38 12 a  754.0 gram
V2 38 13 a  770.0 gram
V2 38  9 a  706.0 gram
V2 38  4 a  769.0 gram
V2 38  1 a  738.0 gram
V2 39  4 a 1010.0 gram
V2 39 15 a 1010.0 gram
V2 39  8 a 1130.0 gram
V2 39  3 a  682.0 gram
V2 39 12 a  762.0 gram
V2 39 11 a  650.0 gram
V2 39 16 a  610.0 gram
V2 39  7 a 1098.0 gram
V2  4  3 a  993.0 gram
V2  4 14 a  618.0 gram
V2  4  6 a 1010.0 gram
V2  4  7 a  746.0 gram
V2  4  2 a  714.0 gram
V2  4 11 a  626.0 gram
V2  4 10 a  850.0 gram
V2  4 15 a  602.0 gram
V2 40 15 a 1138.0 gram
V2 40 14 a 1690.0 gram
V2 40  6 a 1985.0 gram
V2 40 11 a 3761.0 gram
V2 40  7 a  946.0 gram
V2 40 10 a 1850.0 gram
V2 40  2 a 1306.0 gram
V2 40  3 a  690.0 gram
V2 41  1 a 1130.0 gram
V2 41  9 a  850.0 gram
V2 41 14 a 1218.0 gram
V2 41 10 a 1002.0 gram
V2 41 13 a 1234.0 gram
V2 41  6 a 1209.0 gram
V2 41  2 a 1250.0 gram
V2 41  5 a 1170.0 gram
V2 42  8 a  898.0 gram
V2 42 12 a  882.0 gram
V2 42  1 a  905.0 gram
V2 42  9 a  850.0 gram
V2 42  4 a  730.0 gram
V2 42 16 a  898.0 gram
V2 42  5 a 1601.0 gram
V2 42 13 a  874.0 gram
V2 43  3 a  922.0 gram
V2 43 15 a  673.0 gram
V2 43  8 a  978.0 gram
V2 43  4 a  866.0 gram
V2 43  7 a  922.0 gram
V2 43 16 a  754.0 gram
V2 43 11 a  866.0 gram
V2 43 12 a  617.0 gram
V2 45  6 a  826.0 gram
V2 45 13 a  730.0 gram
V2 45  9 a  674.0 gram
V2 45  1 a  530.0 gram
V2 45  2 a  633.0 gram
V2 45 14 a  634.0 gram
V2 45  5 a  617.0 gram
V2 45 10 a  593.0 gram
V2 46  5 a  561.0 gram
V2 46  1 a  738.0 gram
V2 46  8 a  610.0 gram
V2 46 13 a  802.0 gram
V2 46 12 a  898.0 gram
V2 46  9 a  890.0 gram
V2 46 16 a 1218.0 gram
V2 46  4 a 1658.0 gram
V2 47 15 a 1714.0 gram
V2 47  4 a 1008.0 gram
V2 47  7 a 1202.0 gram
V2 47 12 a 1601.0 gram
V2 47 16 a 1098.0 gram
V2 47 11 a 2281.0 gram
V2 47  3 a  946.0 gram
V2 47  8 a 1281.0 gram
V2 48  6 a  633.0 gram
V2 48 15 a  818.0 gram
V2 48  3 a  889.0 gram
V2 48  2 a  922.0 gram
V2 48 10 a  706.0 gram
V2 48 11 a  802.0 gram
V2 48 14 a 1002.0 gram
V2 48  7 a  778.0 gram
V2  5  5 a  441.0 gram
V2  5 10 a  866.0 gram
V2  5 13 a  818.0 gram
V2  5  6 a  314.0 gram
V2  5  1 a  466.0 gram
V2  5  9 a  394.0 gram
V2  5  2 a  346.0 gram
V2  5 14 a  346.0 gram
V2  6 13 a 1706.0 gram
V2  6  1 a  818.0 gram
V2  6 16 a 4617.0 gram
V2  6  8 a  618.0 gram
V2  6  4 a  434.0 gram
V2  6  9 a  786.0 gram
V2  6 12 a  986.0 gram
V2  6  5 a 1378.0 gram
V2  7 11 a  666.0 gram
V2  7 16 a  738.0 gram
V2  7  7 a  786.0 gram
V2  7  8 a  674.0 gram
V2  7 15 a  690.0 gram
V2  7  3 a  778.0 gram
V2  7  4 a  658.0 gram
V2  7 12 a  626.0 gram
V2  8  3 a  634.0 gram
V2  8  6 a  594.0 gram
V2  8 15 a  530.0 gram
V2  8 14 a  698.0 gram
V2  8  2 a  458.0 gram
V2  8 11 a  458.0 gram
V2  8 10 a  626.0 gram
V2  8  7 a  570.0 gram
V2  9  1 a 1025.0 gram
V2  9  2 a  954.0 gram
V2  9 14 a 1242.0 gram
V2  9 10 a  594.0 gram
V2  9  6 a  658.0 gram
V2  9  9 a  698.0 gram
V2  9  5 a 1209.0 gram
V2  9 13 a  674.0 gram
V2 36 15 a  280.5 gram
V2 36  2 a  241.0 gram
V2 36  6 a  325.0 gram
V2 36 14 a  341.0 gram
V2 36  3 a  489.0 gram
V2 36 10 a  385.0 gram
V2 36  7 a  205.0 gram
V2 36 11 a  569.0 gram
V2 10  9 a  521.0 gram
V2 10  4 a  412.0 gram
V2 10  5 a  520.5 gram
V2 10  1 a  325.0 gram
V2 10  8 a  265.0 gram
V2 10 12 a  241.0 gram
V2 10 16 a  369.0 gram
V2 10 13 a  301.0 gram
V2 11  8 a  549.0 gram
V2 11 15 a  812.5 gram
V2 11  4 a  657.0 gram
V2 11 16 a 1956.0 gram
V2 11 11 a  497.0 gram
V2 11 12 a  497.0 gram
V2 11  7 a  457.0 gram
V2 11  3 a  461.0 gram
V2 12 15 a  425.0 gram
V2 12 11 a  521.0 gram
V2 12  6 a  533.0 gram
V2 12  7 a  648.5 gram
V2 12 14 a  512.5 gram
V2 12 10 a  420.5 gram
V2 12  3 a  396.5 gram
V2 12  2 a  337.0 gram
V2 13  2 a  221.5 gram
V2 13 10 a  325.0 gram
V2 13  5 a  353.0 gram
V2 13 13 a  385.0 gram
V2 13 14 a  297.0 gram
V2 13  6 a  357.0 gram
V2 13  9 a  261.0 gram
V2 13  1 a  249.0 gram
V2 14  4 a  621.0 gram
V2 14 13 a  669.0 gram
V2 14 12 a  621.0 gram
V2 14 16 a  621.0 gram
V2 14  5 a  748.5 gram
V2 14  1 a  505.0 gram
V2 14  8 a  409.0 gram
V2 14  9 a  537.0 gram
V2 15 16 a  805.0 gram
V2 15 15 a  329.0 gram
V2 15 11 a  237.0 gram
V2 15  8 a  333.0 gram
V2 15 12 a  260.5 gram
V2 15  7 a  233.5 gram
V2 15  3 a  321.0 gram
V2 15  4 a  405.0 gram
V2 16 14 a  409.0 gram
V2 16 11 a  417.0 gram
V2 16  6 a  817.0 gram
V2 16 10 a  581.0 gram
V2 16  3 a  569.0 gram
V2 16 15 a  445.0 gram
V2 16  7 a  401.0 gram
V2 16  2 a  477.0 gram
V2 17  9 a  461.0 gram
V2 17  5 a 1904.5 gram
V2 17 13 a  617.0 gram
V2 17  1 a  213.0 gram
V2 17  6 a  265.0 gram
V2 17  2 a  209.0 gram
V2 17 10 a  261.0 gram
V2 17 14 a  389.0 gram
V2 18 16 a  409.0 gram
V2 18  1 a  505.0 gram
V2 18 12 a  433.0 gram
V2 18  5 a  440.5 gram
V2 18  4 a  385.0 gram
V2 18  8 a  525.0 gram
V2 18  9 a  400.5 gram
V2 18 13 a  265.0 gram
V2 19  3 a  336.5 gram
V2 19  7 a  297.0 gram
V2 19  4 a  292.5 gram
V2 19  8 a  225.0 gram
V2 19 15 a  293.0 gram
V2 19 12 a  269.0 gram
V2 19 16 a  208.5 gram
V2 19 11 a  241.0 gram
V2  2  9 a  441.0 gram
V2  2  8 a  429.0 gram
V2  2 13 a  593.0 gram
V2  2  5 a  313.0 gram
V2  2  4 a  233.0 gram
V2  2 12 a  548.5 gram
V2  2 16 a  261.0 gram
V2  2  1 a  261.0 gram
V2 20 15 a  408.0 gram
V2 20  2 a  353.0 gram
V2 20 14 a  461.0 gram
V2 20  6 a  313.0 gram
V2 20  7 a  272.5 gram
V2 20 10 a  217.0 gram
V2 20  3 a  197.0 gram
V2 20 11 a  201.0 gram
V2 21  1 a  905.0 gram
V2 21 13 a  653.0 gram
V2 21  9 a  861.0 gram
V2 21 10 a  572.5 gram
V2 21  5 a  841.0 gram
V2 21  6 a  680.5 gram
V2 21  2 a  605.0 gram
V2 21 14 a  561.0 gram
V2 22 16 a  341.0 gram
V2 22  5 a  421.0 gram
V2 22 12 a  345.0 gram
V2 22  4 a  325.0 gram
V2 22  1 a  321.0 gram
V2 22  9 a  321.0 gram
V2 22  8 a  309.0 gram
V2 22 13 a  317.0 gram
V2 23  3 a  447.5 gram
V2 23 12 a  492.5 gram
V2 23 16 a  532.5 gram
V2 23 11 a  513.0 gram
V2 23 15 a  441.0 gram
V2 23  8 a  433.0 gram
V2 23  7 a  417.0 gram
V2 23  4 a  393.0 gram
V2 24  7 a  793.0 gram
V2 24  3 a 1148.5 gram
V2 24  6 a  737.0 gram
V2 24 14 a  936.5 gram
V2 24 15 a  745.0 gram
V2 24 11 a  561.0 gram
V2 24  2 a  633.0 gram
V2 24 10 a  649.0 gram
V2 25  2 a  677.0 gram
V2 25  9 a  633.0 gram
V2 25  1 a  725.0 gram
V2 25 10 a  793.0 gram
V2 25  5 a  665.0 gram
V2 25 13 a  429.0 gram
V2 25  6 a  625.0 gram
V2 25 14 a  377.0 gram
V2 26  5 a  520.5 gram
V2 26 12 a  413.0 gram
V2 26  8 a  469.0 gram
V2 26  1 a  745.0 gram
V2 26  4 a  485.0 gram
V2 26 16 a  468.5 gram
V2 26  9 a  517.0 gram
V2 26 13 a  357.0 gram
V2 27 11 a  905.0 gram
V2 27  4 a  497.0 gram
V2 27  7 a  357.0 gram
V2 27 12 a  493.0 gram
V2 27 15 a  685.0 gram
V2 27 16 a  321.0 gram
V2 27  3 a  649.0 gram
V2 27  8 a  405.0 gram
V2 28  7 a  324.5 gram
V2 28 10 a  329.0 gram
V2 28 14 a  345.0 gram
V2 28 15 a  349.0 gram
V2 28  6 a  277.0 gram
V2 28  3 a  253.0 gram
V2 28 11 a  249.0 gram
V2 28  2 a  257.0 gram
V2 29  6 a  381.0 gram
V2 29  1 a  504.5 gram
V2 29  2 a  437.0 gram
V2 29 14 a  481.0 gram
V2 29  5 a  373.0 gram
V2 29  9 a  341.0 gram
V2 29 13 a  405.0 gram
V2 29 10 a  301.0 gram
V2  3  3 a  397.0 gram
V2  3 15 a  361.0 gram
V2  3  7 a  309.0 gram
V2  3 12 a  353.0 gram
V2  3 16 a  333.0 gram
V2  3  4 a  273.0 gram
V2  3  8 a  529.0 gram
V2  3 11 a  253.0 gram
V2 30  8 a  221.0 gram
V2 30 12 a  233.0 gram
V2 30  1 a  417.0 gram
V2 30  5 a  237.0 gram
V2 30  4 a  349.0 gram
V2 30 13 a  249.0 gram
V2 30  9 a  365.0 gram
V2 30 16 a  245.0 gram
V2 31  4 a  433.0 gram
V2 31 15 a  557.0 gram
V2 31  7 a  453.0 gram
V2 31  3 a  357.0 gram
V2 31 12 a  361.0 gram
V2 31  8 a  613.0 gram
V2 31 11 a  361.0 gram
V2 31 16 a  337.0 gram
V2 32  3 a  481.0 gram
V2 32 10 a  873.0 gram
V2 32  6 a  573.0 gram
V2 32  2 a  549.0 gram
V2 32 15 a  421.0 gram
V2 32 14 a  721.0 gram
V2 32 11 a  369.0 gram
V2 32  7 a  349.0 gram
V2 33  5 a  368.5 gram
V2 33  2 a  537.0 gram
V2 33  9 a  369.0 gram
V2 33  1 a  352.5 gram
V2 33 10 a  729.0 gram
V2 33  6 a  517.0 gram
V2 33 14 a  449.0 gram
V2 33 13 a  445.0 gram
V2 34  1 a 2865.0 gram
V2 34 13 a  349.0 gram
V2 34  9 a  917.0 gram
V2 34  4 a  392.5 gram
V2 34  8 a  341.0 gram
V2 34 12 a  337.0 gram
V2 34 16 a  565.0 gram
V2 34  5 a  825.0 gram
V2 35  8 a  345.0 gram
V2 35  7 a  437.0 gram
V2 35 15 a  465.0 gram
V2 35 11 a  441.0 gram
V2 35 16 a  556.5 gram
V2 35  4 a  337.0 gram
V2 35  3 a  285.0 gram
V2 35 12 a  256.5 gram
V2 36 11 a  549.0 gram
V2 36 15 a  949.0 gram
V2 36 14 a  404.5 gram
V2 36  3 a  481.0 gram
V2 36  6 a  437.0 gram
V2 36  7 a  445.0 gram
V2 36 10 a  385.0 gram
V2 36  2 a  496.5 gram
V2 37 10 a  717.0 gram
V2 37 14 a 1260.5 gram
V2 37  6 a  580.5 gram
V2 37  9 a  441.0 gram
V2 37  2 a  525.0 gram
V2 37  1 a  713.0 gram
V2 37 13 a  405.0 gram
V2 37  5 a  925.0 gram
V2 38  8 a  373.0 gram
V2 38 16 a  392.5 gram
V2 38  5 a  349.0 gram
V2 38 12 a  377.0 gram
V2 38 13 a  385.0 gram
V2 38  9 a  353.0 gram
V2 38  4 a  384.5 gram
V2 38  1 a  369.0 gram
V2 39  4 a  505.0 gram
V2 39 15 a  505.0 gram
V2 39  8 a  565.0 gram
V2 39  3 a  341.0 gram
V2 39 12 a  381.0 gram
V2 39 11 a  325.0 gram
V2 39 16 a  305.0 gram
V2 39  7 a  549.0 gram
V2  4  3 a  496.5 gram
V2  4 14 a  309.0 gram
V2  4  6 a  505.0 gram
V2  4  7 a  373.0 gram
V2  4  2 a  357.0 gram
V2  4 11 a  313.0 gram
V2  4 10 a  425.0 gram
V2  4 15 a  301.0 gram
V2 40 15 a  569.0 gram
V2 40 14 a  845.0 gram
V2 40  6 a  992.5 gram
V2 40 11 a 1880.5 gram
V2 40  7 a  473.0 gram
V2 40 10 a  925.0 gram
V2 40  2 a  653.0 gram
V2 40  3 a  345.0 gram
V2 41  1 a  565.0 gram
V2 41  9 a  425.0 gram
V2 41 14 a  609.0 gram
V2 41 10 a  501.0 gram
V2 41 13 a  617.0 gram
V2 41  6 a  604.5 gram
V2 41  2 a  625.0 gram
V2 41  5 a  585.0 gram
V2 42  8 a  449.0 gram
V2 42 12 a  441.0 gram
V2 42  1 a  452.5 gram
V2 42  9 a  425.0 gram
V2 42  4 a  365.0 gram
V2 42 16 a  449.0 gram
V2 42  5 a  800.5 gram
V2 42 13 a  437.0 gram
V2 43  3 a  461.0 gram
V2 43 15 a  336.5 gram
V2 43  8 a  489.0 gram
V2 43  4 a  433.0 gram
V2 43  7 a  461.0 gram
V2 43 16 a  377.0 gram
V2 43 11 a  433.0 gram
V2 43 12 a  308.5 gram
V2 45  6 a  413.0 gram
V2 45 13 a  365.0 gram
V2 45  9 a  337.0 gram
V2 45  1 a  265.0 gram
V2 45  2 a  316.5 gram
V2 45 14 a  317.0 gram
V2 45  5 a  308.5 gram
V2 45 10 a  296.5 gram
V2 46  5 a  280.5 gram
V2 46  1 a  369.0 gram
V2 46  8 a  305.0 gram
V2 46 13 a  401.0 gram
V2 46 12 a  449.0 gram
V2 46  9 a  445.0 gram
V2 46 16 a  609.0 gram
V2 46  4 a  829.0 gram
V2 47 15 a  857.0 gram
V2 47  4 a  504.0 gram
V2 47  7 a  601.0 gram
V2 47 12 a  800.5 gram
V2 47 16 a  549.0 gram
V2 47 11 a 1140.5 gram
V2 47  3 a  473.0 gram
V2 47  8 a  640.5 gram
V2 48  6 a  316.5 gram
V2 48 15 a  409.0 gram
V2 48  3 a  444.5 gram
V2 48  2 a  461.0 gram
V2 48 10 a  353.0 gram
V2 48 11 a  401.0 gram
V2 48 14 a  501.0 gram
V2 48  7 a  389.0 gram
V2  5  5 a  220.5 gram
V2  5 10 a  433.0 gram
V2  5 13 a  409.0 gram
V2  5  6 a  157.0 gram
V2  5  1 a  233.0 gram
V2  5  9 a  197.0 gram
V2  5  2 a  173.0 gram
V2  5 14 a  173.0 gram
V2  6 13 a  853.0 gram
V2  6  1 a  409.0 gram
V2  6 16 a 2308.5 gram
V2  6  8 a  309.0 gram
V2  6  4 a  217.0 gram
V2  6  9 a  393.0 gram
V2  6 12 a  493.0 gram
V2  6  5 a  689.0 gram
V2  7 11 a  333.0 gram
V2  7 16 a  369.0 gram
V2  7  7 a  393.0 gram
V2  7  8 a  337.0 gram
V2  7 15 a  345.0 gram
V2  7  3 a  389.0 gram
V2  7  4 a  329.0 gram
V2  7 12 a  313.0 gram
V2  8  3 a  317.0 gram
V2  8  6 a  297.0 gram
V2  8 15 a  265.0 gram
V2  8 14 a  349.0 gram
V2  8  2 a  229.0 gram
V2  8 11 a  229.0 gram
V2  8 10 a  313.0 gram
V2  8  7 a  285.0 gram
V2  9  1 a  512.5 gram
V2  9  2 a  477.0 gram
V2  9 14 a  621.0 gram
V2  9 10 a  297.0 gram
V2  9  6 a  329.0 gram
V2  9  9 a  349.0 gram
V2  9  5 a  604.5 gram
V2  9 13 a  337.0 gram
V3 36 15 a  360.0 gram
V3 36  2 a  329.0 gram
V3 36  6 a  552.0 gram
V3 36 14 a  225.0 gram
V3 36  3 a  440.0 gram
V3 36 10 a  304.0 gram
V3 36  7 a  216.0 gram
V3 36 11 a  416.0 gram
V3 10  9 a  553.0 gram
V3 10  4 a  489.0 gram
V3 10  5 a  352.0 gram
V3 10  1 a  248.0 gram
V3 10  8 a  281.0 gram
V3 10 12 a  273.0 gram
V3 10 16 a  377.0 gram
V3 10 13 a  296.0 gram
V3 11  8 a  744.0 gram
V3 11 15 a  745.0 gram
V3 11  4 a  849.0 gram
V3 11 16 a  552.0 gram
V3 11 11 a  464.0 gram
V3 11 12 a  865.0 gram
V3 11  7 a  712.0 gram
V3 11  3 a  696.0 gram
V3 12 15 a  721.0 gram
V3 12 11 a  416.0 gram
V3 12  6 a  312.0 gram
V3 12  7 a  888.0 gram
V3 12 14 a  952.0 gram
V3 12 10 a  264.0 gram
V3 12  3 a  576.0 gram
V3 12  2 a  289.0 gram
V3 13  2 a  257.0 gram
V3 13 10 a  313.0 gram
V3 13  5 a  464.0 gram
V3 13 13 a  560.0 gram
V3 13 14 a  264.0 gram
V3 13  6 a  608.0 gram
V3 13  9 a  265.0 gram
V3 13  1 a  217.0 gram
V3 14  4 a  641.0 gram
V3 14 13 a  664.0 gram
V3 14 12 a  609.0 gram
V3 14 16 a 1152.0 gram
V3 14  5 a  487.0 gram
V3 14  1 a  592.0 gram
V3 14  8 a  560.0 gram
V3 14  9 a  513.0 gram
V3 15 16 a  392.0 gram
V3 15 15 a  408.0 gram
V3 15 11 a  456.0 gram
V3 15  8 a  417.0 gram
V3 15 12 a  209.0 gram
V3 15  7 a  280.0 gram
V3 15  3 a  496.0 gram
V3 15  4 a  296.0 gram
V3 16 14 a 1536.0 gram
V3 16 11 a 1344.0 gram
V3 16  6 a 1240.0 gram
V3 16 10 a  865.0 gram
V3 16  3 a  752.0 gram
V3 16 15 a 2088.0 gram
V3 16  7 a  808.0 gram
V3 16  2 a  649.0 gram
V3 17  9 a  457.0 gram
V3 17  5 a  880.0 gram
V3 17 13 a  896.0 gram
V3 17  1 a  201.0 gram
V3 17  6 a  296.0 gram
V3 17  2 a  209.0 gram
V3 17 10 a  209.0 gram
V3 17 14 a  433.0 gram
V3 18 16 a 1577.0 gram
V3 18  1 a  952.0 gram
V3 18 12 a  632.0 gram
V3 18  5 a  792.0 gram
V3 18  4 a  353.0 gram
V3 18  8 a  392.0 gram
V3 18  9 a  353.0 gram
V3 18 13 a  408.0 gram
V3 19  3 a  472.0 gram
V3 19  7 a  480.0 gram
V3 19  4 a  305.0 gram
V3 19  8 a  409.0 gram
V3 19 15 a  448.0 gram
V3 19 12 a  233.0 gram
V3 19 16 a  753.0 gram
V3 19 11 a  464.0 gram
V3  2  9 a  577.0 gram
V3  2  8 a  600.0 gram
V3  2 13 a  736.0 gram
V3  2  5 a  328.0 gram
V3  2  4 a 1129.0 gram
V3  2 12 a  553.0 gram
V3  2 16 a  193.0 gram
V3  2  1 a  232.0 gram
V3 20 15 a 1224.0 gram
V3 20  2 a  337.0 gram
V3 20 14 a  832.0 gram
V3 20  6 a  856.0 gram
V3 20  7 a  535.0 gram
V3 20 10 a  209.0 gram
V3 20  3 a  168.0 gram
V3 20 11 a  169.0 gram
V3 21  1 a 1064.0 gram
V3 21 13 a 1384.0 gram
V3 21  9 a 1041.0 gram
V3 21 10 a  897.0 gram
V3 21  5 a 1568.0 gram
V3 21  6 a  752.0 gram
V3 21  2 a 1017.0 gram
V3 21 14 a 1016.0 gram
V3 22 16 a  417.0 gram
V3 22  5 a  456.0 gram
V3 22 12 a  361.0 gram
V3 22  4 a  369.0 gram
V3 22  1 a  344.0 gram
V3 22  9 a  313.0 gram
V3 22  8 a  321.0 gram
V3 22 13 a  320.0 gram
V3 23  3 a  511.0 gram
V3 23 12 a  521.0 gram
V3 23 16 a  593.0 gram
V3 23 11 a  792.0 gram
V3 23 15 a  447.0 gram
V3 23  8 a  384.0 gram
V3 23  7 a  560.0 gram
V3 23  4 a 1592.0 gram
V3 24  7 a 1192.0 gram
V3 24  3 a 1184.0 gram
V3 24  6 a 3216.0 gram
V3 24 14 a  512.0 gram
V3 24 15 a 1832.0 gram
V3 24 11 a 1736.0 gram
V3 24  2 a 2040.0 gram
V3 24 10 a  720.0 gram
V3 25  2 a  904.0 gram
V3 25  9 a  976.0 gram
V3 25  1 a 1088.0 gram
V3 25 10 a 1016.0 gram
V3 25  5 a  840.0 gram
V3 25 13 a 1336.0 gram
V3 25  6 a  848.0 gram
V3 25 14 a  528.0 gram
V3 26  5 a  704.0 gram
V3 26 12 a  769.0 gram
V3 26  8 a  536.0 gram
V3 26  1 a  776.0 gram
V3 26  4 a  616.0 gram
V3 26 16 a  480.0 gram
V3 26  9 a  473.0 gram
V3 26 13 a  353.0 gram
V3 27 11 a  816.0 gram
V3 27  4 a  521.0 gram
V3 27  7 a  512.0 gram
V3 27 12 a 1857.0 gram
V3 27 15 a  856.0 gram
V3 27 16 a 1968.0 gram
V3 27  3 a 1104.0 gram
V3 27  8 a 1376.0 gram
V3 28  7 a  512.0 gram
V3 28 10 a  441.0 gram
V3 28 14 a  320.0 gram
V3 28 15 a  416.0 gram
V3 28  6 a  656.0 gram
V3 28  3 a  304.0 gram
V3 28 11 a  256.0 gram
V3 28  2 a  273.0 gram
V3 29  6 a  520.0 gram
V3 29  1 a  544.0 gram
V3 29  2 a  305.0 gram
V3 29 14 a  417.0 gram
V3 29  5 a  584.0 gram
V3 29  9 a  409.0 gram
V3 29 13 a  456.0 gram
V3 29 10 a  408.0 gram
V3  3  3 a  424.0 gram
V3  3 15 a  400.0 gram
V3  3  7 a  552.0 gram
V3  3 12 a  441.0 gram
V3  3 16 a  313.0 gram
V3  3  4 a  304.0 gram
V3  3  8 a  392.0 gram
V3  3 11 a  568.0 gram
V3 30  8 a  585.0 gram
V3 30 12 a  233.0 gram
V3 30  1 a  472.0 gram
V3 30  5 a  328.0 gram
V3 30  4 a  265.0 gram
