verb subject item condition rt sentencetype
V1  2 11 b  457.0 ungram
V1  2  1 a  562.0 gram
V1  2 15 b  586.0 ungram
V1 20  4 b  874.0 ungram
V1 20  9 b 1362.0 ungram
V1 20 15 a  866.0 gram
V1 20  2 a  658.0 gram
V1 20 14 a  754.0 gram
V1 20  6 a  562.0 gram
V1 20  8 b  465.0 ungram
V1 20  1 b  762.0 ungram
V1 20  7 a 1498.0 gram
V1 20 13 b  714.0 ungram
V1 20  5 b  634.0 ungram
V1 20 10 a  618.0 gram
V1 20 16 b  506.0 ungram
V1 20  3 a  385.0 gram
V1 20 11 a 1001.0 gram
V1 20 12 b  378.0 ungram
V1 21  1 a 1730.0 gram
V1 21 13 a 1897.0 gram
V1 21  9 a 1234.0 gram
V1 21  4 b 1290.0 ungram
V1 21 10 a 1825.0 gram
V1 21  7 b 1090.0 ungram
V1 21  5 a 1122.0 gram
V1 21  3 b 1153.0 ungram
V1 21 12 b 1250.0 ungram
V1 21  6 a 1321.0 gram
V1 21 15 b  882.0 ungram
V1 21  2 a 1106.0 gram
V1 21 11 b 1146.0 ungram
V1 21 16 b  970.0 ungram
V1 21  8 b 1449.0 ungram
V1 21 14 a  922.0 gram
V1 22 16 a  650.0 gram
V1 22  2 b  658.0 ungram
V1 22 14 b  714.0 ungram
V1 22  5 a  802.0 gram
V1 22 15 b  625.0 ungram
V1 22  3 b  546.0 ungram
V1 22 12 a  658.0 gram
V1 22 10 b  578.0 ungram
V1 22  6 b  689.0 ungram
V1 22  4 a  714.0 gram
V1 22  1 a  618.0 gram
V1 22  7 b  562.0 ungram
V1 22  9 a  610.0 gram
V1 22 11 b  641.0 ungram
V1 22  8 a  626.0 gram
V1 22 13 a  610.0 gram
V1 23  3 a 1042.0 gram
V1 23 12 a  954.0 gram
V1 23  1 b 1106.0 ungram
V1 23  5 b 1106.0 ungram
V1 23 16 a 1090.0 gram
V1 23  9 b  914.0 ungram
V1 23 11 a 1505.0 gram
V1 23 10 b 2209.0 ungram
V1 23 13 b  882.0 ungram
V1 23 15 a  954.0 gram
V1 23 14 b 1202.0 ungram
V1 23  8 a 1226.0 gram
V1 23  7 a  834.0 gram
V1 23  2 b  938.0 ungram
V1 23  4 a  778.0 gram
V1 23  6 b  768.0 ungram
V1 24  9 b 2562.0 ungram
V1 24  7 a 2177.0 gram
V1 24  3 a 2424.0 gram
V1 24  8 b 2409.0 ungram
V1 24  6 a 1698.0 gram
V1 24  5 b 1210.0 ungram
V1 24 12 b  978.0 ungram
V1 24 14 a 2233.0 gram
V1 24 15 a 1705.0 gram
V1 24  4 b 7225.0 ungram
V1 24 11 a 1049.0 gram
V1 24  2 a 1010.0 gram
V1 24 10 a 1570.0 gram
V1 24  1 b 2017.0 ungram
V1 24 13 b 1274.0 ungram
V1 24 16 b 1706.0 ungram
V1 25  2 a 2050.0 gram
V1 25  8 b 1817.0 ungram
V1 25  3 b 1673.0 ungram
V1 25  9 a 1466.0 gram
V1 25  1 a 1506.0 gram
V1 25 10 a 1993.0 gram
V1 25  4 b 1290.0 ungram
V1 25 11 b 1433.0 ungram
V1 25  5 a 1138.0 gram
V1 25 16 b  658.0 ungram
V1 25 13 a  730.0 gram
V1 25  6 a 1353.0 gram
V1 25 14 a  746.0 gram
V1 25 15 b 1322.0 ungram
V1 25  7 b 1578.0 ungram
V1 25 12 b 1586.0 ungram
V1 26 11 b  898.0 ungram
V1 26  5 a 1170.0 gram
V1 26 12 a 1410.0 gram
V1 26  8 a 1713.0 gram
V1 26  1 a 1098.0 gram
V1 26 10 b 1346.0 ungram
V1 26  4 a 1145.0 gram
V1 26  3 b 1041.0 ungram
V1 26 16 a  746.0 gram
V1 26  2 b  889.0 ungram
V1 26 15 b 1162.0 ungram
V1 26  9 a  906.0 gram
V1 26  7 b 1082.0 ungram
V1 26  6 b 1217.0 ungram
V1 26 14 b  906.0 ungram
V1 26 13 a  738.0 gram
V1 27  9 b 1138.0 ungram
V1 27 11 a 1025.0 gram
V1 27  2 b 1665.0 ungram
V1 27  4 a 2698.0 gram
V1 27  7 a  810.0 gram
V1 27  5 b 2153.0 ungram
V1 27  6 b 1578.0 ungram
V1 27 12 a 1505.0 gram
V1 27 15 a  954.0 gram
V1 27 10 b 1233.0 ungram
V1 27 16 a  898.0 gram
V1 27 14 b 1026.0 ungram
V1 27  3 a 1216.0 gram
V1 27  8 a 1866.0 gram
V1 27 13 b  706.0 ungram
V1 27  1 b 1057.0 ungram
V1 28  1 b  618.0 ungram
V1 28 16 b  610.0 ungram
V1 28  7 a  602.0 gram
V1 28  5 b  658.0 ungram
V1 28 12 b  506.0 ungram
V1 28 10 a  769.0 gram
V1 28 14 a  578.0 gram
V1 28 15 a  538.0 gram
V1 28  4 b  450.0 ungram
V1 28  9 b  610.0 ungram
V1 28 13 b  546.0 ungram
V1 28  8 b  498.0 ungram
V1 28  6 a  665.0 gram
V1 28  3 a  482.0 gram
V1 28 11 a  474.0 gram
V1 28  2 a  506.0 gram
V1 29 11 b 1066.0 ungram
V1 29  6 a  817.0 gram
V1 29  1 a 1090.0 gram
V1 29  2 a  938.0 gram
V1 29 14 a  906.0 gram
V1 29  5 a  850.0 gram
V1 29  8 b 1545.0 ungram
V1 29 12 b  834.0 ungram
V1 29 15 b  690.0 ungram
V1 29  7 b  794.0 ungram
V1 29 16 b  562.0 ungram
V1 29  9 a  698.0 gram
V1 29  3 b  690.0 ungram
V1 29 13 a  730.0 gram
V1 29  4 b  770.0 ungram
V1 29 10 a  586.0 gram
V1  3 13 b  906.0 ungram
V1  3  1 b 1801.0 ungram
V1  3  5 b 1922.0 ungram
V1  3  6 b 1145.0 ungram
V1  3  3 a 2586.0 gram
V1  3 15 a  738.0 gram
V1  3  7 a  722.0 gram
V1  3  2 b  738.0 ungram
V1  3 12 a  738.0 gram
V1  3 16 a  714.0 gram
V1  3  4 a  546.0 gram
V1  3  9 b  618.0 ungram
V1  3  8 a  714.0 gram
V1  3 10 b  650.0 ungram
V1  3 14 b 1074.0 ungram
V1  3 11 a  728.0 gram
V1 30  8 a  425.0 gram
V1 30 12 a  490.0 gram
V1 30  6 b  906.0 ungram
V1 30  3 b  586.0 ungram
V1 30 14 b  546.0 ungram
V1 30  1 a  754.0 gram
V1 30 15 b  290.0 ungram
V1 30  5 a  754.0 gram
V1 30  4 a  706.0 gram
V1 30 13 a  402.0 gram
V1 30  9 a  474.0 gram
V1 30  7 b  529.0 ungram
V1 30 10 b  634.0 ungram
V1 30 16 a  514.0 gram
