"subj" "id" "cond" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT"
"72" 1 13 "c" 2 421 1 421 421 421 421 421 612 0 0 0 0 0 421
"73" 1 13 "c" 3 353 1 353 353 353 353 353 965 0 0 0 0 0 353
"74" 1 13 "c" 4 255 1 255 255 255 255 255 1220 0 0 0 0 0 255
"75" 1 13 "c" 5 0 0 0 0 0 0 0 1220 0 0 0 0 0 0
"76" 1 13 "c" 6 297 1 0 2001 2001 2001 2001 3221 0 0 0 0 0 2001
"77" 1 13 "c" 7 0 0 0 0 0 0 0 3221 0 0 0 0 0 0
"78" 1 14 "b" 1 77 1 0 391 391 391 391 391 0 0 0 0 0 391
"79" 1 14 "b" 2 172 1 172 172 172 172 172 563 0 0 0 0 0 172
"80" 1 14 "b" 3 322 1 0 729 729 729 729 1292 0 0 0 0 0 729
"81" 1 14 "b" 4 366 1 366 366 366 366 366 1658 0 0 0 0 0 366
"82" 1 14 "b" 5 0 0 0 0 0 0 0 1658 0 0 0 0 0 0
"83" 1 14 "b" 6 125 1 0 2145 2145 2145 2145 3803 0 0 0 0 0 2145
"84" 1 14 "b" 7 0 0 0 0 0 0 0 3803 0 0 0 0 0 0
"85" 1 15 "a" 1 93 1 0 242 242 466 242 242 224 0 224 0 0 224
"86" 1 15 "a" 2 321 1 0 321 510 510 734 976 189 189 0 1 1 189
"87" 1 15 "a" 3 228 1 228 228 228 228 228 1204 0 0 0 0 0 228
"88" 1 15 "a" 4 183 1 183 183 183 183 183 1387 0 0 0 0 0 183
"89" 1 15 "a" 5 267 1 0 1127 1127 1127 1127 2514 0 0 0 0 0 1127
"90" 1 15 "a" 6 0 0 0 0 0 0 0 2514 0 0 0 0 0 0
"91" 1 15 "a" 7 0 0 0 0 0 0 0 2514 0 0 0 0 0 0
"92" 1 16 "d" 1 201 1 0 382 382 382 382 382 0 0 0 0 0 382
"93" 1 16 "d" 2 148 1 0 148 148 924 148 530 776 0 776 0 0 776
"94" 1 16 "d" 3 256 1 0 632 632 1322 632 1162 690 0 690 0 0 690
"95" 1 16 "d" 4 870 1 0 870 870 1162 870 2032 292 0 292 0 0 292
"96" 1 16 "d" 5 0 0 0 0 0 0 0 2032 0 0 0 0 0 0
"97" 1 16 "d" 6 303 1 0 4201 4485 4485 6243 8275 284 284 0 1 1 284
"98" 1 16 "d" 7 0 0 0 0 0 0 0 8275 0 0 0 0 0 0
"99" 1 17 "c" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"100" 1 17 "c" 2 668 1 668 668 668 668 668 668 0 0 0 0 0 668
"101" 1 17 "c" 3 166 1 166 166 166 166 166 834 0 0 0 0 0 166
"102" 1 17 "c" 4 214 1 214 214 214 214 214 1048 0 0 0 0 0 214
"103" 1 17 "c" 5 0 0 0 0 0 0 0 1048 0 0 0 0 0 0
"104" 1 17 "c" 6 494 1 0 2884 2884 2884 2884 3932 0 0 0 0 0 2884
"105" 1 17 "c" 7 0 0 0 0 0 0 0 3932 0 0 0 0 0 0
"106" 1 18 "b" 1 187 1 0 319 319 319 319 319 0 0 0 0 0 319
"107" 1 18 "b" 2 184 1 184 184 184 184 184 503 0 0 0 0 0 184
"108" 1 18 "b" 3 223 1 0 811 811 811 811 1314 0 0 0 0 0 811
"109" 1 18 "b" 4 251 1 251 251 251 251 251 1565 0 0 0 0 0 251
"110" 1 18 "b" 5 0 0 0 0 0 0 0 1565 0 0 0 0 0 0
"111" 1 18 "b" 6 241 1 0 1290 1290 1290 1290 2855 0 0 0 0 0 1290
"112" 1 18 "b" 7 0 0 0 0 0 0 0 2855 0 0 0 0 0 0
"113" 1 19 "a" 1 178 1 0 633 633 633 633 633 0 0 0 0 0 633
"114" 1 19 "a" 2 320 1 320 320 320 320 320 953 0 0 0 0 0 320
"115" 1 19 "a" 3 236 1 236 236 236 236 236 1189 0 0 0 0 0 236
"116" 1 19 "a" 4 167 1 167 167 167 167 167 1356 0 0 0 0 0 167
"117" 1 19 "a" 5 0 0 0 0 0 0 0 1356 0 0 0 0 0 0
"118" 1 19 "a" 6 364 1 0 1981 1981 1981 1981 3337 0 0 0 0 0 1981
"119" 1 19 "a" 7 0 0 0 0 0 0 0 3337 0 0 0 0 0 0
"120" 1 20 "d" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"121" 1 20 "d" 2 231 1 0 441 441 1073 441 441 632 0 632 0 0 369
"122" 1 20 "d" 3 234 1 0 408 1018 1306 1281 1722 898 610 288 1 1 288
"123" 1 20 "d" 4 523 1 523 523 523 523 523 2245 0 0 0 0 0 523
"124" 1 20 "d" 5 0 0 0 0 0 0 0 2245 0 0 0 0 0 0
"125" 1 20 "d" 6 312 1 0 1381 1381 1381 2038 4283 0 0 0 1 1 1381
"126" 1 20 "d" 7 0 0 0 0 0 0 0 4283 0 0 0 0 0 0
"127" 1 21 "c" 1 19 1 0 19 19 353 19 19 334 0 334 0 0 334
"128" 1 21 "c" 2 207 1 0 207 507 507 841 860 300 300 0 1 1 300
"129" 1 21 "c" 3 211 1 0 211 211 607 211 1071 396 0 396 0 0 396
"130" 1 21 "c" 4 280 1 0 280 280 554 280 1351 274 0 274 0 0 274
"131" 1 21 "c" 5 0 0 0 0 0 0 0 1351 0 0 0 0 0 0
"132" 1 21 "c" 6 316 1 0 1172 1407 1407 2077 3428 235 235 0 1 1 235
"133" 1 21 "c" 7 0 0 0 0 0 0 0 3428 0 0 0 0 0 0
"134" 1 22 "b" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"135" 1 22 "b" 2 165 1 0 692 692 1145 692 692 453 0 453 0 0 453
