-Pre-test	LatSq-list	subj-ID	item-ID	cond	nominal	verb	target	synonym	gram	condition
2	2	R-R	10	a	khahesh	dashtan	0	0	1	-1
2	1	A-A	10	b	khahesh	dashtan	0	0	1	1
2	1	E-K	10	b	khahesh	dashtan	0	0	1	1
2	1	M-KH	10	b	khahesh	dashtan	0	0	1	1
2	1	R	10	b	khahesh	dashtan	0	0	1	1
2	1	Z-A	10	b	khahesh	dashtan	0	0	1	1
2	2	A-R	10	a	khahesh	kardan	1	1	1	-1
2	2	J	10	a	khahesh	kardan	1	1	1	-1
2	2	N-B	10	a	khahesh	kardan	1	1	1	-1
2	1	D-M	10	b	khahesh	kardan	1	1	1	1
2	1	F-A	10	b	khahesh	kardan	1	1	1	1
2	1	M-A	10	b	khahesh	zadan	0	0	0	1
2	3	A-J	11	a	atr	zadan	1	1	1	-1
2	3	D-J	11	a	atr	zadan	1	1	1	-1
2	3	M-A-S	11	a	atr	zadan	1	1	1	-1
2	3	M-M-S	11	a	atr	zadan	1	1	1	-1
2	3	M-M-2	11	a	atr	zadan	1	1	1	-1
2	3	M-P	11	a	atr	zadan	1	1	1	-1
2	3	P-A	11	a	atr	zadan	1	1	1	-1
2	3	Z-M	11	a	atr	zadan	1	1	1	-1
2	2	A-H	11	b	atr	zadan	1	1	1	1
2	2	A-R	11	b	atr	zadan	1	1	1	1
2	2	F-E	11	b	atr	zadan	1	1	1	1
2	2	J	11	b	atr	zadan	1	1	1	1
2	2	M-B	11	b	atr	zadan	1	1	1	1
2	2	M-M	11	b	atr	zadan	1	1	1	1
2	2	N-B	11	b	atr	zadan	1	1	1	1
2	2	R-R	11	b	atr	zadan	1	1	1	1
2	3	D-J	12	b	etteham	dashtan	0	0	1	1
2	3	M-A-S	12	b	etteham	vared-kardan	0	1	1	1
2	3	P-A	12	b	etteham	vared-kardan	0	1	1	1
2	3	Z-M	12	b	etteham	vared-kardan	0	1	1	1
2	4	D-S	12	a	etteham	zadan	1	1	1	-1
2	4	H-S	12	a	etteham	zadan	1	1	1	-1
2	4	M-H	12	a	etteham	zadan	1	1	1	-1
2	4	M-S	12	a	etteham	zadan	1	1	1	-1
2	4	M-T	12	a	etteham	zadan	1	1	1	-1
2	4	M-V	12	a	etteham	zadan	1	1	1	-1
2	4	O-M	12	a	etteham	zadan	1	1	1	-1
2	4	S-M	12	a	etteham	zadan	1	1	1	-1
2	3	A-J	12	b	etteham	zadan	1	1	1	1
2	3	M-M-S	12	b	etteham	zadan	1	1	1	1
2	3	M-M-2	12	b	etteham	zadan	1	1	1	1
2	3	M-P	12	b	etteham	zadan	1	1	1	1
2	1	A-A	13	a	labkhand	zadan	1	1	1	-1
2	1	D-M	13	a	labkhand	zadan	1	1	1	-1
2	1	E-K	13	a	labkhand	zadan	1	1	1	-1
2	1	F-A	13	a	labkhand	zadan	1	1	1	-1
2	1	M-A	13	a	labkhand	zadan	1	1	1	-1
2	1	M-KH	13	a	labkhand	zadan	1	1	1	-1
2	1	R	13	a	labkhand	zadan	1	1	1	-1
2	1	Z-A	13	a	labkhand	zadan	1	1	1	-1
2	4	D-S	13	b	labkhand	zadan	1	1	1	1
2	4	H-S	13	b	labkhand	zadan	1	1	1	1
2	4	M-H	13	b	labkhand	zadan	1	1	1	1
2	4	M-S	13	b	labkhand	zadan	1	1	1	1
2	4	M-T	13	b	labkhand	zadan	1	1	1	1
2	4	M-V	13	b	labkhand	zadan	1	1	1	1
2	4	O-M	13	b	labkhand	zadan	1	1	1	1
2	4	S-M	13	b	labkhand	zadan	1	1	1	1
2	1	M-A	14	b	tohmat	avardan	0	0	0	1
2	2	A-H	14	a	tohmat	zadan	1	1	1	-1
2	2	A-R	14	a	tohmat	zadan	1	1	1	-1
2	2	F-E	14	a	tohmat	zadan	1	1	1	-1
2	2	J	14	a	tohmat	zadan	1	1	1	-1
2	2	M-B	14	a	tohmat	zadan	1	1	1	-1
2	2	M-M	14	a	tohmat	zadan	1	1	1	-1
2	2	N-B	14	a	tohmat	zadan	1	1	1	-1
2	2	R-R	14	a	tohmat	zadan	1	1	1	-1
2	1	A-A	14	b	tohmat	zadan	1	1	1	1
2	1	D-M	14	b	tohmat	zadan	1	1	1	1
2	1	E-K	14	b	tohmat	zadan	1	1	1	1
2	1	F-A	14	b	tohmat	zadan	1	1	1	1
2	1	M-KH	14	b	tohmat	zadan	1	1	1	1
2	1	R	14	b	tohmat	zadan	1	1	1	1
2	1	Z-A	14	b	tohmat	zadan	1	1	1	1
2	3	M-P	15	a	zarbe	vared-kardan	0	1	1	-1
2	3	P-A	15	a	zarbe	vared-kardan	0	1	1	-1
2	2	M-M	15	b	zarbe	vared-kardan	0	1	1	1
2	2	N-B	15	b	zarbe	vared-kardan	0	1	1	1
2	2	R-R	15	b	zarbe	vared-kardan	0	1	1	1
2	3	A-J	15	a	zarbe	zadan	1	1	1	-1
2	3	D-J	15	a	zarbe	zadan	1	1	1	-1
2	3	M-A-S	15	a	zarbe	zadan	1	1	1	-1
2	3	M-M-S	15	a	zarbe	zadan	1	1	1	-1
2	3	M-M-2	15	a	zarbe	zadan	1	1	1	-1
2	3	Z-M	15	a	zarbe	zadan	1	1	1	-1
2	2	A-H	15	b	zarbe	zadan	1	1	1	1
2	2	A-R	15	b	zarbe	zadan	1	1	1	1
2	2	F-E	15	b	zarbe	zadan	1	1	1	1
2	2	J	15	b	zarbe	zadan	1	1	1	1
2	2	M-B	15	b	zarbe	zadan	1	1	1	1
2	4	S-M	16	a	harf	goftan	0	1	1	-1
2	3	A-J	16	b	harf	goftan	0	1	1	1
2	3	M-A-S	16	b	harf	goftan	0	1	1	1
2	4	D-S	16	a	harf	zadan	1	1	1	-1
2	4	H-S	16	a	harf	zadan	1	1	1	-1
2	4	M-H	16	a	harf	zadan	1	1	1	-1
2	4	M-S	16	a	harf	zadan	1	1	1	-1
2	4	M-T	16	a	harf	zadan	1	1	1	-1
2	4	M-V	16	a	harf	zadan	1	1	1	-1
2	4	O-M	16	a	harf	zadan	1	1	1	-1
2	3	D-J	16	b	harf	zadan	1	1	1	1
2	3	M-M-S	16	b	harf	zadan	1	1	1	1
2	3	M-M-2	16	b	harf	zadan	1	1	1	1
2	3	M-P	16	b	harf	zadan	1	1	1	1
2	3	P-A	16	b	harf	zadan	1	1	1	1
2	3	Z-M	16	b	harf	zadan	1	1	1	1
2	1	A-A	17	a	tosie	dadan	0	1	1	-1
2	1	D-M	17	a	tosie	kardan	1	1	1	-1
2	1	E-K	17	a	tosie	kardan	1	1	1	-1
2	1	F-A	17	a	tosie	kardan	1	1	1	-1
2	1	M-A	17	a	tosie	kardan	1	1	1	-1
2	1	M-KH	17	a	tosie	kardan	1	1	1	-1
2	1	R	17	a	tosie	kardan	1	1	1	-1
2	1	Z-A	17	a	tosie	kardan	1	1	1	-1
2	4	D-S	17	b	tosie	kardan	1	1	1	1
2	4	H-S	17	b	tosie	kardan	1	1	1	1
2	4	M-H	17	b	tosie	kardan	1	1	1	1
2	4	M-S	17	b	tosie	kardan	1	1	1	1
2	4	M-T	17	b	tosie	kardan	1	1	1	1
2	4	M-V	17	b	tosie	kardan	1	1	1	1
2	4	O-M	17	b	tosie	kardan	1	1	1	1
2	4	S-M	17	b	tosie	kardan	1	1	1	1
2	1	M-A	18	b	nasihat	dadan	0	0	0	1
2	2	A-H	18	a	nasihat	kardan	1	1	1	-1
2	2	A-R	18	a	nasihat	kardan	1	1	1	-1
2	2	F-E	18	a	nasihat	kardan	1	1	1	-1
2	2	J	18	a	nasihat	kardan	1	1	1	-1
2	2	M-B	18	a	nasihat	kardan	1	1	1	-1
2	2	M-M	18	a	nasihat	kardan	1	1	1	-1
2	2	N-B	18	a	nasihat	kardan	1	1	1	-1
2	2	R-R	18	a	nasihat	kardan	1	1	1	-1
2	1	A-A	18	b	nasihat	kardan	1	1	1	1
2	1	D-M	18	b	nasihat	kardan	1	1	1	1
2	1	E-K	18	b	nasihat	kardan	1	1	1	1
2	1	F-A	18	b	nasihat	kardan	1	1	1	1
2	1	M-KH	18	b	nasihat	kardan	1	1	1	1
2	1	R	18	b	nasihat	kardan	1	1	1	1
2	1	Z-A	18	b	nasihat	kardan	1	1	1	1
2	3	A-J	19	a	pishnahad	dadan	0	1	1	-1
2	3	D-J	19	a	pishnahad	dadan	0	1	1	-1
2	3	M-A-S	19	a	pishnahad	dadan	0	1	1	-1
2	3	M-M-S	19	a	pishnahad	dadan	0	1	1	-1
2	3	P-A	19	a	pishnahad	dadan	0	1	1	-1
2	3	Z-M	19	a	pishnahad	dadan	0	1	1	-1
2	2	J	19	b	pishnahad	dadan	0	1	1	1
2	2	M-B	19	b	pishnahad	dadan	0	1	1	1
2	2	M-M	19	b	pishnahad	dadan	0	1	1	1
2	2	R-R	19	b	pishnahad	dashtan	0	0	1	1
2	2	A-H	19	b	pishnahad	erae-dadan	0	1	1	1
2	3	M-M-2	19	a	pishnahad	kardan	1	1	1	-1
2	3	M-P	19	a	pishnahad	kardan	1	1	1	-1
2	2	A-R	19	b	pishnahad	kardan	1	1	1	1
2	2	F-E	19	b	pishnahad	kardan	1	1	1	1
2	2	N-B	19	b	pishnahad	kardan	1	1	1	1
2	4	M-T	20	a	rahnamayee	dadan	0	1	1	-1
2	4	S-M	20	a	rahnamayee	dadan	0	1	1	-1
2	3	A-J	20	b	rahnamayee	dadan	0	1	1	1
2	3	M-A-S	20	b	rahnamayee	dadan	0	1	1	1
2	3	P-A	20	b	rahnamayee	erae-dadan	0	1	1	1
2	4	D-S	20	a	rahnamayee	kardan	1	1	1	-1
2	4	H-S	20	a	rahnamayee	kardan	1	1	1	-1
2	4	M-H	20	a	rahnamayee	kardan	1	1	1	-1
2	4	M-S	20	a	rahnamayee	kardan	1	1	1	-1
2	4	O-M	20	a	rahnamayee	kardan	1	1	1	-1
2	3	D-J	20	b	rahnamayee	kardan	1	1	1	1
2	3	M-M-S	20	b	rahnamayee	kardan	1	1	1	1
2	3	M-M-2	20	b	rahnamayee	kardan	1	1	1	1
2	3	M-P	20	b	rahnamayee	kardan	1	1	1	1
2	3	Z-M	20	b	rahnamayee	kardan	1	1	1	1
2	4	M-V	20	a	rahnamayee	moarefi-kardan	0	0	0	-1
2	1	A-A	21	a	tazakkor	dadan	1	1	1	-1
2	1	D-M	21	a	tazakkor	dadan	1	1	1	-1
2	1	E-K	21	a	tazakkor	dadan	1	1	1	-1
2	1	F-A	21	a	tazakkor	dadan	1	1	1	-1
2	1	M-A	21	a	tazakkor	dadan	1	1	1	-1
2	1	M-KH	21	a	tazakkor	dadan	1	1	1	-1
2	1	R	21	a	tazakkor	dadan	1	1	1	-1
2	1	Z-A	21	a	tazakkor	dadan	1	1	1	-1
2	4	D-S	21	b	tazakkor	dadan	1	1	1	1
2	4	H-S	21	b	tazakkor	dadan	1	1	1	1
2	4	M-H	21	b	tazakkor	dadan	1	1	1	1
2	4	M-S	21	b	tazakkor	dadan	1	1	1	1
2	4	M-T	21	b	tazakkor	dadan	1	1	1	1
2	4	M-V	21	b	tazakkor	dadan	1	1	1	1
2	4	O-M	21	b	tazakkor	dadan	1	1	1	1
2	4	S-M	21	b	tazakkor	dadan	1	1	1	1
2	2	A-H	22	a	sefaresh	dadan	0	0	1	-1
2	2	J	22	a	sefaresh	dadan	0	0	1	-1
2	2	M-M	22	a	sefaresh	dadan	0	0	1	-1
2	1	A-A	22	b	sefaresh	dadan	0	0	1	1
2	1	M-A	22	b	sefaresh	dadan	0	0	1	1
2	2	M-B	22	a	sefaresh	dashtan	0	0	0	-1
2	2	R-R	22	a	sefaresh	dashtan	0	0	0	-1
2	2	A-R	22	a	sefaresh	kardan	1	1	1	-1
2	2	F-E	22	a	sefaresh	kardan	1	1	1	-1
2	2	N-B	22	a	sefaresh	kardan	1	1	1	-1
2	1	D-M	22	b	sefaresh	kardan	1	1	1	1
2	1	E-K	22	b	sefaresh	kardan	1	1	1	1
2	1	F-A	22	b	sefaresh	kardan	1	1	1	1
2	1	M-KH	22	b	sefaresh	kardan	1	1	1	1
2	1	R	22	b	sefaresh	kardan	1	1	1	1
2	1	Z-A	22	b	sefaresh	kardan	1	1	1	1
2	3	A-J	23	a	hoshdar	dadan	1	1	1	-1
2	3	D-J	23	a	hoshdar	dadan	1	1	1	-1
2	3	M-A-S	23	a	hoshdar	dadan	1	1	1	-1
2	3	M-M-S	23	a	hoshdar	dadan	1	1	1	-1
2	3	M-M-2	23	a	hoshdar	dadan	1	1	1	-1
2	3	M-P	23	a	hoshdar	dadan	1	1	1	-1
2	3	P-A	23	a	hoshdar	dadan	1	1	1	-1
2	3	Z-M	23	a	hoshdar	dadan	1	1	1	-1
2	2	A-H	23	b	hoshdar	dadan	1	1	1	1
2	2	A-R	23	b	hoshdar	dadan	1	1	1	1
2	2	F-E	23	b	hoshdar	dadan	1	1	1	1
2	2	J	23	b	hoshdar	dadan	1	1	1	1
2	2	M-B	23	b	hoshdar	dadan	1	1	1	1
2	2	M-M	23	b	hoshdar	dadan	1	1	1	1
2	2	N-B	23	b	hoshdar	dadan	1	1	1	1
2	2	R-R	23	b	hoshdar	dadan	1	1	1	1
2	4	D-S	24	a	ghol	dadan	1	1	1	-1
2	4	H-S	24	a	ghol	dadan	1	1	1	-1
2	4	M-H	24	a	ghol	dadan	1	1	1	-1
2	4	M-S	24	a	ghol	dadan	1	1	1	-1
2	4	M-T	24	a	ghol	dadan	1	1	1	-1
2	4	M-V	24	a	ghol	dadan	1	1	1	-1
2	4	O-M	24	a	ghol	dadan	1	1	1	-1
2	4	S-M	24	a	ghol	dadan	1	1	1	-1
2	3	A-J	24	b	ghol	dadan	1	1	1	1
2	3	D-J	24	b	ghol	dadan	1	1	1	1
2	3	M-A-S	24	b	ghol	dadan	1	1	1	1
2	3	M-M-S	24	b	ghol	dadan	1	1	1	1
2	3	M-M-2	24	b	ghol	dadan	1	1	1	1
2	3	M-P	24	b	ghol	dadan	1	1	1	1
2	3	P-A	24	b	ghol	dadan	1	1	1	1
2	3	Z-M	24	b	ghol	dadan	1	1	1	1
2	1	M-A	25	a	doroogh	dashtan	0	0	0	-1
2	1	A-A	25	a	doroogh	goftan	1	1	1	-1
2	1	D-M	25	a	doroogh	goftan	1	1	1	-1
2	1	E-K	25	a	doroogh	goftan	1	1	1	-1
2	1	F-A	25	a	doroogh	goftan	1	1	1	-1
2	1	M-KH	25	a	doroogh	goftan	1	1	1	-1
2	1	R	25	a	doroogh	goftan	1	1	1	-1
2	1	Z-A	25	a	doroogh	goftan	1	1	1	-1
2	4	D-S	25	b	doroogh	goftan	1	1	1	1
2	4	H-S	25	b	doroogh	goftan	1	1	1	1
2	4	M-H	25	b	doroogh	goftan	1	1	1	1
2	4	M-T	25	b	doroogh	goftan	1	1	1	1
2	4	M-V	25	b	doroogh	goftan	1	1	1	1
2	4	O-M	25	b	doroogh	goftan	1	1	1	1
2	4	S-M	25	b	doroogh	goftan	1	1	1	1
2	4	M-S	25	b	doroogh	yad-dadan	0	0	1	1
2	2	A-H	26	a	pishraft	dashtan	0	1	1	-1
2	2	A-R	26	a	pishraft	dashtan	0	1	1	-1
2	2	F-E	26	a	pishraft	dashtan	0	1	1	-1
2	2	M-B	26	a	pishraft	dashtan	0	1	1	-1
2	2	M-M	26	a	pishraft	dashtan	0	1	1	-1
2	2	N-B	26	a	pishraft	dashtan	0	1	1	-1
2	2	R-R	26	a	pishraft	dashtan	0	1	1	-1
2	1	A-A	26	b	pishraft	dashtan	0	1	1	1
2	1	D-M	26	b	pishraft	dashtan	0	1	1	1
2	1	E-K	26	b	pishraft	dashtan	0	1	1	1
2	1	F-A	26	b	pishraft	dashtan	0	1	1	1
2	1	R	26	b	pishraft	dashtan	0	1	1	1
2	1	M-A	26	b	pishraft	kar-kardan	0	0	0	1
2	2	J	26	a	pishraft	kardan	1	1	1	-1
2	1	M-KH	26	b	pishraft	kardan	1	1	1	1
2	1	Z-A	26	b	pishraft	kardan	1	1	1	1
2	2	M-B	27	b	lotf	eradat-dashtan	0	0	0	1
2	3	A-J	27	a	lotf	kardan	1	1	1	-1
2	3	D-J	27	a	lotf	kardan	1	1	1	-1
2	3	M-A-S	27	a	lotf	kardan	1	1	1	-1
2	3	M-M-S	27	a	lotf	kardan	1	1	1	-1
2	3	M-M-2	27	a	lotf	kardan	1	1	1	-1
2	3	M-P	27	a	lotf	kardan	1	1	1	-1
2	3	P-A	27	a	lotf	kardan	1	1	1	-1
2	3	Z-M	27	a	lotf	kardan	1	1	1	-1
2	2	A-H	27	b	lotf	kardan	1	1	1	1
2	2	A-R	27	b	lotf	kardan	1	1	1	1
2	2	F-E	27	b	lotf	kardan	1	1	1	1
2	2	M-M	27	b	lotf	kardan	1	1	1	1
2	2	N-B	27	b	lotf	kardan	1	1	1	1
2	2	R-R	27	b	lotf	kardan	1	1	1	1
2	2	J	27	b	lotf	pishnehad-kardan	0	0	1	1
2	4	M-V	28	a	sohbat	dashtan	0	0	1	-1
2	3	A-J	28	b	sohbat	dashtan	0	0	1	1
2	3	D-J	28	b	sohbat	dashtan	0	0	1	1
2	3	M-A-S	28	b	sohbat	dashtan	0	0	1	1
2	3	M-M-S	28	b	sohbat	dashtan	0	0	1	1
2	4	D-S	28	a	sohbat	kardan	1	1	1	-1
2	4	H-S	28	a	sohbat	kardan	1	1	1	-1
2	4	M-H	28	a	sohbat	kardan	1	1	1	-1
2	4	M-S	28	a	sohbat	kardan	1	1	1	-1
2	4	M-T	28	a	sohbat	kardan	1	1	1	-1
2	4	O-M	28	a	sohbat	kardan	1	1	1	-1
2	4	S-M	28	a	sohbat	kardan	1	1	1	-1
2	3	M-M-2	28	b	sohbat	kardan	1	1	1	1
2	3	M-P	28	b	sohbat	kardan	1	1	1	1
2	3	P-A	28	b	sohbat	kardan	1	1	1	1
2	3	Z-M	28	b	sohbat	kardan	1	1	1	1
2	1	A-A	29	a	gharar	dashtan	0	0	1	-1
2	1	M-A	29	a	gharar	dashtan	0	0	1	-1
2	1	M-KH	29	a	gharar	dashtan	0	0	1	-1
2	1	R	29	a	gharar	dashtan	0	0	1	-1
2	4	M-H	29	b	gharar	dashtan	0	0	1	1
2	4	M-T	29	b	gharar	dashtan	0	0	1	1
2	4	S-M	29	b	gharar	dashtan	0	0	1	1
2	1	D-M	29	a	gharar	gozashtan	1	1	1	-1
2	1	E-K	29	a	gharar	gozashtan	1	1	1	-1
2	1	F-A	29	a	gharar	gozashtan	1	1	1	-1
2	1	Z-A	29	a	gharar	gozashtan	1	1	1	-1
2	4	D-S	29	b	gharar	gozashtan	1	1	1	1
2	4	H-S	29	b	gharar	gozashtan	1	1	1	1
2	4	M-S	29	b	gharar	gozashtan	1	1	1	1
2	4	M-V	29	b	gharar	gozashtan	1	1	1	1
2	4	O-M	29	b	gharar	gozashtan	1	1	1	1
2	2	R-R	30	a	hads	dashtan	0	0	1	-1
