row	Pre.test	LatSq.list	subj.ID	item.ID	cond	nominal	verb	target	synonym	gram	condition	subject
770	1	1	M	25	a	doroogh	goftan	1	1	1	-1	M1
771	1	1	M-V	25	a	doroogh	goftan	1	1	1	-1	M-V1
772	1	1	R-	25	a	doroogh	goftan	1	1	1	-1	R-1
773	1	1	R-G	25	a	doroogh	goftan	1	1	1	-1	R-G1
774	1	4	A-GH	25	b	doroogh	goftan	1	1	1	1	A-GH4
775	1	4	H	25	b	doroogh	goftan	1	1	1	1	H4
776	1	4	M	25	b	doroogh	goftan	1	1	1	1	M4
777	1	4	M2	25	b	doroogh	goftan	1	1	1	1	M24
778	1	4	N	25	b	doroogh	goftan	1	1	1	1	N4
779	1	4	R	25	b	doroogh	goftan	1	1	1	1	R4
780	1	4	V	25	b	doroogh	goftan	1	1	1	1	V4
781	1	4	SM-M	25	b	doroogh	tahvil-dadan	0	1	1	1	SM-M4
798	1	2	D-KH	26	a	pishraft	kardan	1	1	1	-1	D-KH2
799	1	2	S	26	a	pishraft	kardan	1	1	1	-1	S2
800	1	2	S-A-	26	a	pishraft	kardan	1	1	1	-1	S-A-2
801	1	2	SH-H	26	a	pishraft	kardan	1	1	1	-1	SH-H2
802	1	2	T-D	26	a	pishraft	kardan	1	1	1	-1	T-D2
803	1	2	N	26	a	pishraft	dashtan	0	0	1	-1	N2
804	1	2	M-CH	26	a	pishraft	kardan	0	1	1	-1	M-CH2
805	1	2	S-A-E	26	a	pishraft	kardan	0	1	1	-1	S-A-E2
806	1	1	H	26	b	pishraft	anjam-dadan	0	0	0	1	H1
807	1	1	A	26	b	pishraft	be-anjam-resandan	0	0	0	1	A1
808	1	1	H-CH	26	b	pishraft	be-anjam-resandan	0	0	0	1	H-CH1
809	1	1	R-G	26	b	pishraft	be-dast-avardan	0	1	1	1	R-G1
810	1	1	K-V	26	b	pishraft	dashtan	1	0	1	1	K-V1
811	1	1	M	26	b	pishraft	dashtan	1	0	1	1	M1
812	1	1	R-	26	b	pishraft	kasb-kardan	0	1	1	1	R-1
813	1	1	M-V	26	b	pishraft	neshan-dadan	0	0	1	1	M-V1
830	1	3	M-A	27	a	lotf	dashtan	0	0	1	-1	M-A3
831	1	3	B-N	27	a	lotf	kardan	1	1	1	-1	B-N3
832	1	3	M-Z	27	a	lotf	kardan	1	1	1	-1	M-Z3
833	1	3	N-KH	27	a	lotf	kardan	1	1	1	-1	N-KH3
834	1	3	S-GH-	27	a	lotf	kardan	1	1	1	-1	S-GH-3
835	1	3	S-GH2	27	a	lotf	kardan	1	1	1	-1	S-GH23
836	1	3	S-R	27	a	lotf	kardan	1	1	1	-1	S-R3
837	1	3	ZH-Z	27	a	lotf	kardan	1	1	1	-1	ZH-Z3
838	1	2	D-KH	27	b	lotf	kardan	1	1	1	1	D-KH2
839	1	2	M-CH	27	b	lotf	kardan	1	1	1	1	M-CH2
840	1	2	N	27	b	lotf	kardan	1	1	1	1	N2
841	1	2	S	27	b	lotf	kardan	1	1	1	1	S2
842	1	2	S-A-	27	b	lotf	kardan	1	1	1	1	S-A-2
843	1	2	S-A-E	27	b	lotf	kardan	1	1	1	1	S-A-E2
844	1	2	SH-H	27	b	lotf	kardan	1	1	1	1	SH-H2
845	1	2	T-D	27	b	lotf	kardan	1	1	1	1	T-D2
862	1	4	A-GH	28	a	sohbat	kardan	1	1	1	-1	A-GH4
863	1	4	H	28	a	sohbat	kardan	1	1	1	-1	H4
864	1	4	M	28	a	sohbat	kardan	1	1	1	-1	M4
865	1	4	M2	28	a	sohbat	kardan	1	1	1	-1	M24
866	1	4	N	28	a	sohbat	kardan	1	1	1	-1	N4
867	1	4	R	28	a	sohbat	kardan	1	1	1	-1	R4
868	1	4	SM-M	28	a	sohbat	kardan	1	1	1	-1	SM-M4
869	1	4	V	28	a	sohbat	kardan	1	1	1	-1	V4
870	1	3	M-A	28	b	sohbat	dadan	0	0	0	1	M-A3
871	1	3	S-GH2	28	b	sohbat	dar-mian-gozashtan	0	0	1	1	S-GH23
872	1	3	S-GH-	28	b	sohbat	dashtan	0	0	1	1	S-GH-3
873	1	3	N-KH	28	b	sohbat	dashtan	0	0	1	1	N-KH3
874	1	3	B-N	28	b	sohbat	kardan	1	1	1	1	B-N3
875	1	3	M-Z	28	b	sohbat	kardan	1	1	1	1	M-Z3
876	1	3	S-R	28	b	sohbat	kardan	1	1	1	1	S-R3
877	1	3	ZH-Z	28	b	sohbat	kardan	1	1	1	1	ZH-Z3
894	1	1	H	29	a	gharar	dashtan	0	0	1	-1	H1
895	1	1	K-V	29	a	gharar	dashtan	0	0	1	-1	K-V1
896	1	1	M	29	a	gharar	dashtan	0	0	1	-1	M1
897	1	1	R-	29	a	gharar	dashtan	0	0	1	-1	R-1
898	1	1	R-G	29	a	gharar	dashtan	0	0	1	-1	R-G1
899	1	1	A	29	a	gharar	gozashtan	1	1	1	-1	A1
900	1	1	H-CH	29	a	gharar	gozashtan	1	1	1	-1	H-CH1
901	1	1	M-V	29	a	gharar	gozashtan	1	1	1	-1	M-V1
902	1	4	R	29	b	gharar	anjam-dadan	0	0	0	1	R4
903	1	4	M	29	b	gharar	dadan	0	0	0	1	M4
904	1	4	M2	29	b	gharar	dadan	0	0	0	1	M24
905	1	4	SM-M	29	b	gharar	jur-kardan	0	0	1	1	SM-M4
906	1	4	A-GH	29	b	gharar	gozashtan	1	1	1	1	A-GH4
907	1	4	H	29	b	gharar	gozashtan	1	1	1	1	H4
908	1	4	N	29	b	gharar	gozashtan	1	1	1	1	N4
909	1	4	V	29	b	gharar	gozashtan	1	1	1	1	V4
926	1	2	SH-H	30	a	hads	dashtan	0	0	1	-1	SH-H2
927	1	2	D-KH	30	a	hads	zadan	1	1	1	-1	D-KH2
928	1	2	M-CH	30	a	hads	zadan	1	1	1	-1	M-CH2
929	1	2	N	30	a	hads	zadan	1	1	1	-1	N2
930	1	2	S	30	a	hads	zadan	1	1	1	-1	S2
931	1	2	S-A-	30	a	hads	zadan	1	1	1	-1	S-A-2
932	1	2	S-A-E	30	a	hads	zadan	1	1	1	-1	S-A-E2
933	1	2	T-D	30	a	hads	zadan	1	1	1	-1	T-D2
934	1	1	H	30	b	hads	baian-kardan	0	0	1	1	H1
935	1	1	M-V	30	b	hads	baian-kardan	0	0	1	1	M-V1
936	1	1	M	30	b	hads	dashtan	0	0	1	1	M1
937	1	1	A	30	b	hads	zadan	1	1	1	1	A1
938	1	1	H-CH	30	b	hads	zadan	1	1	1	1	H-CH1
939	1	1	K-V	30	b	hads	zadan	1	1	1	1	K-V1
940	1	1	R-	30	b	hads	zadan	1	1	1	1	R-1
941	1	1	R-G	30	b	hads	zadan	1	1	1	1	R-G1
958	1	3	M-A	31	a	ghezavat	dashtan	0	0	1	-1	M-A3
959	1	3	N-KH	31	a	ghezavat	dashtan	0	0	1	-1	N-KH3
960	1	3	S-GH-	31	a	ghezavat	dashtan	0	0	1	-1	S-GH-3
961	1	3	S-GH2	31	a	ghezavat	dashtan	0	0	1	-1	S-GH23
962	1	3	B-N	31	a	ghezavat	kardan	1	1	1	-1	B-N3
963	1	3	M-Z	31	a	ghezavat	kardan	1	1	1	-1	M-Z3
964	1	3	S-R	31	a	ghezavat	kardan	1	1	1	-1	S-R3
965	1	3	ZH-Z	31	a	ghezavat	kardan	1	1	1	-1	ZH-Z3
966	1	2	T-D	31	b	ghezavat	dashtan	0	0	1	1	T-D2
967	1	2	D-KH	31	b	ghezavat	kardan	1	1	1	1	D-KH2
968	1	2	M-CH	31	b	ghezavat	kardan	1	1	1	1	M-CH2
969	1	2	N	31	b	ghezavat	kardan	1	1	1	1	N2
970	1	2	S	31	b	ghezavat	kardan	1	1	1	1	S2
971	1	2	S-A-	31	b	ghezavat	kardan	1	1	1	1	S-A-2
972	1	2	S-A-E	31	b	ghezavat	kardan	1	1	1	1	S-A-E2
973	1	2	SH-H	31	b	ghezavat	kardan	1	1	1	1	SH-H2
990	1	4	A-GH	32	a	hes	dashtan	0	0	1	-1	A-GH4
991	1	4	H	32	a	hes	dashtan	0	0	1	-1	H4
992	1	4	M	32	a	hes	dashtan	0	0	1	-1	M4
993	1	4	M2	32	a	hes	kardan	1	1	1	-1	M24
994	1	4	N	32	a	hes	kardan	1	1	1	-1	N4
995	1	4	R	32	a	hes	kardan	1	1	1	-1	R4
996	1	4	SM-M	32	a	hes	kardan	1	1	1	-1	SM-M4
997	1	4	V	32	a	hes	dashtan	0	0	1	-1	V4
998	1	3	S-GH-	32	b	hes	baian-kardan	0	0	1	1	S-GH-3
999	1	3	S-GH2	32	b	hes	dar-mian-gozashtan	0	0	1	1	S-GH23
1000	1	3	M-A	32	b	hes	kardan	1	1	1	1	M-A3
1001	1	3	M-Z	32	b	hes	kardan	1	1	1	1	M-Z3
1002	1	3	N-KH	32	b	hes	kardan	1	1	1	1	N-KH3
1003	1	3	S-R	32	b	hes	kardan	1	1	1	1	S-R3
1004	1	3	ZH-Z	32	b	hes	goftan	0	0	1	1	ZH-Z3
1005	1	3	B-N	32	b	hes	tekrar-shodan	0	0	1	1	B-N3
1022	1	1	H	33	a	estedlal	dashtan	0	0	1	-1	H1
1023	1	1	K-V	33	a	estedlal	dashtan	0	0	1	-1	K-V1
1024	1	1	M	33	a	estedlal	dashtan	0	0	1	-1	M1
1025	1	1	R-	33	a	estedlal	dashtan	0	0	1	-1	R-1
1026	1	1	R-G	33	a	estedlal	dashtan	0	0	1	-1	R-G1
1027	1	1	A	33	a	estedlal	kardan	1	1	1	-1	A1
1028	1	1	H-CH	33	a	estedlal	kardan	1	1	1	-1	H-CH1
1029	1	1	M-V	33	a	estedlal	kardan	1	1	1	-1	M-V1
1030	1	4	N	33	b	estedlal	baian-kardan	0	0	1	1	N4
1031	1	4	SM-M	33	b	estedlal	estedlal-kardan	0	0	0	1	SM-M4
1032	1	4	A-GH	33	b	estedlal	kardan	1	1	1	1	A-GH4
1033	1	4	H	33	b	estedlal	kardan	1	1	1	1	H4
1034	1	4	M	33	b	estedlal	kardan	1	1	1	1	M4
1035	1	4	M2	33	b	estedlal	kardan	1	1	1	1	M24
1036	1	4	R	33	b	estedlal	kardan	1	1	1	1	R4
1037	1	4	V	33	b	estedlal	kardan	1	1	1	1	V4
1054	1	2	D-KH	34	a	eshtebah	ghezavat-kardan	0	0	0	-1	D-KH2
1055	1	2	S-A-	34	a	eshtebah	ghezavat-kardan	0	0	0	-1	S-A-2
1056	1	2	S-A-E	34	a	eshtebah	ghezavat-kardan	0	0	0	-1	S-A-E2
1057	1	2	M-CH	34	a	eshtebah	kardan	1	1	1	-1	M-CH2
1058	1	2	N	34	a	eshtebah	kardan	1	1	1	-1	N2
1059	1	2	S	34	a	eshtebah	kardan	1	1	1	-1	S2
1060	1	2	SH-H	34	a	eshtebah	kardan	1	1	1	-1	SH-H2
1061	1	2	T-D	34	a	eshtebah	kardan	1	1	1	-1	T-D2
1062	1	1	R-G	34	b	eshtebah	dashtan	0	0	1	1	R-G1
1063	1	1	H-CH	34	b	eshtebah	kardan	1	1	1	1	H-CH1
1064	1	1	K-V	34	b	eshtebah	kardan	1	1	1	1	K-V1
1065	1	1	M	34	b	eshtebah	kardan	1	1	1	1	M1
1066	1	1	R-	34	b	eshtebah	kardan	1	1	1	1	R-1
1067	1	1	A	34	b	eshtebah	mortakeb-shodan	0	1	1	1	A1
1068	1	1	M-V	34	b	eshtebah	mortakeb-shodan	0	1	1	1	M-V1
1069	1	1	H	34	b	eshtebah	tekrar-kardan	0	0	1	1	H1
1086	1	3	M-A	35	a	tasmim	etekhaz-kardan	0	1	1	-1	M-A3
1087	1	3	B-N	35	a	tasmim	gereftan	1	1	1	-1	B-N3
1088	1	3	M-Z	35	a	tasmim	gereftan	1	1	1	-1	M-Z3
1089	1	3	N-KH	35	a	tasmim	gereftan	1	1	1	-1	N-KH3
1090	1	3	S-GH-	35	a	tasmim	gereftan	1	1	1	-1	S-GH-3
1091	1	3	S-GH2	35	a	tasmim	gereftan	1	1	1	-1	S-GH23
1092	1	3	S-R	35	a	tasmim	gereftan	1	1	1	-1	S-R3
1093	1	3	ZH-Z	35	a	tasmim	gereftan	1	1	1	-1	ZH-Z3
1094	1	2	N	35	b	tasmim	anjam-dadan	0	0	0	1	N2
1095	1	2	M-CH	35	b	tasmim	gereftan	1	1	1	1	M-CH2
1096	1	2	S	35	b	tasmim	gereftan	1	1	1	1	S2
1097	1	2	S-A-	35	b	tasmim	gereftan	1	1	1	1	S-A-2
1098	1	2	S-A-E	35	b	tasmim	gereftan	1	1	1	1	S-A-E2
1099	1	2	SH-H	35	b	tasmim	gereftan	1	1	1	1	SH-H2
1100	1	2	T-D	35	b	tasmim	gereftan	1	0	1	1	T-D2
1101	1	2	D-KH	35	b	tasmim	zadan	0	1	0	1	D-KH2
1118	1	4	SM-M	36	a	eteraf	anjam-dadan	0	0	0	-1	SM-M4
1119	1	4	A-GH	36	a	eteraf	kardan	1	1	1	-1	A-GH4
1120	1	4	H	36	a	eteraf	kardan	1	1	1	-1	H4
1121	1	4	M	36	a	eteraf	kardan	1	1	1	-1	M4
1122	1	4	M2	36	a	eteraf	kardan	1	1	1	-1	M24
1123	1	4	N	36	a	eteraf	kardan	1	1	1	-1	N4
1124	1	4	R	36	a	eteraf	kardan	1	1	1	-1	R4
1125	1	4	V	36	a	eteraf	kardan	1	1	1	-1	V4
1126	1	3	S-R	36	b	eteraf	baian-kardan	0	0	1	1	S-R3
1127	1	3	S-GH2	36	b	eteraf	dashtan	0	0	1	1	S-GH23
1128	1	3	S-GH-	36	b	eteraf	goftan	0	0	0	1	S-GH-3
1129	1	3	B-N	36	b	eteraf	kardan	1	1	1	1	B-N3
1130	1	3	M-A	36	b	eteraf	kardan	1	1	1	1	M-A3
1131	1	3	M-Z	36	b	eteraf	kardan	1	1	1	1	M-Z3
1132	1	3	N-KH	36	b	eteraf	kardan	1	1	1	1	N-KH3
1133	1	3	ZH-Z	36	b	eteraf	kardan	1	1	1	1	ZH-Z3
