"subject" "trial" "experiment" "item" "condition" "accuracy" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "FPRC" "TRC" "LPRT"
1 28 "gug" 3 "c" 0 3 236 1 0 236 236 5728 236 728 5492 0 5492 0 4 760
1 28 "gug" 3 "c" 0 4 136 1 0 368 600 4184 1056 1784 3816 232 3584 1 9 164
1 28 "gug" 3 "c" 0 5 188 1 0 336 336 4944 336 2120 4608 0 4608 0 9 196
1 28 "gug" 3 "c" 0 9 428 1 0 512 904 3736 3620 5740 3224 392 2832 1 7 448
1 28 "gug" 3 "c" 0 10 196 1 0 196 196 2044 196 5936 1848 0 1848 0 3 432
1 28 "gug" 3 "c" 0 11 328 1 0 328 1248 2736 6756 12692 2408 920 1488 3 6 204
1 28 "gug" 3 "c" 0 12 124 1 0 124 124 1260 2316 15008 1136 0 1136 1 3 276
1 28 "gug" 3 "c" 0 13 160 1 0 248 536 536 13832 28840 288 288 0 2 2 212
1 28 "gug" 3 "c" 0 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 28 "gug" 3 "c" 0 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 33 "gug" 9 "a" 1 1 152 1 0 152 152 1392 152 152 1240 0 1240 0 0 424
1 33 "gug" 9 "a" 1 2 128 1 0 128 128 788 128 280 660 0 660 0 3 172
1 33 "gug" 9 "a" 1 3 264 1 0 412 412 2292 412 692 1880 0 1880 0 1 792
1 33 "gug" 9 "a" 1 4 136 1 0 328 464 1856 716 1408 1528 136 1392 1 4 304
1 33 "gug" 9 "a" 1 5 316 1 0 316 316 2548 316 1724 2232 0 2232 0 3 404
1 33 "gug" 9 "a" 1 9 216 1 0 476 644 1776 4120 5844 1300 168 1132 1 5 168
1 33 "gug" 9 "a" 1 10 380 1 0 532 1160 1656 4800 10644 1124 628 496 2 2 140
1 33 "gug" 9 "a" 1 11 240 1 0 240 528 528 1620 12264 288 288 0 2 2 148
1 33 "gug" 9 "a" 1 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 33 "gug" 9 "a" 1 13 396 1 396 396 396 396 968 13232 0 0 0 1 1 396
1 33 "gug" 9 "a" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 33 "gug" 9 "a" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 36 "gug" 11 "c" 1 1 92 1 0 292 292 2116 292 292 1824 0 1824 0 0 360
1 36 "gug" 11 "c" 1 2 184 1 0 184 184 1340 184 476 1156 0 1156 0 6 132
1 36 "gug" 11 "c" 1 3 328 1 0 532 532 6240 532 1008 5708 0 5708 0 5 252
1 36 "gug" 11 "c" 1 4 296 1 0 296 296 3684 492 1500 3388 0 3388 1 9 408
1 36 "gug" 11 "c" 1 5 188 1 0 400 540 3340 1668 3168 2940 140 2800 1 4 748
1 36 "gug" 11 "c" 1 9 136 1 0 372 372 2460 372 3540 2088 0 2088 0 2 132
1 36 "gug" 11 "c" 1 10 148 1 0 364 364 2888 364 3904 2524 0 2524 0 2 508
1 36 "gug" 11 "c" 1 11 192 1 0 192 192 1596 192 4096 1404 0 1404 0 3 100
1 36 "gug" 11 "c" 1 12 0 0 0 64 272 272 6320 10416 208 208 0 2 2 208
1 36 "gug" 11 "c" 1 13 260 1 0 260 2448 2448 22288 32704 2188 2188 0 5 5 700
1 36 "gug" 11 "c" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 36 "gug" 11 "c" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 40 "gug" 8 "d" 1 1 0 0 0 344 344 2492 344 344 2148 0 2148 0 0 228
1 40 "gug" 8 "d" 1 2 104 1 0 104 236 3004 580 924 2900 132 2768 1 4 392
1 40 "gug" 8 "d" 1 3 156 1 0 316 316 2332 384 1308 2016 0 2016 1 5 136
1 40 "gug" 8 "d" 1 4 272 1 0 272 272 2364 272 1580 2092 0 2092 0 3 136
1 40 "gug" 8 "d" 1 5 248 1 0 248 248 1528 248 1828 1280 0 1280 0 4 292
1 40 "gug" 8 "d" 1 9 248 1 0 480 480 2644 480 2308 2164 0 2164 0 4 628
1 40 "gug" 8 "d" 1 10 176 1 0 176 176 1860 176 2484 1684 0 1684 0 2 316
1 40 "gug" 8 "d" 1 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 40 "gug" 8 "d" 1 12 268 1 0 268 704 704 14788 17272 436 436 0 3 3 244
1 40 "gug" 8 "d" 1 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 40 "gug" 8 "d" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 40 "gug" 8 "d" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 43 "gug" 2 "b" 1 1 152 1 0 152 152 1040 152 152 888 0 888 0 0 240
1 43 "gug" 2 "b" 1 2 164 1 0 340 340 1136 340 492 796 0 796 0 4 132
1 43 "gug" 2 "b" 1 3 372 1 0 372 372 1088 372 864 716 0 716 0 3 156
1 43 "gug" 2 "b" 1 4 168 1 0 300 300 1116 300 1164 816 0 816 0 2 216
1 43 "gug" 2 "b" 1 5 260 1 0 416 416 2116 416 1580 1700 0 1700 0 2 276
1 43 "gug" 2 "b" 1 9 300 1 0 300 516 2736 1496 3076 2436 216 2220 1 4 472
1 43 "gug" 2 "b" 1 10 244 1 0 244 244 1804 244 3320 1560 0 1560 0 1 792
1 43 "gug" 2 "b" 1 11 500 1 0 500 500 1628 500 3820 1128 0 1128 0 2 448
1 43 "gug" 2 "b" 1 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 43 "gug" 2 "b" 1 13 188 1 0 188 1032 1032 9876 13696 844 844 0 3 3 356
1 43 "gug" 2 "b" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 43 "gug" 2 "b" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 47 "gug" 15 "c" 0 1 196 1 0 196 196 820 196 196 624 0 624 0 0 388
1 47 "gug" 15 "c" 0 2 84 1 0 84 84 856 84 280 772 0 772 0 0 356
1 47 "gug" 15 "c" 0 3 164 1 0 304 452 1664 748 1028 1360 148 1212 1 4 332
1 47 "gug" 15 "c" 0 4 416 1 0 416 416 1712 416 1444 1296 0 1296 0 2 228
1 47 "gug" 15 "c" 0 5 212 1 0 356 356 2328 356 1800 1972 0 1972 0 4 460
1 47 "gug" 15 "c" 0 9 544 1 0 544 804 1452 2344 4144 908 260 648 2 3 364
1 47 "gug" 15 "c" 0 10 252 1 0 456 764 764 3580 7724 308 308 0 1 1 308
1 47 "gug" 15 "c" 0 11 0 0 172 172 172 172 172 7896 0 0 0 0 0 172
1 47 "gug" 15 "c" 0 12 252 1 0 252 460 460 2504 10400 208 208 0 2 2 208
1 47 "gug" 15 "c" 0 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 47 "gug" 15 "c" 0 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 47 "gug" 15 "c" 0 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 54 "gug" 12 "d" 1 1 216 1 0 216 216 412 216 216 196 0 196 0 0 196
1 54 "gug" 12 "d" 1 2 176 1 0 176 176 864 176 392 688 0 688 0 1 144
1 54 "gug" 12 "d" 1 3 88 1 0 256 256 2104 256 648 1848 0 1848 0 2 36
1 54 "gug" 12 "d" 1 4 128 1 0 412 612 612 1248 1896 200 200 0 1 1 200
1 54 "gug" 12 "d" 1 5 172 1 0 172 172 1316 172 2068 1144 0 1144 0 0 884
1 54 "gug" 12 "d" 1 9 236 1 0 236 236 592 236 2304 356 0 356 0 1 356
1 54 "gug" 12 "d" 1 10 232 1 0 532 1168 1168 4388 6692 636 636 0 1 1 636
1 54 "gug" 12 "d" 1 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 54 "gug" 12 "d" 1 12 140 1 0 140 320 320 696 7388 180 180 0 1 1 180
1 54 "gug" 12 "d" 1 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 54 "gug" 12 "d" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 54 "gug" 12 "d" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1 59 "gug" 1 "a" 1 1 136 1 0 136 136 1472 136 136 1336 0 1336 0 0 276
1 59 "gug" 1 "a" 1 2 0 0 0 148 148 644 228 364 496 0 496 1 3 124
1 59 "gug" 1 "a" 1 3 216 1 0 508 508 2456 508 872 1948 0 1948 0 4 132
1 59 "gug" 1 "a" 1 4 148 1 0 372 372 724 372 1244 352 0 352 0 1 140
1 59 "gug" 1 "a" 1 5 136 1 0 136 136 2084 136 1380 1948 0 1948 0 3 256
