utt	subject	gender	StartTime	EndTime	Item	WorldBet	TargetConsonant	TargetVowel	Burst	VOT	VowelEnd	Notes	msVOT	msVowel	logVOT	logVowel	vOff	vOn
e9gt01mw_enrw121	e9gt01mw	m	31.6894510791265	32.5315131070223	dnky4	dAn.ki	d	A	31.9322281140259	31.9458531746032	32.073128127284	NA	13.6250605772297	140.900013258026	2.61191078657463	4.94805051299992	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	34.6515353402511	35.587680443602	door5	do9	d	o	34.9973062952396	35.0071741221741	35.2248379069142	NA	9.86782693455979	227.531611674621	2.28927966046709	5.42728918115393	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	49.6203805025016	50.4797564203889	tnge5	th^N	th	^	49.7937167834761	49.8606575963719	50.0613124145906	NA	66.9408128957514	267.595631114432	4.20380883935676	5.58947700194155	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	56.293205892732	56.9052793882057	qwil4	kwhIl	kwh	I	56.3593302110549	56.4443424036281	56.6616439909297	NA	85.0121925732594	302.313779874844	4.44279468824184	5.7114654841896	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	59.7443353745124	60.5418856867964	cave3n	khev	kh	e	59.8085614109182	59.8688626629103	60.2415117157974	NA	60.3012519920512	432.950304879199	4.09935286623818	6.07062295208388	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	69.5893960885827	70.4611371275908	qwtn5	kwhEs.tS&n	kwh	E	69.7018185223956	69.7635204081633	69.8578848072562	NA	61.7018857676754	156.066284860643	4.12231449393984	5.05028081995668	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	72.638174253514	73.5470106558841	gmdp5	g^m.d9Aps	g	^	72.7233596008641	72.7375676937442	72.8406101120316	NA	14.2080928800823	117.250511167526	2.6538117233964	4.76431276695464	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	85.5758730130778	86.4908919760082	domz3	domz	d	o	85.7387423427784	85.7494671201814	85.9896270131985	NA	10.724777403027	250.884670420078	2.37255670963618	5.52499335314022	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	88.6616495652856	89.3170009846818	torn5	tho9n	th	o	88.7187890027743	88.7756597559659	88.9382729954727	NA	56.8707531915749	219.483992698414	4.04078120532411	5.39127930365286	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	91.4816729894843	92.1370244088804	cone5	khon	kh	o	91.5181262211493	91.5895259091291	91.799392654181	NA	71.3996879798202	281.266433031746	4.26829349930546	5.63930238036907	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	94.5367306910613	95.2106297921384	carx3	khA9	kh	A	94.5905562432751	94.6412712585034	94.904929533829	NA	50.7150152283202	314.373290553959	3.92622202510042	5.7505811032375	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	97.3629365756929	98.1357566457355	gglz3	gI.g&lz	g	I	97.4141466785879	97.435107589135	97.529083562503	NA	20.9609105470179	114.936883915092	3.04265930063797	4.74438314217697	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	106.676782062128	107.418689329369	dngr2	den.dZ&r	d	e	106.730022609104	106.745665842094	106.948194849368	NA	15.6432329902287	218.172240264138	2.75003842668522	5.38528484378472	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	110.430275054726	111.017618307958	coat3	khot	kh	o	110.485153554989	110.543802603292	110.711985871272	NA	58.6490483035789	226.832316282767	4.07157134825988	5.4242110497224	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	113.188569849406	113.819191026561	grdn3	gA9.dIxn	g	A	113.21285228363	113.230741106478	113.360893907927	NA	17.8888228486329	148.041624296809	2.8841760959501	4.99749347947079	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	115.909769280725	116.565120700121	dign4	dI.gIxN	d	I	116.013069092966	116.027502685285	116.117620949946	NA	14.4335923186816	104.551856980009	2.66955828973697	4.64968318736214	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	118.890539279492	119.459334851044	tkle5	thI.k&l	th	I	118.93708465825	118.971310832025	119.036001734027	NA	34.2261737753944	98.9170757772229	3.53299066643432	4.59428188072438	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	121.85913810931	122.514489528706	twin4	twhIn	twh	I	121.898671520794	122.039744268078	122.281048752834	NA	141.072747283388	382.377232040255	4.94927569550789	5.94640763976101	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	130.597423607121	131.246592465957	tuna5	thu.n&	th	u	130.634002482168	130.688959454429	130.887469104308	NA	54.956972260527	253.466622140394	4.00655055652263	5.535232146277	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	133.451354138316	134.032514830989	ckng4	khUk.IxN	kh	U	133.494375754503	133.525152093358	133.616981946625	NA	30.7763388546505	122.606192121793	3.42674617574324	4.80897752892974	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	136.262152460036	136.787670107665	duel4	dul	d	u	136.298529578864	136.311123866213	136.481861875185	NA	12.5942873492306	183.332296320941	2.53324332616569	5.21130033311118	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	141.815740336546	142.631838330511	cutx5	kh^.tIxN	kh	^	141.999377980588	142.11793917567	142.226391592534	NA	118.561195081867	227.013611946035	4.77542924147223	5.42500998020358	NA	NA
e9gt01mw_enrw121	e9gt01mw	m	147.845288500245	148.673751615331	tchr3	thi.tS&r	th	i	148.029624353499	148.086929799698	148.184041210687	NA	57.3054461982281	154.416857187726	4.0483956662935	5.0396558103081	NA	NA
