"item.ID" "cond" "verb" "V1" "count" "prob" "entropy"
"222" "2" "b" "zadan" "4" "8" "0.5" 1.40563906222957
"228" "30" "a" "dashtan" "1" "8" "0.125" 0.543564443199596
"229" "30" "a" "zadan" "7" "8" "0.875" 0.543564443199596
"230" "30" "b" "baian-kardan" "2" "8" "0.25" 1.2987949406954
"231" "30" "b" "dashtan" "1" "8" "0.125" 1.2987949406954
"232" "30" "b" "zadan" "5" "8" "0.625" 1.2987949406954
"238" "31" "a" "dashtan" "4" "8" "0.5" 1
"239" "31" "a" "kardan" "4" "8" "0.5" 1
"240" "31" "b" "dashtan" "1" "8" "0.125" 0.543564443199596
"241" "31" "b" "kardan" "7" "8" "0.875" 0.543564443199596
"251" "32" "a" "dashtan" "8" "8" "1" 0
"252" "32" "b" "baian-kardan" "1" "8" "0.125" 2
"253" "32" "b" "dar-mian-gozashtan" "1" "8" "0.125" 2
"254" "32" "b" "dashtan" "4" "8" "0.5" 2
"255" "32" "b" "goftan" "1" "8" "0.125" 2
"256" "32" "b" "tekrar-shodan" "1" "8" "0.125" 2
"264" "33" "a" "dashtan" "5" "8" "0.625" 0.954434002924965
"265" "33" "a" "kardan" "3" "8" "0.375" 0.954434002924965
"266" "33" "b" "baian-kardan" "1" "8" "0.125" 1.06127812445913
"267" "33" "b" "estedlal-kardan" "1" "8" "0.125" 1.06127812445913
"268" "33" "b" "kardan" "6" "8" "0.75" 1.06127812445913
"279" "34" "a" "ghezavat-kardan" "3" "8" "0.375" 0.954434002924965
"280" "34" "a" "kardan" "5" "8" "0.625" 0.954434002924965
"281" "34" "b" "dashtan" "1" "8" "0.125" 1.75
"282" "34" "b" "kardan" "4" "8" "0.5" 1.75
"283" "34" "b" "mortakeb-shodan" "2" "8" "0.25" 1.75
"284" "34" "b" "tekrar-kardan" "1" "8" "0.125" 1.75
"293" "35" "a" "etekhaz-kardan" "1" "8" "0.125" 0.543564443199596
"294" "35" "a" "gereftan" "7" "8" "0.875" 0.543564443199596
