"subject" "item" "condition" "rt" "correct" "roi" "expt"
"103" "e2_18" 8 "a" 259 1 "RCNP" "e2"
"104" "e2_2" 8 "a" 262 1 "RCNP" "e2"
"105" "e2_58" 8 "a" 268 1 "RCNP" "e2"
"106" "e2_42" 8 "a" 333 1 "RCNP" "e2"
"107" "e2_14" 8 "a" 341 1 "RCNP" "e2"
"108" "e2_26" 8 "a" 354 1 "RCNP" "e2"
"109" "e2_6" 8 "a" 370 1 "RCNP" "e2"
"110" "e2_54" 8 "a" 387 1 "RCNP" "e2"
"111" "e2_38" 8 "a" 393 1 "RCNP" "e2"
"112" "e2_22" 8 "a" 395 1 "RCNP" "e2"
"113" "e2_10" 8 "a" 434 1 "RCNP" "e2"
"114" "e2_34" 8 "a" 482 1 "RCNP" "e2"
"115" "e2_50" 8 "a" 488 1 "RCNP" "e2"
"116" "e2_46" 8 "a" 541 1 "RCNP" "e2"
"117" "e2_29" 9 "a" 202 1 "RCNP" "e2"
"118" "e2_13" 9 "a" 292 1 "RCNP" "e2"
"119" "e2_5" 9 "a" 330 1 "RCNP" "e2"
"120" "e2_37" 9 "a" 352 1 "RCNP" "e2"
"121" "e2_45" 9 "a" 369 1 "RCNP" "e2"
"122" "e2_53" 9 "a" 398 1 "RCNP" "e2"
"123" "e2_21" 9 "a" 402 1 "RCNP" "e2"
"124" "e2_49" 9 "a" 404 1 "RCNP" "e2"
"125" "e2_41" 9 "a" 415 1 "RCNP" "e2"
"126" "e2_9" 9 "a" 520 1 "RCNP" "e2"
"127" "e2_25" 9 "a" 579 1 "RCNP" "e2"
"128" "e2_17" 9 "a" 580 1 "RCNP" "e2"
"129" "e2_57" 9 "a" 795 1 "RCNP" "e2"
"130" "e2_33" 9 "a" 1161 1 "RCNP" "e2"
"131" "e2_40" 10 "a" 222 1 "RCNP" "e2"
"132" "e2_56" 10 "a" 285 1 "RCNP" "e2"
"133" "e2_20" 10 "a" 291 1 "RCNP" "e2"
"134" "e2_16" 10 "a" 313 1 "RCNP" "e2"
"135" "e2_48" 10 "a" 352 1 "RCNP" "e2"
"136" "e2_4" 10 "a" 366 1 "RCNP" "e2"
"137" "e2_52" 10 "a" 489 1 "RCNP" "e2"
"138" "e2_28" 10 "a" 571 1 "RCNP" "e2"
"139" "e2_12" 10 "a" 628 1 "RCNP" "e2"
"140" "e2_32" 10 "a" 655 1 "RCNP" "e2"
"141" "e2_60" 10 "a" 666 2 "RCNP" "e2"
"142" "e2_36" 10 "a" 748 1 "RCNP" "e2"
"143" "e2_44" 10 "a" 752 1 "RCNP" "e2"
"144" "e2_24" 10 "a" 781 1 "RCNP" "e2"
"145" "e2_8" 10 "a" 919 1 "RCNP" "e2"
"146" "e2_43" 11 "a" 208 1 "RCNP" "e2"
"147" "e2_19" 11 "a" 260 2 "RCNP" "e2"
"148" "e2_35" 11 "a" 333 1 "RCNP" "e2"
"149" "e2_15" 11 "a" 344 2 "RCNP" "e2"
"150" "e2_23" 11 "a" 425 2 "RCNP" "e2"
"151" "e2_47" 11 "a" 437 1 "RCNP" "e2"
"152" "e2_7" 11 "a" 446 1 "RCNP" "e2"
"153" "e2_39" 11 "a" 462 2 "RCNP" "e2"
"154" "e2_59" 11 "a" 466 2 "RCNP" "e2"
"155" "e2_51" 11 "a" 468 2 "RCNP" "e2"
"156" "e2_55" 11 "a" 513 2 "RCNP" "e2"
"157" "e2_27" 11 "a" 549 2 "RCNP" "e2"
"158" "e2_3" 11 "a" 669 2 "RCNP" "e2"
"159" "e2_31" 11 "a" 1005 2 "RCNP" "e2"
"160" "e2_2" 12 "a" 221 1 "RCNP" "e2"
"161" "e2_30" 12 "a" 269 1 "RCNP" "e2"
"162" "e2_22" 12 "a" 298 1 "RCNP" "e2"
"163" "e2_14" 12 "a" 311 1 "RCNP" "e2"
"164" "e2_18" 12 "a" 326 1 "RCNP" "e2"
"165" "e2_26" 12 "a" 326 1 "RCNP" "e2"
"166" "e2_6" 12 "a" 343 1 "RCNP" "e2"
"167" "e2_54" 12 "a" 363 1 "RCNP" "e2"
"168" "e2_10" 12 "a" 370 1 "RCNP" "e2"
"169" "e2_42" 12 "a" 416 1 "RCNP" "e2"
"170" "e2_58" 12 "a" 420 1 "RCNP" "e2"
"171" "e2_50" 12 "a" 467 1 "RCNP" "e2"
"172" "e2_46" 12 "a" 591 1 "RCNP" "e2"
"173" "e2_34" 12 "a" 633 1 "RCNP" "e2"
"174" "e2_38" 12 "a" 682 1 "RCNP" "e2"
"175" "e2_5" 13 "a" 291 1 "RCNP" "e2"
"176" "e2_41" 13 "a" 337 1 "RCNP" "e2"
"177" "e2_29" 13 "a" 342 1 "RCNP" "e2"
"178" "e2_17" 13 "a" 378 1 "RCNP" "e2"
"179" "e2_21" 13 "a" 399 1 "RCNP" "e2"
"180" "e2_45" 13 "a" 515 1 "RCNP" "e2"
"181" "e2_13" 13 "a" 585 1 "RCNP" "e2"
"182" "e2_33" 13 "a" 679 1 "RCNP" "e2"
"183" "e2_49" 13 "a" 798 1 "RCNP" "e2"
"184" "e2_25" 13 "a" 928 1 "RCNP" "e2"
"185" "e2_9" 13 "a" 965 1 "RCNP" "e2"
"186" "e2_57" 13 "a" 1251 1 "RCNP" "e2"
"187" "e2_53" 13 "a" 2105 1 "RCNP" "e2"
"188" "e2_37" 13 "a" 3067 1 "RCNP" "e2"
"189" "e2_40" 14 "a" 195 1 "RCNP" "e2"
"190" "e2_16" 14 "a" 300 1 "RCNP" "e2"
"191" "e2_4" 14 "a" 325 1 "RCNP" "e2"
"192" "e2_48" 14 "a" 362 1 "RCNP" "e2"
"193" "e2_56" 14 "a" 386 1 "RCNP" "e2"
"194" "e2_20" 14 "a" 396 1 "RCNP" "e2"
"195" "e2_8" 14 "a" 422 1 "RCNP" "e2"
"196" "e2_60" 14 "a" 427 2 "RCNP" "e2"
"197" "e2_52" 14 "a" 507 1 "RCNP" "e2"
"198" "e2_44" 14 "a" 564 1 "RCNP" "e2"
"199" "e2_36" 14 "a" 579 1 "RCNP" "e2"
"200" "e2_12" 14 "a" 687 1 "RCNP" "e2"
"201" "e2_32" 14 "a" 709 1 "RCNP" "e2"
"202" "e2_24" 14 "a" 961 1 "RCNP" "e2"
"203" "e2_28" 14 "a" 1784 1 "RCNP" "e2"
"204" "e2_35" 15 "a" 219 1 "RCNP" "e2"
"205" "e2_19" 15 "a" 306 1 "RCNP" "e2"
"206" "e2_15" 15 "a" 314 1 "RCNP" "e2"
"207" "e2_59" 15 "a" 341 1 "RCNP" "e2"
"208" "e2_27" 15 "a" 376 1 "RCNP" "e2"
"209" "e2_39" 15 "a" 387 1 "RCNP" "e2"
"210" "e2_55" 15 "a" 388 1 "RCNP" "e2"
"211" "e2_7" 15 "a" 459 1 "RCNP" "e2"
"212" "e2_51" 15 "a" 511 1 "RCNP" "e2"
"213" "e2_23" 15 "a" 515 1 "RCNP" "e2"
"214" "e2_47" 15 "a" 530 1 "RCNP" "e2"
"215" "e2_43" 15 "a" 542 1 "RCNP" "e2"
"216" "e2_31" 15 "a" 546 1 "RCNP" "e2"
"217" "e2_3" 15 "a" 663 1 "RCNP" "e2"
"218" "e2_26" 16 "a" 202 2 "RCNP" "e2"
"219" "e2_14" 16 "a" 295 1 "RCNP" "e2"
"220" "e2_6" 16 "a" 324 1 "RCNP" "e2"
"221" "e2_42" 16 "a" 334 1 "RCNP" "e2"
"222" "e2_34" 16 "a" 427 1 "RCNP" "e2"
"223" "e2_38" 16 "a" 439 1 "RCNP" "e2"
"224" "e2_10" 16 "a" 479 1 "RCNP" "e2"
"225" "e2_50" 16 "a" 481 1 "RCNP" "e2"
"226" "e2_22" 16 "a" 511 1 "RCNP" "e2"
"227" "e2_54" 16 "a" 547 1 "RCNP" "e2"
"228" "e2_18" 16 "a" 646 1 "RCNP" "e2"
"229" "e2_30" 16 "a" 684 1 "RCNP" "e2"
"230" "e2_46" 16 "a" 689 1 "RCNP" "e2"
"231" "e2_2" 16 "a" 1296 1 "RCNP" "e2"
"232" "e2_58" 16 "a" 5418 1 "RCNP" "e2"
"233" "e2_45" 17 "a" 256 1 "RCNP" "e2"
"234" "e2_13" 17 "a" 302 1 "RCNP" "e2"
"235" "e2_25" 17 "a" 306 1 "RCNP" "e2"
"236" "e2_29" 17 "a" 310 1 "RCNP" "e2"
"237" "e2_41" 17 "a" 340 1 "RCNP" "e2"
"238" "e2_53" 17 "a" 349 1 "RCNP" "e2"
