ID	exp	item	condition	CL 	BEI	aligned.position	region	correct	RT
3	e5	7	a	noCL	noBEI	1	1	-	546
3	e5	7	a	noCL	noBEI	2	2	-	450
3	e5	7	a	noCL	noBEI	3	3	-	387
3	e5	7	a	noCL	noBEI	4	4	-	490
3	e5	7	a	noCL	noBEI	5	5	-	466
3	e5	7	a	noCL	noBEI	6	6	-	1023
3	e5	7	a	noCL	noBEI	?	?	1	2436
3	e5	11	a	noCL	noBEI	0	0	-	594
3	e5	11	a	noCL	noBEI	1	1	-	602
3	e5	11	a	noCL	noBEI	2	2	-	482
3	e5	11	a	noCL	noBEI	3	3	-	522
3	e5	11	a	noCL	noBEI	4	4	-	602
3	e5	11	a	noCL	noBEI	5	5	-	482
3	e5	11	a	noCL	noBEI	6	6	-	3674
3	e5	11	a	noCL	noBEI	?	?	1	15034
3	e5	15	a	noCL	noBEI	0	0	-	705
3	e5	15	a	noCL	noBEI	1	1	-	586
3	e5	15	a	noCL	noBEI	2	2	-	562
3	e5	15	a	noCL	noBEI	3	3	-	1310
3	e5	15	a	noCL	noBEI	4	4	-	506
3	e5	15	a	noCL	noBEI	5	5	-	649
3	e5	15	a	noCL	noBEI	6	6	-	801
3	e5	15	a	noCL	noBEI	?	?	1	3427
3	e5	19	a	noCL	noBEI	0	0	-	418
3	e5	19	a	noCL	noBEI	1	1	-	641
3	e5	19	a	noCL	noBEI	2	2	-	354
3	e5	19	a	noCL	noBEI	3	3	-	362
3	e5	19	a	noCL	noBEI	4	4	-	848
3	e5	19	a	noCL	noBEI	5	5	-	410
3	e5	19	a	noCL	noBEI	6	6	-	1843
3	e5	19	a	noCL	noBEI	?	?	1	2091
3	e5	23	a	noCL	noBEI	0	0	-	347
3	e5	23	a	noCL	noBEI	1	1	-	410
3	e5	23	a	noCL	noBEI	2	2	-	395
3	e5	23	a	noCL	noBEI	3	3	-	418
3	e5	23	a	noCL	noBEI	4	4	-	522
3	e5	23	a	noCL	noBEI	5	5	-	426
3	e5	23	a	noCL	noBEI	6	6	-	704
3	e5	23	a	noCL	noBEI	?	?	1	1733
4	e5	2	a	noCL	noBEI	0	0	-	1692
4	e5	2	a	noCL	noBEI	1	1	-	1532
4	e5	2	a	noCL	noBEI	2	2	-	506
4	e5	2	a	noCL	noBEI	3	3	-	601
4	e5	2	a	noCL	noBEI	4	4	-	888
4	e5	2	a	noCL	noBEI	5	5	-	586
4	e5	2	a	noCL	noBEI	6	6	-	482
4	e5	2	a	noCL	noBEI	?	?	1	4855
4	e5	6	a	noCL	noBEI	0	0	-	570
4	e5	6	a	noCL	noBEI	1	1	-	817
4	e5	6	a	noCL	noBEI	2	2	-	538
4	e5	6	a	noCL	noBEI	3	3	-	586
4	e5	6	a	noCL	noBEI	4	4	-	514
4	e5	6	a	noCL	noBEI	5	5	-	387
4	e5	6	a	noCL	noBEI	6	6	-	1549
4	e5	6	a	noCL	noBEI	?	?	1	2154
4	e5	10	a	noCL	noBEI	0	0	-	864
4	e5	10	a	noCL	noBEI	1	1	-	418
4	e5	10	a	noCL	noBEI	2	2	-	538
4	e5	10	a	noCL	noBEI	3	3	-	522
4	e5	10	a	noCL	noBEI	4	4	-	545
4	e5	10	a	noCL	noBEI	5	5	-	339
4	e5	10	a	noCL	noBEI	6	6	-	474
4	e5	10	a	noCL	noBEI	?	?	1	5970
4	e5	14	a	noCL	noBEI	0	0	-	570
4	e5	14	a	noCL	noBEI	1	1	-	442
4	e5	14	a	noCL	noBEI	2	2	-	403
