"subject" "item" "condition" "RT" "correct" "roi" "expt"
"90" "e1_1" 2 "b" 323 "1" "Adv" "e1"
"91" "e1_1" 2 "b" 283 "1" "RCNP" "e1"
"92" "e1_1" 2 "b" 307 "1" "CL" "e1"
"93" "e1_1" 2 "b" 291 "1" "RCV" "e1"
"94" "e1_1" 2 "b" 728 "1" "MainV" "e1"
"95" "e1_1" 2 "b" 1358 "1" "MainO" "e1"
"96" "e1_1" 20 "d" 2671 "0" "MainO" "e1"
"97" "e1_1" 20 "d" 275 "0" "BEI" "e1"
"98" "e1_1" 20 "d" 625 "0" "MainV" "e1"
"99" "e1_1" 20 "d" 307 "0" "headnoun" "e1"
"100" "e1_1" 20 "d" 283 "0" "RCNP" "e1"
"101" "e1_1" 20 "d" 275 "0" "de" "e1"
"102" "e1_1" 20 "d" 330 "0" "Adv" "e1"
"103" "e1_1" 20 "d" 275 "0" "RCV" "e1"
"104" "e1_1" 20 "d" 291 "0" "CL" "e1"
"105" "e1_1" 21 "a" 2226 "0" "Adv" "e1"
"106" "e1_1" 21 "a" 236 "0" "RCNP" "e1"
"107" "e1_1" 21 "a" 2313 "0" "MainO" "e1"
"108" "e1_1" 21 "a" 315 "0" "de" "e1"
"109" "e1_1" 21 "a" 418 "0" "headnoun" "e1"
"110" "e1_1" 21 "a" 378 "0" "MainV" "e1"
"111" "e1_1" 21 "a" 387 "0" "RCV" "e1"
"112" "e1_1" 22 "b" 769 "1" "MainV" "e1"
"113" "e1_1" 22 "b" 426 "1" "de" "e1"
"114" "e1_1" 22 "b" 538 "1" "MainO" "e1"
"115" "e1_1" 22 "b" 1389 "1" "Adv" "e1"
"116" "e1_1" 22 "b" 474 "1" "CL" "e1"
"117" "e1_1" 22 "b" 418 "1" "RCNP" "e1"
"118" "e1_1" 22 "b" 705 "1" "RCV" "e1"
"119" "e1_1" 22 "b" 418 "1" "headnoun" "e1"
"120" "e1_1" 23 "c" 379 "1" "RCV" "e1"
"121" "e1_1" 23 "c" 371 "1" "BEI" "e1"
"122" "e1_1" 23 "c" 761 "1" "RCNP" "e1"
"123" "e1_1" 23 "c" 355 "1" "de" "e1"
"124" "e1_1" 23 "c" 554 "1" "MainO" "e1"
"125" "e1_1" 23 "c" 538 "1" "MainV" "e1"
"126" "e1_1" 23 "c" 960 "1" "Adv" "e1"
"127" "e1_1" 23 "c" 1032 "1" "headnoun" "e1"
"128" "e1_1" 24 "d" 315 "1" "Adv" "e1"
"129" "e1_1" 24 "d" 355 "1" "RCV" "e1"
"130" "e1_1" 24 "d" 299 "1" "RCNP" "e1"
"131" "e1_1" 24 "d" 299 "1" "headnoun" "e1"
"132" "e1_1" 24 "d" 299 "1" "CL" "e1"
"133" "e1_1" 24 "d" 307 "1" "BEI" "e1"
"134" "e1_1" 24 "d" 649 "1" "MainO" "e1"
"135" "e1_1" 24 "d" 331 "1" "de" "e1"
"136" "e1_1" 24 "d" 394 "1" "MainV" "e1"
"137" "e1_1" 3 "c" 339 "1" "RCV" "e1"
"138" "e1_1" 3 "c" 1119 "1" "Adv" "e1"
"139" "e1_1" 3 "c" 1644 "1" "MainO" "e1"
"140" "e1_1" 3 "c" 275 "1" "BEI" "e1"
"141" "e1_1" 3 "c" 322 "1" "MainV" "e1"
"142" "e1_1" 3 "c" 323 "1" "de" "e1"
"143" "e1_1" 3 "c" 315 "1" "RCNP" "e1"
"144" "e1_1" 3 "c" 386 "1" "headnoun" "e1"
"145" "e1_1" 4 "d" 363 "1" "BEI" "e1"
"146" "e1_1" 4 "d" 338 "1" "RCNP" "e1"
"147" "e1_1" 4 "d" 315 "1" "headnoun" "e1"
"148" "e1_1" 4 "d" 370 "1" "RCV" "e1"
"149" "e1_1" 4 "d" 784 "1" "MainV" "e1"
"150" "e1_1" 4 "d" 450 "1" "de" "e1"
"151" "e1_1" 4 "d" 355 "1" "MainO" "e1"
"152" "e1_1" 4 "d" 307 "1" "CL" "e1"
"153" "e1_1" 4 "d" 848 "1" "Adv" "e1"
"154" "e1_1" 5 "a" 299 "1" "RCNP" "e1"
"155" "e1_1" 5 "a" 283 "1" "headnoun" "e1"
"156" "e1_1" 5 "a" 625 "1" "Adv" "e1"
"157" "e1_1" 5 "a" 665 "1" "MainV" "e1"
"158" "e1_1" 5 "a" 569 "1" "MainO" "e1"
"159" "e1_1" 5 "a" 275 "1" "de" "e1"
"160" "e1_1" 5 "a" 291 "1" "RCV" "e1"
"161" "e1_1" 6 "b" 347 "1" "CL" "e1"
"162" "e1_1" 6 "b" 618 "1" "MainO" "e1"
"163" "e1_1" 6 "b" 1222 "1" "Adv" "e1"
"164" "e1_1" 6 "b" 371 "1" "RCNP" "e1"
"165" "e1_1" 6 "b" 578 "1" "MainV" "e1"
"166" "e1_1" 6 "b" 339 "1" "headnoun" "e1"
"167" "e1_1" 6 "b" 427 "1" "RCV" "e1"
"168" "e1_1" 6 "b" 355 "1" "de" "e1"
"169" "e1_1" 7 "c" 315 "1" "RCNP" "e1"
"170" "e1_1" 7 "c" 346 "1" "MainO" "e1"
"171" "e1_1" 7 "c" 339 "1" "RCV" "e1"
"172" "e1_1" 7 "c" 442 "1" "MainV" "e1"
"173" "e1_1" 7 "c" 323 "1" "headnoun" "e1"
"174" "e1_1" 7 "c" 370 "1" "Adv" "e1"
"175" "e1_1" 7 "c" 275 "1" "de" "e1"
"176" "e1_1" 7 "c" 355 "1" "BEI" "e1"
"177" "e1_1" 8 "d" 283 "1" "CL" "e1"
"178" "e1_1" 8 "d" 260 "1" "BEI" "e1"
"179" "e1_1" 8 "d" 896 "1" "MainO" "e1"
"180" "e1_1" 8 "d" 522 "1" "Adv" "e1"
"181" "e1_1" 8 "d" 570 "1" "RCV" "e1"
"182" "e1_1" 8 "d" 387 "1" "de" "e1"
