Publication;Lang;Method_Measure;Cue;IntType;DistrPos;Effect;SE;TargetType;DepType;VerbType;Prominence1;Prominence2
PearlmutterEtAl99E2;EN;ET_FPRT;num;retro;pp;-4;18;Mismatch;agreement;plural;other;other
PearlmutterEtAl99E3sing;EN;SPR_RT;num;retro;pp;-36;10;Match;agreement;sing;other;other
PearlmutterEtAl99E3plu;EN;SPR_RT;num;retro;pp;24;10;Match;agreement;plural;other;other
TuckerEtAl2015;AR;SPR_RT;num;retro;obj;-7;7;Match;agreement;sing;other;other
TuckerEtAl2015;AR;SPR_RT;num;retro;obj;-29;14;Mismatch;agreement;plural;other;other
WagersEtAl09E4;EN;SPR_RT;num;retro;pp;-27;13;Match;agreement;sing;other;other
WagersEtAl09E4;EN;SPR_RT;num;retro;pp;-42;17;Mismatch;agreement;plural;other;other
FranckEtAl15E1RC;FR;SPR_RT;num;pro;obj;110;48;Match;agreement;sing;other;other
VanDyke07E1LoSem;EN;SPR_RT;subj;retro;pp_subj;13;30;Match;nonagreement;sing;subj;subj_OR_topic
VanDyke07E2LoSem;EN;ET_FPRT;subj;retro;pp_subj;37;21;Match;nonagreement;sing;subj;subj_OR_topic
VanDyke07E3LoSem;EN;ET_FPRT;subj;retro;pp_subj;20;11;Match;nonagreement;sing;subj;subj_OR_topic
VanDykeEtal03E4;EN;SPR_RT;subj;retro;pp_subj;56;25;Match;nonagreement;sing;subj;subj_OR_topic
VanDykeEtAl11E2bPro;EN;ET_FPRT;subj;pro;obj;7;9;Match;nonagreement;sing;other;other
VanDykeEtAl11E2bRetro;EN;ET_FPRT;subj;retro;obj;-7;9;Match;nonagreement;sing;other;other
VanDyke07E3LoSyn;EN;ET_FPRT;subj;retro;pp;8;8;Match;nonagreement;sing;other;other
VanDyke07E1LoSyn;EN;SPR_RT;subj;retro;pp;54;34;Match;nonagreement;sing;other;other
VanDyke07E2LoSyn;EN;ET_FPRT;subj;retro;pp;44;19;Match;nonagreement;sing;other;other
VanDykeEtAl06;EN;SPR_RT;sem;pro;memory_3x;38;20;Match;nonagreement;sing;other;other
VanDykeEtAl11E1bPro;EN;ET_FPRT;subj;pro;subj;5;8;Match;nonagreement;sing;subj;subj_OR_topic
VanDykeEtAl11E1bRetro;EN;ET_FPRT;subj;pro;subj;-2;11;Match;nonagreement;sing;subj;subj_OR_topic
WagersEtAl09E5;EN;SPR_RT;num;retro;pp;-11;11;Match;agreement;sing;other;other
WagersEtAl09E5;EN;SPR_RT;num;retro;pp;-37;16;Mismatch;agreement;plural;other;other
WagersEtAl09E6;EN;SPR_RT;num;retro;pp;0;12;Match;agreement;sing;other;other
