"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int" "g" "i" "gxi" "lang" "method"
"104" "NP3" 12 "e1a" 8 "c" 8 "doctor" "rt" 762 "ungram" "hi" -1 1 1 "english" "spr"
"106" "NP3" 12 "e1a" 6 "a" 8 "conductor" "rt" 817 "gram" "hi" 1 1 -1 "english" "spr"
"108" "NP3" 12 "e1a" 7 "b" 8 "stranger" "rt" 730 "gram" "lo" 1 -1 1 "english" "spr"
"110" "NP3" 12 "e1a" 14 "a" 8 "spy" "rt" 762 "gram" "hi" 1 1 -1 "english" "spr"
"112" "NP3" 12 "e1a" 5 "d" 8 "father" "rt" 714 "ungram" "lo" -1 -1 -1 "english" "spr"
"114" "NP3" 12 "e1a" 12 "c" 8 "teacher" "rt" 930 "ungram" "hi" -1 1 1 "english" "spr"
"116" "NP3" 12 "e1a" 16 "c" 8 "friend" "rt" 802 "ungram" "hi" -1 1 1 "english" "spr"
"118" "NP3" 12 "e1a" 9 "d" 8 "bystander" "rt" 1114 "ungram" "lo" -1 -1 -1 "english" "spr"
"120" "NP3" 12 "e1a" 1 "d" 8 "peasant" "rt" 674 "ungram" "lo" -1 -1 -1 "english" "spr"
"122" "NP3" 12 "e1a" 10 "a" 8 "guard" "rt" 586 "gram" "hi" 1 1 -1 "english" "spr"
"124" "NP3" 12 "e1a" 3 "b" 8 "foreman" "rt" 794 "gram" "lo" 1 -1 1 "english" "spr"
"126" "NP3" 12 "e1a" 2 "a" 8 "sister" "rt" 570 "gram" "hi" 1 1 -1 "english" "spr"
"128" "NP3" 12 "e1a" 13 "d" 8 "worker" "rt" 1042 "ungram" "lo" -1 -1 -1 "english" "spr"
"130" "NP3" 13 "e1a" 11 "c" 8 "visitor" "rt" 562 "ungram" "hi" -1 1 1 "english" "spr"
"132" "NP3" 13 "e1a" 2 "b" 8 "sister" "rt" 1066 "gram" "lo" 1 -1 1 "english" "spr"
"134" "NP3" 13 "e1a" 4 "d" 8 "professor" "rt" 594 "ungram" "lo" -1 -1 -1 "english" "spr"
"136" "NP3" 13 "e1a" 16 "d" 8 "friend" "rt" 626 "ungram" "lo" -1 -1 -1 "english" "spr"
"138" "NP3" 13 "e1a" 10 "b" 8 "guard" "rt" 1330 "gram" "lo" 1 -1 1 "english" "spr"
"140" "NP3" 13 "e1a" 7 "c" 8 "stranger" "rt" 1050 "ungram" "hi" -1 1 1 "english" "spr"
"142" "NP3" 13 "e1a" 5 "a" 8 "father" "rt" 1234 "gram" "hi" 1 1 -1 "english" "spr"
"144" "NP3" 13 "e1a" 12 "d" 8 "teacher" "rt" 1018 "ungram" "lo" -1 -1 -1 "english" "spr"
"146" "NP3" 13 "e1a" 13 "a" 8 "worker" "rt" 1362 "gram" "hi" 1 1 -1 "english" "spr"
"148" "NP3" 13 "e1a" 8 "d" 8 "doctor" "rt" 1370 "ungram" "lo" -1 -1 -1 "english" "spr"
"150" "NP3" 13 "e1a" 15 "c" 8 "peasant" "rt" 602 "ungram" "hi" -1 1 1 "english" "spr"
"152" "NP3" 13 "e1a" 14 "b" 8 "spy" "rt" 834 "gram" "lo" 1 -1 1 "english" "spr"
"154" "NP3" 13 "e1a" 6 "b" 8 "conductor" "rt" 1217 "gram" "lo" 1 -1 1 "english" "spr"
