"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int" "g" "i" "gxi" "lang" "method"
"51" "NP3" 110 "e4" 2 "c" 9 "NA" "RRT" 1870.357 "ungram" "hi" -1 1 -1 "german" "et"
"52" "NP3" 32 "e4" 2 "c" 9 "NA" "RRT" 2984.17 "ungram" "hi" -1 1 -1 "german" "et"
"53" "NP3" 43 "e4" 2 "c" 9 "NA" "RRT" 395.078 "ungram" "hi" -1 1 -1 "german" "et"
"54" "NP3" 114 "e4" 2 "c" 9 "NA" "RRT" 1655.964 "ungram" "hi" -1 1 -1 "german" "et"
"55" "NP3" 118 "e4" 2 "c" 9 "NA" "RRT" 462.316 "ungram" "hi" -1 1 -1 "german" "et"
"56" "NP3" 101 "e4" 2 "c" 9 "NA" "RRT" 1542.576 "ungram" "hi" -1 1 -1 "german" "et"
"57" "NP3" 124 "e4" 2 "c" 9 "NA" "RRT" 769.163 "ungram" "hi" -1 1 -1 "german" "et"
"58" "NP3" 36 "e4" 2 "c" 9 "NA" "RRT" 357.227 "ungram" "hi" -1 1 -1 "german" "et"
"59" "NP3" 122 "e4" 2 "c" 9 "NA" "RRT" 2244.375 "ungram" "hi" -1 1 -1 "german" "et"
"60" "NP3" 127 "e4" 2 "c" 9 "NA" "RRT" 235.362 "ungram" "hi" -1 1 -1 "german" "et"
"61" "NP3" 33 "e4" 2 "d" 9 "NA" "RRT" 168.115 "ungram" "lo" -1 -1 1 "german" "et"
"62" "NP3" 37 "e4" 2 "d" 9 "NA" "RRT" 222.759 "ungram" "lo" -1 -1 1 "german" "et"
"63" "NP3" 106 "e4" 2 "d" 9 "NA" "RRT" 100.875 "ungram" "lo" -1 -1 1 "german" "et"
"64" "NP3" 123 "e4" 2 "d" 9 "NA" "RRT" 176.527 "ungram" "lo" -1 -1 1 "german" "et"
"65" "NP3" 115 "e4" 2 "d" 9 "NA" "RRT" 121.876 "ungram" "lo" -1 -1 1 "german" "et"
"66" "NP3" 111 "e4" 2 "d" 9 "NA" "RRT" 407.676 "ungram" "lo" -1 -1 1 "german" "et"
"67" "NP3" 48 "e4" 2 "d" 9 "NA" "RRT" 306.851 "ungram" "lo" -1 -1 1 "german" "et"
"68" "NP3" 102 "e4" 2 "d" 9 "NA" "RRT" 495.989 "ungram" "lo" -1 -1 1 "german" "et"
"69" "NP3" 125 "e4" 2 "d" 9 "NA" "RRT" 176.529 "ungram" "lo" -1 -1 1 "german" "et"
"70" "NP3" 44 "e4" 2 "d" 9 "NA" "RRT" 727.136 "ungram" "lo" -1 -1 1 "german" "et"
"71" "NP3" 44 "e4" 3 "a" 9 "NA" "RRT" 1319.775 "gram" "hi" 1 1 1 "german" "et"
"72" "NP3" 41 "e4" 3 "a" 9 "NA" "RRT" 243.756 "gram" "hi" 1 1 1 "german" "et"
"73" "NP3" 33 "e4" 3 "a" 9 "NA" "RRT" 592.588 "gram" "hi" 1 1 1 "german" "et"
"74" "NP3" 48 "e4" 3 "a" 9 "NA" "RRT" 1059.187 "gram" "hi" 1 1 1 "german" "et"
"75" "NP3" 111 "e4" 3 "a" 9 "NA" "RRT" 71.464 "gram" "hi" 1 1 1 "german" "et"
"76" "NP3" 115 "e4" 3 "a" 9 "NA" "RRT" 176.532 "gram" "hi" 1 1 1 "german" "et"
"77" "NP3" 125 "e4" 3 "a" 9 "NA" "RRT" 609.404 "gram" "hi" 1 1 1 "german" "et"
"78" "NP3" 102 "e4" 3 "a" 9 "NA" "RRT" 659.858 "gram" "hi" 1 1 1 "german" "et"
"79" "NP3" 123 "e4" 3 "a" 9 "NA" "RRT" 441.319 "gram" "hi" 1 1 1 "german" "et"
"80" "NP3" 30 "e4" 3 "b" 9 "NA" "RRT" 138.698 "gram" "lo" 1 -1 -1 "german" "et"
"81" "NP3" 34 "e4" 3 "b" 9 "NA" "RRT" 664.088 "gram" "lo" 1 -1 -1 "german" "et"
"82" "NP3" 107 "e4" 3 "b" 9 "NA" "RRT" 197.545 "gram" "lo" 1 -1 -1 "german" "et"
"83" "NP3" 45 "e4" 3 "b" 9 "NA" "RRT" 495.937 "gram" "lo" 1 -1 -1 "german" "et"
"84" "NP3" 103 "e4" 3 "b" 9 "NA" "RRT" 243.763 "gram" "lo" 1 -1 -1 "german" "et"
"85" "NP3" 108 "e4" 3 "b" 9 "NA" "RRT" 281.588 "gram" "lo" 1 -1 -1 "german" "et"
"86" "NP3" 120 "e4" 3 "b" 9 "NA" "RRT" 941.471 "gram" "lo" 1 -1 -1 "german" "et"
"87" "NP3" 38 "e4" 3 "b" 9 "NA" "RRT" 622.06 "gram" "lo" 1 -1 -1 "german" "et"
"88" "NP3" 116 "e4" 3 "b" 9 "NA" "RRT" 777.539 "gram" "lo" 1 -1 -1 "german" "et"
"89" "NP3" 31 "e4" 3 "c" 9 "NA" "RRT" 512.757 "ungram" "hi" -1 1 -1 "german" "et"
"90" "NP3" 117 "e4" 3 "c" 9 "NA" "RRT" 781.764 "ungram" "hi" -1 1 -1 "german" "et"
"91" "NP3" 35 "e4" 3 "c" 9 "NA" "RRT" 163.924 "ungram" "hi" -1 1 -1 "german" "et"
"92" "NP3" 104 "e4" 3 "c" 9 "NA" "RRT" 210.137 "ungram" "hi" -1 1 -1 "german" "et"
"93" "NP3" 39 "e4" 3 "c" 9 "NA" "RRT" 138.679 "ungram" "hi" -1 1 -1 "german" "et"
"94" "NP3" 113 "e4" 3 "c" 9 "NA" "RRT" 323.636 "ungram" "hi" -1 1 -1 "german" "et"
"95" "NP3" 109 "e4" 3 "c" 9 "NA" "RRT" 634.667 "ungram" "hi" -1 1 -1 "german" "et"
"96" "NP3" 121 "e4" 3 "c" 9 "NA" "RRT" 773.337 "ungram" "hi" -1 1 -1 "german" "et"
"97" "NP3" 100 "e4" 3 "c" 9 "NA" "RRT" 247.987 "ungram" "hi" -1 1 -1 "german" "et"
"98" "NP3" 126 "e4" 3 "c" 9 "NA" "RRT" 395.069 "ungram" "hi" -1 1 -1 "german" "et"
"99" "NP3" 50 "e4" 3 "c" 9 "NA" "RRT" 580.018 "ungram" "hi" -1 1 -1 "german" "et"
"100" "NP3" 42 "e4" 3 "c" 9 "NA" "RRT" 458.123 "ungram" "hi" -1 1 -1 "german" "et"
"101" "NP3" 36 "e4" 3 "d" 9 "NA" "RRT" 432.92 "ungram" "lo" -1 -1 1 "german" "et"
"102" "NP3" 32 "e4" 3 "d" 9 "NA" "RRT" 2353.59 "ungram" "lo" -1 -1 1 "german" "et"
"103" "NP3" 124 "e4" 3 "d" 9 "NA" "RRT" 180.737 "ungram" "lo" -1 -1 1 "german" "et"
"104" "NP3" 118 "e4" 3 "d" 9 "NA" "RRT" 205.976 "ungram" "lo" -1 -1 1 "german" "et"
"105" "NP3" 43 "e4" 3 "d" 9 "NA" "RRT" 20.999 "ungram" "lo" -1 -1 1 "german" "et"
"106" "NP3" 122 "e4" 3 "d" 9 "NA" "RRT" 184.949 "ungram" "lo" -1 -1 1 "german" "et"
"107" "NP3" 114 "e4" 3 "d" 9 "NA" "RRT" 256.352 "ungram" "lo" -1 -1 1 "german" "et"
"108" "NP3" 101 "e4" 3 "d" 9 "NA" "RRT" 697.694 "ungram" "lo" -1 -1 1 "german" "et"
"109" "NP3" 110 "e4" 3 "d" 9 "NA" "RRT" 500.137 "ungram" "lo" -1 -1 1 "german" "et"
"110" "NP3" 43 "e4" 4 "a" 9 "NA" "RRT" 386.69 "gram" "hi" 1 1 1 "german" "et"
"111" "NP3" 124 "e4" 4 "a" 9 "NA" "RRT" 121.885 "gram" "hi" 1 1 1 "german" "et"
"112" "NP3" 122 "e4" 4 "a" 9 "NA" "RRT" 1214.699 "gram" "hi" 1 1 1 "german" "et"
"113" "NP3" 118 "e4" 4 "a" 9 "NA" "RRT" 218.546 "gram" "hi" 1 1 1 "german" "et"
"114" "NP3" 114 "e4" 4 "a" 9 "NA" "RRT" 592.619 "gram" "hi" 1 1 1 "german" "et"
"115" "NP3" 110 "e4" 4 "a" 9 "NA" "RRT" 588.405 "gram" "hi" 1 1 1 "german" "et"
"116" "NP3" 101 "e4" 4 "a" 9 "NA" "RRT" 773.346 "gram" "hi" 1 1 1 "german" "et"
"117" "NP3" 36 "e4" 4 "a" 9 "NA" "RRT" 559.001 "gram" "hi" 1 1 1 "german" "et"
"118" "NP3" 32 "e4" 4 "a" 9 "NA" "RRT" 1975.462 "gram" "hi" 1 1 1 "german" "et"
"119" "NP3" 44 "e4" 4 "b" 9 "NA" "RRT" 449.727 "gram" "lo" 1 -1 -1 "german" "et"
"120" "NP3" 33 "e4" 4 "b" 9 "NA" "RRT" 29.436 "gram" "lo" 1 -1 -1 "german" "et"
"121" "NP3" 102 "e4" 4 "b" 9 "NA" "RRT" 222.757 "gram" "lo" 1 -1 -1 "german" "et"
"122" "NP3" 106 "e4" 4 "b" 9 "NA" "RRT" 163.901 "gram" "lo" 1 -1 -1 "german" "et"
"123" "NP3" 48 "e4" 4 "b" 9 "NA" "RRT" 210.163 "gram" "lo" 1 -1 -1 "german" "et"
"124" "NP3" 115 "e4" 4 "b" 9 "NA" "RRT" 470.748 "gram" "lo" 1 -1 -1 "german" "et"
"125" "NP3" 125 "e4" 4 "b" 9 "NA" "RRT" 748.123 "gram" "lo" 1 -1 -1 "german" "et"
"126" "NP3" 34 "e4" 4 "c" 9 "NA" "RRT" 1012.909 "ungram" "hi" -1 1 -1 "german" "et"
"127" "NP3" 103 "e4" 4 "c" 9 "NA" "RRT" 306.825 "ungram" "hi" -1 1 -1 "german" "et"
"128" "NP3" 45 "e4" 4 "c" 9 "NA" "RRT" 1387.003 "ungram" "hi" -1 1 -1 "german" "et"
"129" "NP3" 38 "e4" 4 "c" 9 "NA" "RRT" 2677.335 "ungram" "hi" -1 1 -1 "german" "et"
"130" "NP3" 107 "e4" 4 "c" 9 "NA" "RRT" 466.53 "ungram" "hi" -1 1 -1 "german" "et"
"131" "NP3" 49 "e4" 4 "c" 9 "NA" "RRT" 806.93 "ungram" "hi" -1 1 -1 "german" "et"
"132" "NP3" 128 "e4" 4 "c" 9 "NA" "RRT" 109.289 "ungram" "hi" -1 1 -1 "german" "et"
"133" "NP3" 116 "e4" 4 "c" 9 "NA" "RRT" 533.759 "ungram" "hi" -1 1 -1 "german" "et"
"134" "NP3" 112 "e4" 4 "c" 9 "NA" "RRT" 395.097 "ungram" "hi" -1 1 -1 "german" "et"
"135" "NP3" 108 "e4" 4 "c" 9 "NA" "RRT" 445.511 "ungram" "hi" -1 1 -1 "german" "et"
