"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int" "g" "i" "gxi" "lang" "method"
"1" "NP3" 1 "e2" 16 "d" 5 "NA" "RRT" 1088 "ungram" "lo" -1 -1 1 "english" "et"
"2" "NP3" 1 "e2" 13 "a" 5 "NA" "RRT" 2704 "gram" "hi" 1 1 1 "english" "et"
"3" "NP3" 1 "e2" 7 "c" 5 "NA" "RRT" 3496 "ungram" "hi" -1 1 -1 "english" "et"
"4" "NP3" 1 "e2" 5 "a" 5 "NA" "RRT" 2000 "gram" "hi" 1 1 1 "english" "et"
"5" "NP3" 1 "e2" 10 "b" 5 "NA" "RRT" 3176 "gram" "lo" 1 -1 -1 "english" "et"
"6" "NP3" 1 "e2" 3 "c" 5 "NA" "RRT" 4608 "ungram" "hi" -1 1 -1 "english" "et"
"7" "NP3" 1 "e2" 9 "a" 5 "NA" "RRT" 2232 "gram" "hi" 1 1 1 "english" "et"
"8" "NP3" 1 "e2" 8 "d" 5 "NA" "RRT" 1280 "ungram" "lo" -1 -1 1 "english" "et"
"9" "NP3" 1 "e2" 2 "b" 5 "NA" "RRT" 1700 "gram" "lo" 1 -1 -1 "english" "et"
"10" "NP3" 1 "e2" 15 "c" 5 "NA" "RRT" 1972 "ungram" "hi" -1 1 -1 "english" "et"
"11" "NP3" 1 "e2" 12 "d" 5 "NA" "RRT" 1144 "ungram" "lo" -1 -1 1 "english" "et"
"12" "NP3" 1 "e2" 1 "a" 5 "NA" "RRT" 1948 "gram" "hi" 1 1 1 "english" "et"
"13" "NP3" 1 "e2" 4 "d" 5 "NA" "RRT" 4288 "ungram" "lo" -1 -1 1 "english" "et"
"14" "NP3" 1 "e2" 6 "b" 5 "NA" "RRT" 1084 "gram" "lo" 1 -1 -1 "english" "et"
"15" "NP3" 1 "e2" 14 "b" 5 "NA" "RRT" 792 "gram" "lo" 1 -1 -1 "english" "et"
"16" "NP3" 2 "e2" 16 "a" 5 "NA" "RRT" 712 "gram" "hi" 1 1 1 "english" "et"
"17" "NP3" 2 "e2" 6 "c" 5 "NA" "RRT" 588 "ungram" "hi" -1 1 -1 "english" "et"
"18" "NP3" 2 "e2" 2 "c" 5 "NA" "RRT" 864 "ungram" "hi" -1 1 -1 "english" "et"
"19" "NP3" 2 "e2" 9 "b" 5 "NA" "RRT" 432 "gram" "lo" 1 -1 -1 "english" "et"
"20" "NP3" 2 "e2" 13 "b" 5 "NA" "RRT" 928 "gram" "lo" 1 -1 -1 "english" "et"
"21" "NP3" 2 "e2" 15 "d" 5 "NA" "RRT" 428 "ungram" "lo" -1 -1 1 "english" "et"
"22" "NP3" 2 "e2" 8 "a" 5 "NA" "RRT" 260 "gram" "hi" 1 1 1 "english" "et"
"23" "NP3" 2 "e2" 10 "c" 5 "NA" "RRT" 396 "ungram" "hi" -1 1 -1 "english" "et"
"24" "NP3" 2 "e2" 3 "d" 5 "NA" "RRT" 576 "ungram" "lo" -1 -1 1 "english" "et"
"25" "NP3" 2 "e2" 4 "a" 5 "NA" "RRT" 1460 "gram" "hi" 1 1 1 "english" "et"
"26" "NP3" 2 "e2" 12 "a" 5 "NA" "RRT" 460 "gram" "hi" 1 1 1 "english" "et"
"27" "NP3" 2 "e2" 1 "b" 5 "NA" "RRT" 324 "gram" "lo" 1 -1 -1 "english" "et"
"28" "NP3" 2 "e2" 7 "d" 5 "NA" "RRT" 272 "ungram" "lo" -1 -1 1 "english" "et"
"29" "NP3" 2 "e2" 14 "c" 5 "NA" "RRT" 580 "ungram" "hi" -1 1 -1 "english" "et"
"30" "NP3" 3 "e2" 1 "c" 5 "NA" "RRT" 164 "ungram" "hi" -1 1 -1 "english" "et"
"31" "NP3" 3 "e2" 7 "a" 5 "NA" "RRT" 504 "gram" "hi" 1 1 1 "english" "et"
"32" "NP3" 3 "e2" 5 "c" 5 "NA" "RRT" 492 "ungram" "hi" -1 1 -1 "english" "et"
