"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int" "g" "i" "gxi" "lang" "method"
"2" "NP3" 1 "e1" 14 "b" 8 "spy" "rt" 1468 "gram" "lo" 1 -1 -1 "english" "spr"
"6" "NP3" 1 "e1" 10 "b" 8 "guard" "rt" 1291 "gram" "lo" 1 -1 -1 "english" "spr"
"8" "NP3" 1 "e1" 15 "c" 8 "peasant" "rt" 1306 "ungram" "hi" -1 1 -1 "english" "spr"
"12" "NP3" 1 "e1" 5 "a" 8 "father" "rt" 1052 "gram" "hi" 1 1 1 "english" "spr"
"14" "NP3" 1 "e1" 7 "c" 8 "stranger" "rt" 1394 "ungram" "hi" -1 1 -1 "english" "spr"
"16" "NP3" 1 "e1" 3 "c" 8 "foreman" "rt" 1154 "ungram" "hi" -1 1 -1 "english" "spr"
"18" "NP3" 1 "e1" 9 "a" 8 "bystander" "rt" 843 "gram" "hi" 1 1 1 "english" "spr"
"20" "NP3" 1 "e1" 12 "d" 8 "teacher" "rt" 996 "ungram" "lo" -1 -1 1 "english" "spr"
"22" "NP3" 1 "e1" 2 "b" 8 "sister" "rt" 1018 "gram" "lo" 1 -1 -1 "english" "spr"
"24" "NP3" 1 "e1" 8 "d" 8 "doctor" "rt" 963 "ungram" "lo" -1 -1 1 "english" "spr"
"26" "NP3" 1 "e1" 4 "d" 8 "professor" "rt" 947 "ungram" "lo" -1 -1 1 "english" "spr"
"28" "NP3" 1 "e1" 16 "d" 8 "friend" "rt" 1626 "ungram" "lo" -1 -1 1 "english" "spr"
"32" "NP3" 1 "e1" 1 "a" 8 "peasant" "rt" 1499 "gram" "hi" 1 1 1 "english" "spr"
"34" "NP3" 10 "e1" 8 "a" 8 "doctor" "rt" 1276 "gram" "hi" 1 1 1 "english" "spr"
"36" "NP3" 10 "e1" 3 "d" 8 "foreman" "rt" 660 "ungram" "lo" -1 -1 1 "english" "spr"
"38" "NP3" 10 "e1" 4 "a" 8 "professor" "rt" 1171 "gram" "hi" 1 1 1 "english" "spr"
"40" "NP3" 10 "e1" 16 "a" 8 "friend" "rt" 652 "gram" "hi" 1 1 1 "english" "spr"
"42" "NP3" 10 "e1" 12 "a" 8 "teacher" "rt" 683 "gram" "hi" 1 1 1 "english" "spr"
"44" "NP3" 10 "e1" 13 "b" 8 "worker" "rt" 836 "gram" "lo" 1 -1 -1 "english" "spr"
"46" "NP3" 10 "e1" 2 "c" 8 "sister" "rt" 716 "ungram" "hi" -1 1 -1 "english" "spr"
"48" "NP3" 10 "e1" 5 "b" 8 "father" "rt" 844 "gram" "lo" 1 -1 -1 "english" "spr"
"52" "NP3" 10 "e1" 1 "b" 8 "peasant" "rt" 692 "gram" "lo" 1 -1 -1 "english" "spr"
"54" "NP3" 10 "e1" 15 "d" 8 "peasant" "rt" 707 "ungram" "lo" -1 -1 1 "english" "spr"
"56" "NP3" 10 "e1" 10 "c" 8 "guard" "rt" 547 "ungram" "hi" -1 1 -1 "english" "spr"
"58" "NP3" 10 "e1" 14 "c" 8 "spy" "rt" 660 "ungram" "hi" -1 1 -1 "english" "spr"
"60" "NP3" 10 "e1" 6 "c" 8 "conductor" "rt" 547 "ungram" "hi" -1 1 -1 "english" "spr"
"62" "NP3" 10 "e1" 9 "b" 8 "bystander" "rt" 555 "gram" "lo" 1 -1 -1 "english" "spr"
"64" "NP3" 10 "e1" 7 "d" 8 "stranger" "rt" 484 "ungram" "lo" -1 -1 1 "english" "spr"
"72" "NP3" 11 "e1" 2 "d" 8 "sister" "rt" 1340 "ungram" "lo" -1 -1 1 "english" "spr"
"76" "NP3" 11 "e1" 10 "d" 8 "guard" "rt" 1187 "ungram" "lo" -1 -1 1 "english" "spr"
"80" "NP3" 11 "e1" 16 "b" 8 "friend" "rt" 1084 "gram" "lo" 1 -1 -1 "english" "spr"
"84" "NP3" 11 "e1" 5 "c" 8 "father" "rt" 1252 "ungram" "hi" -1 1 -1 "english" "spr"
"86" "NP3" 11 "e1" 14 "d" 8 "spy" "rt" 867 "ungram" "lo" -1 -1 1 "english" "spr"
"88" "NP3" 11 "e1" 3 "a" 8 "foreman" "rt" 1867 "gram" "hi" 1 1 1 "english" "spr"
