"subject" "participant" "id" "cond" "trial" "response" "GIVEN_ANSWER" "resp" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT" "dist" "pred" "pred.dist" "nopred.dist"
"1443" "7" "ml" 6 "b" 44 7 7 1 1 29 1 0 409 409 409 409 409 0 0 0 0 0 409 1 -1 0 0
"1450" "7" "ml" 14 "c" 46 7 7 1 1 396 1 396 396 396 396 396 396 0 0 0 0 0 396 -1 1 0 -1
"1457" "7" "ml" 7 "a" 48 6 6 1 1 106 1 0 371 371 371 371 371 0 0 0 0 0 371 -1 -1 -1 0
"1464" "7" "ml" 15 "b" 53 6 6 1 1 185 1 0 185 185 365 185 185 180 0 180 0 0 180 1 -1 0 0
"1471" "7" "ml" 2 "a" 55 7 7 1 1 75 1 0 356 356 356 356 356 0 0 0 0 0 356 -1 -1 -1 0
"1478" "7" "ml" 25 "d" 57 6 6 1 1 29 1 0 387 387 387 387 387 0 0 0 0 0 387 1 1 0 1
"1485" "7" "ml" 17 "d" 59 6 6 1 1 44 1 0 381 381 381 381 381 0 0 0 0 0 381 1 1 0 1
"1492" "7" "ml" 16 "a" 61 7 7 1 1 70 1 0 286 286 286 286 286 0 0 0 0 0 286 -1 -1 -1 0
"1499" "7" "ml" 34 "a" 63 7 7 1 1 179 1 0 344 344 344 344 344 0 0 0 0 0 344 -1 -1 -1 0
"1506" "7" "ml" 8 "d" 67 7 7 1 1 274 1 274 274 274 274 274 274 0 0 0 0 0 274 1 1 1 1
"1513" "7" "ml" 23 "b" 70 6 6 1 1 190 1 0 704 704 704 704 704 0 0 0 0 0 704 1 -1 0 0
"1520" "7" "ml" 31 "c" 72 6 6 1 1 65 1 0 371 371 371 371 371 0 0 0 0 0 371 -1 1 0 -1
"1527" "7" "ml" 12 "a" 75 7 7 1 1 204 1 0 357 357 357 357 357 0 0 0 0 0 357 -1 -1 -1 0
"1534" "7" "ml" 1 "b" 79 6 6 1 1 72 1 0 217 217 217 217 217 0 0 0 0 0 217 1 -1 0 0
"1541" "7" "ml" 35 "d" 82 6 6 1 1 199 1 0 372 372 372 372 372 0 0 0 0 0 372 1 1 0 1
"1548" "7" "ml" 29 "a" 87 6 6 1 1 62 1 0 388 388 388 388 388 0 0 0 0 0 388 -1 -1 -1 0
"1555" "7" "ml" 20 "a" 89 7 7 1 1 386 1 386 386 386 386 386 386 0 0 0 0 0 386 -1 -1 -1 0
"1562" "7" "ml" 13 "d" 92 6 6 1 1 383 1 0 584 584 584 584 584 0 0 0 0 0 584 1 1 0 1
"1569" "7" "ml" 19 "b" 96 6 6 1 1 108 1 0 328 328 328 328 328 0 0 0 0 0 328 1 -1 1 0
"1576" "8" "nk1" 18 "c" 2 7 7 1 1 194 1 0 340 340 340 340 340 0 0 0 0 0 340 -1 1 1 -1
"1583" "8" "nk1" 33 "b" 4 6 6 1 1 205 1 205 205 205 205 205 205 0 0 0 0 0 205 1 -1 0 0
"1590" "8" "nk1" 22 "c" 10 7 7 1 1 198 1 0 329 329 329 329 329 0 0 0 0 0 329 -1 1 0 -1
"1597" "8" "nk1" 11 "b" 14 6 6 1 1 189 1 189 189 189 189 189 189 0 0 0 0 0 189 1 -1 0 0
"1604" "8" "nk1" 24 "a" 18 7 7 1 1 217 1 0 217 217 537 217 217 320 0 320 0 0 320 -1 -1 -1 0
"1611" "8" "nk1" 3 "d" 20 6 6 1 1 191 1 191 191 191 191 191 191 0 0 0 0 0 191 1 1 0 1
"1618" "8" "nk1" 4 "c" 23 7 7 1 1 29 1 0 362 362 362 362 362 0 0 0 0 0 362 -1 1 1 -1
"1625" "8" "nk1" 10 "c" 28 7 7 1 1 166 1 0 292 292 388 292 292 96 0 96 0 0 96 -1 1 1 -1
"1632" "8" "nk1" 30 "d" 31 7 7 1 1 194 1 194 194 194 194 194 194 0 0 0 0 0 194 1 1 1 1
"1639" "8" "nk1" 36 "c" 33 7 7 1 1 192 1 0 317 317 317 317 317 0 0 0 0 0 317 -1 1 0 -1
"1646" "8" "nk1" 28 "b" 36 7 7 1 1 202 1 0 337 337 337 337 337 0 0 0 0 0 337 1 -1 0 0
"1653" "8" "nk1" 27 "c" 39 6 6 1 1 57 1 0 249 249 249 249 249 0 0 0 0 0 249 -1 1 1 -1
"1660" "8" "nk1" 21 "d" 41 6 6 1 1 198 1 0 756 756 756 756 756 0 0 0 0 0 756 1 1 0 1
"1667" "8" "nk1" 6 "b" 44 7 7 1 1 186 1 0 320 320 656 320 320 336 0 336 0 0 210 1 -1 1 0
"1674" "8" "nk1" 14 "c" 46 7 7 1 1 115 1 0 317 317 317 317 317 0 0 0 0 0 317 -1 1 0 -1
"1681" "8" "nk1" 7 "a" 48 6 6 1 1 178 1 0 303 303 303 303 303 0 0 0 0 0 303 -1 -1 -1 0
"1688" "8" "nk1" 15 "b" 53 6 6 1 1 195 1 0 526 526 526 526 526 0 0 0 0 0 526 1 -1 0 0
"1695" "8" "nk1" 2 "a" 55 7 7 1 1 215 1 215 215 215 215 215 215 0 0 0 0 0 215 -1 -1 -1 0
"1702" "8" "nk1" 25 "d" 57 6 6 1 1 208 1 0 291 291 291 291 291 0 0 0 0 0 291 1 1 0 1
"1709" "8" "nk1" 17 "d" 59 6 6 1 1 218 1 0 387 387 387 387 387 0 0 0 0 0 387 1 1 1 1
"1716" "8" "nk1" 16 "a" 61 7 7 1 1 93 1 0 297 297 297 297 297 0 0 0 0 0 297 -1 -1 -1 0
"1723" "8" "nk1" 34 "a" 63 7 7 1 1 181 1 0 310 310 310 310 310 0 0 0 0 0 310 -1 -1 -1 0
"1730" "8" "nk1" 8 "d" 67 7 7 1 1 183 1 0 311 311 311 311 311 0 0 0 0 0 311 1 1 0 1
"1737" "8" "nk1" 23 "b" 70 6 6 1 1 192 1 0 329 329 1154 329 329 825 0 825 0 0 362 1 -1 0 0
"1744" "8" "nk1" 31 "c" 72 6 6 1 1 191 1 0 311 311 311 311 311 0 0 0 0 0 311 -1 1 0 -1
"1751" "8" "nk1" 12 "a" 75 7 7 1 1 67 1 0 228 228 228 228 228 0 0 0 0 0 228 -1 -1 -1 0
"1758" "8" "nk1" 1 "b" 79 6 6 1 1 196 1 196 196 196 196 196 196 0 0 0 0 0 196 1 -1 0 0
"1765" "8" "nk1" 35 "d" 82 6 6 1 1 212 1 212 212 212 212 212 212 0 0 0 0 0 212 1 1 0 1
"1772" "8" "nk1" 29 "a" 87 6 6 1 1 192 1 0 332 332 332 332 332 0 0 0 0 0 332 -1 -1 -1 0
"1779" "8" "nk1" 20 "a" 89 7 7 1 1 58 1 0 254 254 254 254 254 0 0 0 0 0 254 -1 -1 -1 0
"1786" "8" "nk1" 13 "d" 92 6 6 1 1 111 1 0 253 253 253 253 253 0 0 0 0 0 253 1 1 0 1
"1793" "8" "nk1" 19 "b" 96 6 6 1 1 181 1 0 331 331 331 331 331 0 0 0 0 0 331 1 -1 0 0
"1800" "9" "pp" 18 "d" 2 7 6 0 1 244 1 0 244 244 977 244 244 733 0 733 0 0 235 1 1 0 1
"1807" "9" "pp" 33 "c" 4 6 6 1 1 214 1 0 214 214 640 214 214 426 0 426 0 0 162 -1 1 0 -1
"1814" "9" "pp" 22 "d" 10 7 7 1 1 140 1 140 140 140 140 140 140 0 0 0 0 0 140 1 1 0 1
"1821" "9" "pp" 11 "c" 14 6 6 1 1 219 1 0 219 219 479 219 219 260 0 260 0 0 260 -1 1 0 -1
"1828" "9" "pp" 24 "b" 18 7 7 1 1 245 1 0 479 479 725 479 479 246 0 246 0 0 246 1 -1 0 0
"1835" "9" "pp" 3 "a" 20 6 6 1 1 207 1 0 361 361 361 361 361 0 0 0 0 0 361 -1 -1 -1 0
"1842" "9" "pp" 4 "d" 23 6 6 1 1 211 1 0 379 379 379 379 379 0 0 0 0 0 379 1 1 1 1
"1849" "9" "pp" 10 "d" 28 7 7 1 1 119 1 0 119 119 295 119 119 176 0 176 0 0 176 1 1 1 1
"1856" "9" "pp" 30 "a" 31 7 7 1 1 194 1 0 367 367 367 367 367 0 0 0 0 0 367 -1 -1 -1 0
"1863" "9" "pp" 36 "d" 33 7 7 1 1 209 1 0 444 444 444 444 444 0 0 0 0 0 444 1 1 0 1
"1870" "9" "pp" 28 "c" 36 7 7 1 1 212 1 212 212 212 212 212 212 0 0 0 0 0 212 -1 1 0 -1
"1877" "9" "pp" 27 "d" 39 6 6 1 1 128 1 128 128 128 128 128 128 0 0 0 0 0 128 1 1 0 1
"1884" "9" "pp" 21 "a" 41 6 6 1 1 198 1 0 349 349 498 349 349 149 0 149 0 0 149 -1 -1 -1 0
"1891" "9" "pp" 6 "c" 44 7 7 1 1 192 1 0 400 400 400 400 400 0 0 0 0 0 400 -1 1 0 -1
"1898" "9" "pp" 14 "d" 46 7 7 1 1 218 1 0 374 374 374 374 374 0 0 0 0 0 374 1 1 0 1
"1905" "9" "pp" 7 "b" 48 6 6 1 1 205 1 0 357 357 357 357 357 0 0 0 0 0 357 1 -1 0 0
"1912" "9" "pp" 15 "c" 53 6 6 1 1 205 1 0 391 391 391 391 391 0 0 0 0 0 391 -1 1 0 -1
"1919" "9" "pp" 2 "b" 55 7 7 1 1 162 1 162 162 162 162 162 162 0 0 0 0 0 162 1 -1 1 0
"1926" "9" "pp" 25 "a" 57 6 6 1 1 104 1 0 104 104 313 104 104 209 0 209 0 0 209 -1 -1 -1 0
"1933" "9" "pp" 17 "a" 59 6 6 1 1 0 0 0 0 0 147 0 0 147 0 147 0 0 147 -1 -1 -1 0
"1940" "9" "pp" 16 "b" 61 7 7 1 1 196 1 0 437 437 437 437 437 0 0 0 0 0 437 1 -1 0 0
"1947" "9" "pp" 34 "b" 63 7 7 1 1 188 1 0 348 348 348 348 348 0 0 0 0 0 348 1 -1 1 0
"1954" "9" "pp" 8 "a" 67 7 7 1 1 211 1 211 211 211 211 211 211 0 0 0 0 0 211 -1 -1 -1 0
"1961" "9" "pp" 23 "c" 70 6 6 1 1 205 1 0 205 205 902 205 205 697 0 697 0 0 697 -1 1 0 -1
"1968" "9" "pp" 31 "d" 72 6 6 1 1 123 1 0 400 400 400 400 400 0 0 0 0 0 400 1 1 0 1
"1975" "9" "pp" 12 "b" 75 7 7 1 1 218 1 0 868 868 868 868 868 0 0 0 0 0 868 1 -1 0 0
"1982" "9" "pp" 1 "c" 79 6 6 1 1 206 1 206 206 206 206 206 206 0 0 0 0 0 206 -1 1 1 -1
"1989" "9" "pp" 35 "a" 82 6 6 1 1 194 1 0 356 356 356 356 356 0 0 0 0 0 356 -1 -1 -1 0
"1996" "9" "pp" 29 "b" 87 6 7 0 1 145 1 0 387 387 387 387 387 0 0 0 0 0 387 1 -1 1 0
"2003" "9" "pp" 20 "b" 89 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 0 0
"2010" "9" "pp" 13 "a" 92 6 6 1 1 220 1 220 220 220 220 220 220 0 0 0 0 0 220 -1 -1 -1 0
"2017" "9" "pp" 19 "c" 96 6 6 1 1 185 1 0 390 390 390 390 390 0 0 0 0 0 390 -1 1 0 -1
"2024" "10" "rba" 18 "c" 2 7 7 1 1 0 0 0 0 0 398 0 0 398 0 398 0 0 398 -1 1 0 -1
"2031" "10" "rba" 33 "b" 4 6 7 0 1 33 1 0 33 33 224 33 33 191 0 191 0 0 191 1 -1 0 0
"2038" "10" "rba" 22 "c" 10 7 7 1 1 114 1 114 114 114 114 114 114 0 0 0 0 0 114 -1 1 0 -1
"2045" "10" "rba" 11 "b" 14 6 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 1 0
"2052" "10" "rba" 24 "a" 18 7 7 1 1 80 1 0 80 80 404 80 80 324 0 324 0 0 324 -1 -1 -1 0
"2059" "10" "rba" 3 "d" 20 6 6 1 1 110 1 0 375 375 375 375 375 0 0 0 0 0 375 1 1 0 1
"2066" "10" "rba" 4 "c" 23 7 7 1 1 195 1 0 357 357 357 357 357 0 0 0 0 0 357 -1 1 1 -1
"2073" "10" "rba" 10 "c" 28 7 7 1 1 0 0 0 0 0 176 0 0 176 0 176 0 0 176 -1 1 1 -1
"2080" "10" "rba" 30 "d" 31 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
"2087" "10" "rba" 36 "c" 33 7 7 1 1 37 1 0 316 316 316 316 316 0 0 0 0 0 316 -1 1 0 -1
"2094" "10" "rba" 28 "b" 36 7 7 1 1 180 1 0 346 346 346 346 346 0 0 0 0 0 346 1 -1 1 0
"2101" "10" "rba" 27 "c" 39 6 6 1 1 197 1 197 197 197 197 197 197 0 0 0 0 0 197 -1 1 0 -1
"2108" "10" "rba" 21 "d" 41 6 6 1 1 187 1 0 501 501 833 501 501 332 0 332 0 0 332 1 1 0 1
"2115" "10" "rba" 6 "b" 44 7 7 1 1 312 1 312 312 312 312 312 312 0 0 0 0 0 312 1 -1 0 0
"2122" "10" "rba" 14 "c" 46 7 7 1 1 196 1 0 311 311 311 311 311 0 0 0 0 0 311 -1 1 0 -1
"2129" "10" "rba" 7 "a" 48 6 6 1 1 317 1 317 317 317 317 317 317 0 0 0 0 0 317 -1 -1 -1 0
"2136" "10" "rba" 15 "b" 53 6 6 1 1 360 1 360 360 360 360 360 360 0 0 0 0 0 360 1 -1 0 0
"2143" "10" "rba" 2 "a" 55 7 7 1 1 291 1 291 291 291 291 291 291 0 0 0 0 0 291 -1 -1 -1 0
"2150" "10" "rba" 25 "d" 57 6 6 1 1 43 1 43 43 43 43 43 43 0 0 0 0 0 43 1 1 0 1
"2157" "10" "rba" 17 "d" 59 6 6 1 1 28 1 0 28 28 227 28 28 199 0 199 0 0 199 1 1 1 1
"2164" "10" "rba" 16 "a" 61 7 7 1 1 0 0 0 0 0 175 0 0 175 0 175 0 0 175 -1 -1 -1 0
"2171" "10" "rba" 34 "a" 63 7 7 1 1 196 1 0 331 331 331 331 331 0 0 0 0 0 331 -1 -1 -1 0
"2178" "10" "rba" 8 "d" 67 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"2185" "10" "rba" 23 "b" 70 6 6 1 1 184 1 0 372 372 372 372 372 0 0 0 0 0 372 1 -1 1 0
"2192" "10" "rba" 31 "c" 72 6 6 1 1 55 1 0 55 55 221 55 55 166 0 166 0 0 166 -1 1 1 -1
"2199" "10" "rba" 12 "a" 75 7 7 1 1 91 1 0 351 351 351 351 351 0 0 0 0 0 351 -1 -1 -1 0
"2206" "10" "rba" 1 "b" 79 6 7 0 1 0 0 0 0 0 186 0 0 186 0 186 0 0 186 1 -1 0 0
"2213" "10" "rba" 35 "d" 82 6 6 1 1 26 1 0 26 26 364 26 26 338 0 338 0 0 134 1 1 0 1
"2220" "10" "rba" 29 "a" 87 6 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 0
"2227" "10" "rba" 20 "a" 89 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 0
"2234" "10" "rba" 13 "d" 92 6 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"2241" "10" "rba" 19 "b" 96 6 7 0 1 36 1 0 36 36 196 36 36 160 0 160 0 0 160 1 -1 1 0
"2248" "11" "rja" 18 "d" 2 7 6 0 1 169 1 0 319 319 319 319 319 0 0 0 0 0 319 1 1 1 1
"2255" "11" "rja" 33 "a" 4 6 6 1 1 180 1 0 324 324 324 324 324 0 0 0 0 0 324 -1 -1 -1 0
"2262" "11" "rja" 22 "d" 10 7 7 1 1 199 1 0 295 295 295 295 295 0 0 0 0 0 295 1 1 1 1
"2269" "11" "rja" 11 "c" 14 6 6 1 1 206 1 0 350 350 350 350 350 0 0 0 0 0 350 -1 1 0 -1
"2276" "11" "rja" 24 "b" 18 7 7 1 1 206 1 0 327 327 327 327 327 0 0 0 0 0 327 1 -1 0 0
"2283" "11" "rja" 3 "a" 20 6 6 1 1 190 1 190 190 190 190 190 190 0 0 0 0 0 190 -1 -1 -1 0
"2290" "11" "rja" 4 "d" 23 6 6 1 1 143 1 143 143 143 143 143 143 0 0 0 0 0 143 1 1 0 1
"2297" "11" "rja" 10 "d" 28 7 7 1 1 188 1 0 360 360 360 360 360 0 0 0 0 0 360 1 1 1 1
"2304" "11" "rja" 30 "a" 31 7 7 1 1 177 1 177 177 177 177 177 177 0 0 0 0 0 177 -1 -1 -1 0
"2311" "11" "rja" 36 "d" 33 7 7 1 1 55 1 0 244 244 244 244 244 0 0 0 0 0 244 1 1 0 1
"2318" "11" "rja" 28 "c" 36 7 7 1 1 244 1 244 244 244 244 244 244 0 0 0 0 0 244 -1 1 0 -1
"2325" "11" "rja" 27 "d" 39 6 6 1 1 141 1 141 141 141 141 141 141 0 0 0 0 0 141 1 1 1 1
"2332" "11" "rja" 21 "a" 41 6 7 0 1 190 1 0 317 317 317 317 317 0 0 0 0 0 317 -1 -1 -1 0
"2339" "11" "rja" 6 "c" 44 7 7 1 1 145 1 0 145 145 360 145 145 215 0 215 0 0 215 -1 1 0 -1
"2346" "11" "rja" 14 "d" 46 7 7 1 1 168 1 0 316 316 316 316 316 0 0 0 0 0 316 1 1 1 1
"2353" "11" "rja" 7 "b" 48 6 6 1 1 190 1 0 327 327 327 327 327 0 0 0 0 0 327 1 -1 0 0
"2360" "11" "rja" 15 "c" 53 6 6 1 1 146 1 146 146 146 146 146 146 0 0 0 0 0 146 -1 1 0 -1
"2367" "11" "rja" 2 "b" 55 7 7 1 1 143 1 143 143 143 143 143 143 0 0 0 0 0 143 1 -1 0 0
"2374" "11" "rja" 25 "a" 57 6 6 1 1 193 1 0 317 317 317 317 317 0 0 0 0 0 317 -1 -1 -1 0
"2381" "11" "rja" 17 "a" 59 6 6 1 1 171 1 0 292 292 292 292 292 0 0 0 0 0 292 -1 -1 -1 0
"2388" "11" "rja" 16 "b" 61 7 7 1 1 149 1 0 417 417 417 417 417 0 0 0 0 0 417 1 -1 0 0
"2395" "11" "rja" 34 "b" 63 7 7 1 1 271 1 271 271 271 271 271 271 0 0 0 0 0 271 1 -1 0 0
"2402" "11" "rja" 8 "a" 67 7 7 1 1 221 1 221 221 221 221 221 221 0 0 0 0 0 221 -1 -1 -1 0
"2409" "11" "rja" 23 "c" 70 6 6 1 1 179 1 0 311 311 620 311 311 309 0 309 0 0 309 -1 1 1 -1
"2416" "11" "rja" 31 "d" 72 6 6 1 1 187 1 0 298 298 298 298 298 0 0 0 0 0 298 1 1 1 1
"2423" "11" "rja" 12 "b" 75 7 7 1 1 186 1 186 186 186 186 186 186 0 0 0 0 0 186 1 -1 0 0
"2430" "11" "rja" 1 "c" 79 6 6 1 1 142 1 142 142 142 142 142 142 0 0 0 0 0 142 -1 1 0 -1
"2437" "11" "rja" 35 "a" 82 6 6 1 1 329 1 329 329 329 329 329 329 0 0 0 0 0 329 -1 -1 -1 0
"2444" "11" "rja" 29 "b" 87 6 6 1 1 149 1 149 149 149 149 149 149 0 0 0 0 0 149 1 -1 1 0
"2451" "11" "rja" 20 "b" 89 7 7 1 1 203 1 0 321 321 409 321 321 88 0 88 0 0 88 1 -1 0 0
"2458" "11" "rja" 13 "a" 92 6 6 1 1 163 1 163 163 163 163 163 163 0 0 0 0 0 163 -1 -1 -1 0
"2465" "11" "rja" 19 "c" 96 6 6 1 1 188 1 0 335 335 335 335 335 0 0 0 0 0 335 -1 1 0 -1
"2472" "12" "sm" 18 "a" 2 7 7 1 1 184 1 0 697 697 697 697 697 0 0 0 0 0 697 -1 -1 -1 0
"2479" "12" "sm" 33 "d" 4 7 6 0 1 85 1 0 581 581 581 581 581 0 0 0 0 0 581 1 1 0 1
"2486" "12" "sm" 22 "a" 10 7 7 1 1 184 1 184 184 184 184 184 184 0 0 0 0 0 184 -1 -1 -1 0
"2493" "12" "sm" 11 "d" 14 6 6 1 1 69 1 0 208 208 208 208 208 0 0 0 0 0 208 1 1 0 1
"2500" "12" "sm" 24 "c" 18 7 7 1 1 16 1 0 549 549 549 549 549 0 0 0 0 0 549 -1 1 1 -1
"2507" "12" "sm" 3 "b" 20 6 6 1 1 173 1 0 332 332 332 332 332 0 0 0 0 0 332 1 -1 0 0
"2514" "12" "sm" 4 "a" 23 7 7 1 1 48 1 0 415 415 415 415 415 0 0 0 0 0 415 -1 -1 -1 0
"2521" "12" "sm" 10 "a" 28 7 7 1 1 17 1 17 17 17 17 17 17 0 0 0 0 0 17 -1 -1 -1 0
"2528" "12" "sm" 30 "b" 31 7 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 0 0
"2535" "12" "sm" 36 "a" 33 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 0
"2542" "12" "sm" 28 "d" 36 7 7 1 1 66 1 66 66 66 66 66 66 0 0 0 0 0 66 1 1 0 1
"2549" "12" "sm" 27 "a" 39 6 6 1 1 74 1 0 244 244 244 244 244 0 0 0 0 0 244 -1 -1 -1 0
"2556" "12" "sm" 21 "b" 41 6 7 0 1 90 1 0 282 282 282 282 282 0 0 0 0 0 282 1 -1 0 0
"2563" "12" "sm" 6 "d" 44 7 7 1 1 174 1 0 364 364 364 364 364 0 0 0 0 0 364 1 1 1 1
"2570" "12" "sm" 14 "a" 46 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 0
"2577" "12" "sm" 7 "c" 48 6 7 0 1 28 1 0 244 244 656 244 244 412 0 412 0 0 412 -1 1 0 -1
"2584" "12" "sm" 15 "d" 53 6 6 1 1 50 1 0 294 294 522 294 294 228 0 228 0 0 228 1 1 0 1
"2591" "12" "sm" 2 "c" 55 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 1 0 -1
"2598" "12" "sm" 25 "b" 57 6 7 0 1 28 1 28 28 28 28 28 28 0 0 0 0 0 28 1 -1 0 0
"2605" "12" "sm" 17 "b" 59 6 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 0 0
"2612" "12" "sm" 17 "b" 59 NA 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 0 0
"2619" "12" "sm" 16 "c" 61 7 6 0 1 70 1 0 558 558 558 558 558 0 0 0 0 0 558 -1 1 0 -1
"2626" "12" "sm" 34 "c" 63 7 7 1 1 239 1 239 239 239 239 239 239 0 0 0 0 0 239 -1 1 1 -1
"2633" "12" "sm" 8 "b" 67 7 7 1 1 23 1 23 23 23 23 23 23 0 0 0 0 0 23 1 -1 1 0
"2640" "12" "sm" 23 "d" 70 6 6 1 1 448 1 0 448 448 613 448 448 165 0 165 0 0 165 1 1 1 1
"2647" "12" "sm" 31 "a" 72 6 6 1 1 182 1 0 369 369 369 369 369 0 0 0 0 0 369 -1 -1 -1 0
"2654" "12" "sm" 12 "c" 75 7 7 1 1 56 1 0 234 234 234 234 234 0 0 0 0 0 234 -1 1 0 -1
"2661" "12" "sm" 1 "d" 79 6 6 1 1 176 1 176 176 176 176 176 176 0 0 0 0 0 176 1 1 1 1
"2668" "12" "sm" 35 "b" 82 6 6 1 1 386 1 386 386 386 386 386 386 0 0 0 0 0 386 1 -1 0 0
"2675" "12" "sm" 29 "c" 87 6 6 1 1 30 1 0 488 488 1578 488 488 1090 0 1090 0 0 1090 -1 1 0 -1
"2682" "12" "sm" 20 "c" 89 7 7 1 1 180 1 180 180 180 180 180 180 0 0 0 0 0 180 -1 1 0 -1
"2689" "12" "sm" 13 "b" 92 6 6 1 1 20 1 0 266 266 266 266 266 0 0 0 0 0 266 1 -1 0 0
"2696" "12" "sm" 19 "d" 96 6 6 1 1 26 1 0 521 521 521 521 521 0 0 0 0 0 521 1 1 0 1
"2703" "13" "aa3" 6 "a" 4 7 6 0 1 225 1 0 368 368 707 368 368 339 0 339 0 0 339 -1 -1 -1 0
"2710" "13" "aa3" 13 "c" 6 6 6 1 1 196 1 196 196 196 196 196 196 0 0 0 0 0 196 -1 1 1 -1
"2717" "13" "aa3" 12 "d" 9 7 7 1 1 208 1 0 334 334 334 334 334 0 0 0 0 0 334 1 1 0 1
"2724" "13" "aa3" 28 "a" 13 7 7 1 1 198 1 0 327 327 327 327 327 0 0 0 0 0 327 -1 -1 -1 0
"2731" "13" "aa3" 14 "b" 17 7 7 1 1 198 1 0 353 353 353 353 353 0 0 0 0 0 353 1 -1 0 0
"2738" "13" "aa3" 10 "b" 19 7 7 1 1 218 1 218 218 218 218 218 218 0 0 0 0 0 218 1 -1 0 0
"2745" "13" "aa3" 20 "d" 21 7 7 1 1 183 1 0 325 325 476 325 325 151 0 151 0 0 151 1 1 0 1
"2752" "13" "aa3" 11 "a" 27 6 6 1 1 213 1 213 213 213 213 213 213 0 0 0 0 0 213 -1 -1 -1 0
"2759" "13" "aa3" 17 "c" 29 6 6 1 1 185 1 0 328 328 328 328 328 0 0 0 0 0 328 -1 1 0 -1
"2766" "13" "aa3" 21 "c" 31 6 6 1 1 201 1 0 335 335 335 335 335 0 0 0 0 0 335 -1 1 0 -1
"2773" "13" "aa3" 31 "b" 33 6 6 1 1 204 1 0 347 347 347 347 347 0 0 0 0 0 347 1 -1 0 0
"2780" "13" "aa3" 29 "d" 36 6 6 1 1 228 1 0 448 448 448 448 448 0 0 0 0 0 448 1 1 1 1
"2787" "13" "aa3" 27 "b" 39 6 6 1 1 181 1 0 324 324 324 324 324 0 0 0 0 0 324 1 -1 1 0
"2794" "13" "aa3" 4 "b" 41 7 7 1 1 201 1 0 342 342 342 342 342 0 0 0 0 0 342 1 -1 0 0
"2801" "13" "aa3" 34 "d" 43 7 6 0 1 186 1 0 334 334 334 334 334 0 0 0 0 0 334 1 1 0 1
"2808" "13" "aa3" 15 "a" 46 6 6 1 1 207 1 0 317 317 317 317 317 0 0 0 0 0 317 -1 -1 -1 0
"2815" "13" "aa3" 3 "c" 51 6 6 1 1 193 1 193 193 193 193 193 193 0 0 0 0 0 193 -1 1 0 -1
"2822" "13" "aa3" 24 "d" 60 7 7 1 1 193 1 0 338 338 338 338 338 0 0 0 0 0 338 1 1 0 1
"2829" "13" "aa3" 23 "a" 62 6 6 1 1 190 1 0 336 336 336 336 336 0 0 0 0 0 336 -1 -1 -1 0
"2836" "13" "aa3" 2 "d" 64 6 7 0 1 188 1 188 188 188 188 188 188 0 0 0 0 0 188 1 1 0 1
"2843" "13" "aa3" 30 "c" 66 7 7 1 1 200 1 200 200 200 200 200 200 0 0 0 0 0 200 -1 1 0 -1
"2850" "13" "aa3" 25 "c" 70 6 6 1 1 158 1 158 158 158 158 158 158 0 0 0 0 0 158 -1 1 1 -1
"2857" "13" "aa3" 19 "a" 73 6 6 1 1 227 1 0 418 418 418 418 418 0 0 0 0 0 418 -1 -1 -1 0
"2864" "13" "aa3" 16 "d" 75 7 7 1 1 474 1 474 474 474 474 474 474 0 0 0 0 0 474 1 1 0 1
"2871" "13" "aa3" 7 "d" 77 6 6 1 1 228 1 0 393 393 393 393 393 0 0 0 0 0 393 1 1 0 1
"2878" "13" "aa3" 22 "b" 80 7 7 1 1 177 1 177 177 177 177 177 177 0 0 0 0 0 177 1 -1 0 0
"2885" "13" "aa3" 36 "b" 83 7 7 1 1 391 1 391 391 391 391 391 391 0 0 0 0 0 391 1 -1 0 0
"2892" "13" "aa3" 1 "a" 85 6 6 1 1 199 1 0 359 359 359 359 359 0 0 0 0 0 359 -1 -1 -1 0
"2899" "13" "aa3" 35 "c" 87 6 7 0 1 125 1 125 125 125 125 125 125 0 0 0 0 0 125 -1 1 1 -1
"2906" "13" "aa3" 18 "b" 90 7 7 1 1 37 1 0 371 371 371 371 371 0 0 0 0 0 371 1 -1 1 0
