"subject" "participant" "id" "cond" "trial" "response" "GIVEN_ANSWER" "resp" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT" "dist" "pred" "pred.dist" "nopred.dist"
"323" "2" "ab" 14 "a" 46 7 7 1 1 406 1 406 406 406 406 406 406 0 0 0 0 0 406 -1 -1 -1 0
"330" "2" "ab" 7 "c" 48 6 6 1 1 359 1 359 359 359 359 359 359 0 0 0 0 0 359 -1 1 0 -1
"337" "2" "ab" 15 "d" 53 6 6 1 1 425 1 0 425 425 1153 425 425 728 0 728 0 0 181 1 1 1 1
"344" "2" "ab" 2 "c" 55 7 7 1 1 87 1 0 247 247 247 247 247 0 0 0 0 0 247 -1 1 1 -1
"351" "2" "ab" 25 "b" 57 6 6 1 1 483 1 0 483 483 1815 483 483 1332 0 1332 0 0 1332 1 -1 1 0
"358" "2" "ab" 17 "b" 59 6 6 1 1 107 1 0 357 357 357 357 357 0 0 0 0 0 357 1 -1 0 0
"365" "2" "ab" 16 "c" 61 7 7 1 1 443 1 443 443 443 443 443 443 0 0 0 0 0 443 -1 1 0 -1
"372" "2" "ab" 34 "c" 63 7 7 1 1 139 1 0 335 335 335 335 335 0 0 0 0 0 335 -1 1 1 -1
"379" "2" "ab" 8 "b" 67 7 7 1 1 206 1 0 603 603 603 603 603 0 0 0 0 0 603 1 -1 0 0
"386" "2" "ab" 23 "d" 70 6 6 1 1 517 1 0 694 694 914 694 694 220 0 220 0 0 220 1 1 1 1
"393" "2" "ab" 31 "a" 72 6 6 1 1 497 1 497 497 497 497 497 497 0 0 0 0 0 497 -1 -1 -1 0
"400" "2" "ab" 12 "c" 75 7 7 1 1 210 1 0 1041 1041 1041 1041 1041 0 0 0 0 0 1041 -1 1 0 -1
"407" "2" "ab" 1 "d" 79 6 6 1 1 75 1 0 522 522 522 522 522 0 0 0 0 0 522 1 1 0 1
"414" "2" "ab" 35 "b" 82 6 6 1 1 496 1 496 496 496 496 496 496 0 0 0 0 0 496 1 -1 0 0
"421" "2" "ab" 29 "c" 87 6 6 1 1 53 1 0 417 417 1325 417 417 908 0 908 0 0 645 -1 1 0 -1
"428" "2" "ab" 20 "c" 89 7 7 1 1 163 1 0 429 429 429 429 429 0 0 0 0 0 429 -1 1 1 -1
"435" "2" "ab" 13 "b" 92 6 6 1 1 31 1 0 374 374 374 374 374 0 0 0 0 0 374 1 -1 1 0
"442" "2" "ab" 19 "d" 96 6 6 1 1 171 1 0 1318 1318 1318 1318 1318 0 0 0 0 0 1318 1 1 0 1
"449" "3" "gf" 18 "b" 2 7 7 1 1 158 1 158 158 158 158 158 158 0 0 0 0 0 158 1 -1 0 0
"456" "3" "gf" 33 "a" 4 6 6 1 1 154 1 154 154 154 154 154 154 0 0 0 0 0 154 -1 -1 -1 0
"463" "3" "gf" 22 "b" 10 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 0 0
"470" "3" "gf" 11 "a" 14 6 6 1 1 145 1 145 145 145 145 145 145 0 0 0 0 0 145 -1 -1 -1 0
"477" "3" "gf" 24 "d" 18 7 7 1 1 168 1 168 168 168 168 168 168 0 0 0 0 0 168 1 1 0 1
"484" "3" "gf" 30 "c" 20 6 6 1 1 124 1 124 124 124 124 124 124 0 0 0 0 0 124 -1 1 0 -1
"491" "3" "gf" 4 "b" 23 7 7 1 1 153 1 153 153 153 153 153 153 0 0 0 0 0 153 1 -1 0 0
"498" "3" "gf" 10 "b" 28 7 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 1 0
"505" "3" "gf" 30 "c" 31 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 1 0 -1
"512" "3" "gf" 36 "b" 33 7 7 1 1 156 1 156 156 156 156 156 156 0 0 0 0 0 156 1 -1 0 0
"519" "3" "gf" 28 "a" 36 7 7 1 1 179 1 179 179 179 179 179 179 0 0 0 0 0 179 -1 -1 -1 0
"526" "3" "gf" 27 "b" 39 6 6 1 1 54 1 54 54 54 54 54 54 0 0 0 0 0 54 1 -1 0 0
"533" "3" "gf" 21 "c" 41 6 6 1 1 260 1 260 260 260 260 260 260 0 0 0 0 0 260 -1 1 0 -1
"540" "3" "gf" 6 "a" 44 7 7 1 1 0 0 0 0 0 247 0 0 247 0 247 0 0 247 -1 -1 -1 0
"547" "3" "gf" 14 "b" 46 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 0 0
"554" "3" "gf" 7 "d" 48 6 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"561" "3" "gf" 15 "a" 53 6 6 1 1 260 1 260 260 260 260 260 260 0 0 0 0 0 260 -1 -1 -1 0
"568" "3" "gf" 2 "d" 55 6 7 0 1 144 1 144 144 144 144 144 144 0 0 0 0 0 144 1 1 0 1
"575" "3" "gf" 25 "c" 57 6 6 1 1 58 1 58 58 58 58 58 58 0 0 0 0 0 58 -1 1 0 -1
"582" "3" "gf" 17 "c" 59 6 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 1 1 -1
"589" "3" "gf" 16 "d" 61 7 7 1 1 17 1 0 17 17 214 17 17 197 0 197 0 0 197 1 1 1 1
"596" "3" "gf" 34 "d" 63 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"603" "3" "gf" 8 "c" 67 7 6 0 1 169 1 169 169 169 169 169 169 0 0 0 0 0 169 -1 1 0 -1
"610" "3" "gf" 23 "a" 70 6 6 1 1 0 0 0 0 0 255 0 0 255 0 255 0 0 255 -1 -1 -1 0
"617" "3" "gf" 31 "b" 72 6 6 1 1 231 1 231 231 231 231 231 231 0 0 0 0 0 231 1 -1 0 0
"624" "3" "gf" 12 "d" 75 7 7 1 1 13 1 13 13 13 13 13 13 0 0 0 0 0 13 1 1 0 1
"631" "3" "gf" 1 "a" 79 6 6 1 1 24 1 24 24 24 24 24 24 0 0 0 0 0 24 -1 -1 -1 0
"638" "3" "gf" 35 "c" 82 6 6 1 1 23 1 0 23 23 178 23 23 155 0 155 0 0 155 -1 1 0 -1
"645" "3" "gf" 29 "d" 87 6 6 1 1 180 1 180 180 180 180 180 180 0 0 0 0 0 180 1 1 0 1
"652" "3" "gf" 20 "d" 89 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"659" "3" "gf" 13 "c" 92 6 6 1 1 168 1 168 168 168 168 168 168 0 0 0 0 0 168 -1 1 1 -1
"666" "3" "gf" 19 "a" 96 6 6 1 1 54 1 54 54 54 54 54 54 0 0 0 0 0 54 -1 -1 -1 0
"673" "4" "jgh" 18 "d" 2 7 6 0 1 197 1 0 360 360 360 360 360 0 0 0 0 0 360 1 1 0 1
"680" "4" "jgh" 33 "c" 4 6 6 1 1 203 1 203 203 203 203 203 203 0 0 0 0 0 203 -1 1 0 -1
"687" "4" "jgh" 22 "d" 10 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"694" "4" "jgh" 11 "c" 14 6 6 1 1 196 1 196 196 196 196 196 196 0 0 0 0 0 196 -1 1 0 -1
"701" "4" "jgh" 24 "b" 18 7 7 1 1 172 1 172 172 172 172 172 172 0 0 0 0 0 172 1 -1 0 0
"708" "4" "jgh" 3 "a" 20 6 6 1 1 99 1 0 398 398 398 398 398 0 0 0 0 0 398 -1 -1 -1 0
"715" "4" "jgh" 4 "d" 23 6 6 1 1 187 1 0 390 390 390 390 390 0 0 0 0 0 390 1 1 0 1
"722" "4" "jgh" 4 "d" 23 NA 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"729" "4" "jgh" 10 "d" 28 7 7 1 1 75 1 0 488 488 488 488 488 0 0 0 0 0 488 1 1 1 1
"736" "4" "jgh" 30 "a" 31 7 7 1 1 103 1 0 395 395 395 395 395 0 0 0 0 0 395 -1 -1 -1 0
"743" "4" "jgh" 36 "d" 33 7 7 1 1 99 1 0 245 245 245 245 245 0 0 0 0 0 245 1 1 1 1
"750" "4" "jgh" 28 "c" 36 7 7 1 1 182 1 0 387 387 387 387 387 0 0 0 0 0 387 -1 1 1 -1
"757" "4" "jgh" 27 "d" 39 6 6 1 1 107 1 0 429 429 429 429 429 0 0 0 0 0 429 1 1 0 1
"764" "4" "jgh" 21 "a" 41 6 7 0 1 379 1 0 527 527 527 527 527 0 0 0 0 0 527 -1 -1 -1 0
"771" "4" "jgh" 6 "c" 44 7 7 1 1 103 1 0 587 587 587 587 587 0 0 0 0 0 587 -1 1 0 -1
"778" "4" "jgh" 14 "d" 46 7 7 1 1 180 1 0 502 502 502 502 502 0 0 0 0 0 502 1 1 0 1
"785" "4" "jgh" 7 "b" 48 6 6 1 1 178 1 0 519 519 519 519 519 0 0 0 0 0 519 1 -1 0 0
"792" "4" "jgh" 15 "c" 53 6 6 1 1 366 1 366 366 366 366 366 366 0 0 0 0 0 366 -1 1 0 -1
"799" "4" "jgh" 2 "b" 55 7 7 1 1 188 1 188 188 188 188 188 188 0 0 0 0 0 188 1 -1 0 0
"806" "4" "jgh" 25 "a" 57 6 6 1 1 184 1 184 184 184 184 184 184 0 0 0 0 0 184 -1 -1 -1 0
"813" "4" "jgh" 17 "a" 59 6 6 1 1 87 1 0 370 370 370 370 370 0 0 0 0 0 370 -1 -1 -1 0
"820" "4" "jgh" 16 "b" 61 7 7 1 1 0 0 0 0 0 278 0 0 278 0 278 0 0 278 1 -1 1 0
"827" "4" "jgh" 34 "b" 63 7 7 1 1 181 1 0 309 309 309 309 309 0 0 0 0 0 309 1 -1 1 0
"834" "4" "jgh" 8 "a" 67 7 7 1 1 187 1 187 187 187 187 187 187 0 0 0 0 0 187 -1 -1 -1 0
"841" "4" "jgh" 23 "c" 70 6 6 1 1 422 1 0 577 577 908 577 577 331 0 331 0 0 331 -1 1 0 -1
"848" "4" "jgh" 31 "d" 72 6 6 1 1 345 1 345 345 345 345 345 345 0 0 0 0 0 345 1 1 0 1
"855" "4" "jgh" 12 "b" 75 7 7 1 1 82 1 0 387 387 387 387 387 0 0 0 0 0 387 1 -1 0 0
"862" "4" "jgh" 1 "c" 79 6 6 1 1 97 1 0 379 379 379 379 379 0 0 0 0 0 379 -1 1 0 -1
"869" "4" "jgh" 35 "a" 82 6 6 1 1 194 1 0 353 353 353 353 353 0 0 0 0 0 353 -1 -1 -1 0
"876" "4" "jgh" 29 "b" 87 6 6 1 1 63 1 0 386 386 386 386 386 0 0 0 0 0 386 1 -1 0 0
"883" "4" "jgh" 20 "b" 89 7 7 1 1 187 1 0 322 322 322 322 322 0 0 0 0 0 322 1 -1 0 0
"890" "4" "jgh" 13 "a" 92 6 6 1 1 87 1 0 413 413 413 413 413 0 0 0 0 0 413 -1 -1 -1 0
"897" "4" "jgh" 19 "c" 96 6 6 1 1 192 1 0 619 619 619 619 619 0 0 0 0 0 619 -1 1 0 -1
"904" "5" "mhma" 18 "b" 2 7 7 1 1 186 1 0 377 377 377 377 377 0 0 0 0 0 377 1 -1 0 0
"911" "5" "mhma" 33 "a" 4 6 6 1 1 195 1 0 324 324 324 324 324 0 0 0 0 0 324 -1 -1 -1 0
"918" "5" "mhma" 22 "b" 10 7 7 1 1 183 1 183 183 183 183 183 183 0 0 0 0 0 183 1 -1 0 0
"925" "5" "mhma" 11 "a" 14 6 6 1 1 168 1 0 412 412 412 412 412 0 0 0 0 0 412 -1 -1 -1 0
"932" "5" "mhma" 24 "d" 18 7 7 1 1 180 1 0 342 342 736 342 342 394 0 394 0 0 188 1 1 1 1
"939" "5" "mhma" 3 "c" 20 6 6 1 1 172 1 0 605 605 605 605 605 0 0 0 0 0 605 -1 1 0 -1
"946" "5" "mhma" 4 "b" 23 7 7 1 1 173 1 0 311 311 311 311 311 0 0 0 0 0 311 1 -1 0 0
"953" "5" "mhma" 10 "b" 28 7 6 0 1 72 1 0 72 72 203 72 72 131 0 131 0 0 131 1 -1 1 0
"960" "5" "mhma" 30 "c" 31 7 6 0 1 174 1 0 304 304 579 304 304 275 0 275 0 0 275 -1 1 1 -1
"967" "5" "mhma" 36 "b" 33 7 7 1 1 85 1 0 232 232 232 232 232 0 0 0 0 0 232 1 -1 0 0
"974" "5" "mhma" 28 "a" 36 7 7 1 1 180 1 0 300 300 565 300 300 265 0 265 0 0 265 -1 -1 -1 0
"981" "5" "mhma" 27 "b" 39 6 6 1 1 181 1 0 331 331 331 331 331 0 0 0 0 0 331 1 -1 0 0
"988" "5" "mhma" 21 "c" 41 6 6 1 1 164 1 0 1222 1222 1222 1222 1222 0 0 0 0 0 1222 -1 1 0 -1
"995" "5" "mhma" 6 "a" 44 7 6 0 1 192 1 0 348 348 619 348 348 271 0 271 0 0 271 -1 -1 -1 0
"1002" "5" "mhma" 14 "b" 46 7 7 1 1 98 1 0 453 453 453 453 453 0 0 0 0 0 453 1 -1 0 0
"1009" "5" "mhma" 7 "d" 48 6 6 1 1 171 1 0 309 309 1000 309 309 691 0 691 0 0 438 1 1 0 1
"1016" "5" "mhma" 15 "a" 53 6 6 1 1 34 1 0 334 334 334 334 334 0 0 0 0 0 334 -1 -1 -1 0
"1023" "5" "mhma" 2 "d" 55 6 7 0 1 51 1 0 51 51 135 51 51 84 0 84 0 0 84 1 1 1 1
"1030" "5" "mhma" 25 "c" 57 6 6 1 1 33 1 0 432 432 432 432 432 0 0 0 0 0 432 -1 1 0 -1
"1037" "5" "mhma" 17 "c" 59 6 6 1 1 195 1 0 316 316 316 316 316 0 0 0 0 0 316 -1 1 0 -1
"1044" "5" "mhma" 16 "d" 61 7 7 1 1 34 1 0 565 565 565 565 565 0 0 0 0 0 565 1 1 1 1
"1051" "5" "mhma" 34 "d" 63 7 6 0 1 71 1 0 631 631 631 631 631 0 0 0 0 0 631 1 1 1 1
"1058" "5" "mhma" 8 "c" 67 7 7 1 1 116 1 116 116 116 116 116 116 0 0 0 0 0 116 -1 1 0 -1
"1065" "5" "mhma" 23 "a" 70 6 6 1 1 56 1 0 1081 1081 1081 1081 1081 0 0 0 0 0 1081 -1 -1 -1 0
"1072" "5" "mhma" 31 "b" 72 6 6 1 1 29 1 0 310 310 310 310 310 0 0 0 0 0 310 1 -1 1 0
"1079" "5" "mhma" 12 "d" 75 7 7 1 1 162 1 0 347 347 347 347 347 0 0 0 0 0 347 1 1 0 1
"1086" "5" "mhma" 1 "a" 79 6 6 1 1 79 1 0 331 331 331 331 331 0 0 0 0 0 331 -1 -1 -1 0
"1093" "5" "mhma" 35 "c" 82 6 6 1 1 100 1 0 409 409 409 409 409 0 0 0 0 0 409 -1 1 0 -1
"1100" "5" "mhma" 29 "d" 87 6 6 1 1 203 1 0 327 327 542 327 327 215 0 215 0 0 215 1 1 0 1
"1107" "5" "mhma" 20 "d" 89 7 7 1 1 339 1 339 339 339 339 339 339 0 0 0 0 0 339 1 1 0 1
"1114" "5" "mhma" 13 "c" 92 6 6 1 1 134 1 0 294 294 601 294 294 307 0 307 0 0 307 -1 1 0 -1
"1121" "5" "mhma" 19 "a" 96 6 6 1 1 190 1 0 326 326 670 326 326 344 0 344 0 0 344 -1 -1 -1 0
"1128" "6" "mk" 18 "a" 2 7 7 1 1 84 1 0 84 84 388 84 84 304 0 304 0 0 304 -1 -1 -1 0
"1135" "6" "mk" 33 "d" 4 7 6 0 1 194 1 0 548 548 548 548 548 0 0 0 0 0 548 1 1 1 1
"1142" "6" "mk" 22 "a" 10 7 7 1 1 187 1 0 346 346 346 346 346 0 0 0 0 0 346 -1 -1 -1 0
"1149" "6" "mk" 11 "d" 14 6 6 1 1 225 1 0 458 458 458 458 458 0 0 0 0 0 458 1 1 0 1
"1156" "6" "mk" 24 "c" 18 7 7 1 1 173 1 0 355 355 355 355 355 0 0 0 0 0 355 -1 1 0 -1
"1163" "6" "mk" 3 "b" 20 6 6 1 1 78 1 0 78 78 255 78 78 177 0 177 0 0 177 1 -1 1 0
"1170" "6" "mk" 4 "a" 23 7 6 0 1 182 1 0 270 270 270 270 270 0 0 0 0 0 270 -1 -1 -1 0
"1177" "6" "mk" 10 "a" 28 7 7 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 0
"1184" "6" "mk" 30 "b" 31 7 6 0 1 85 1 85 85 85 85 85 85 0 0 0 0 0 85 1 -1 0 0
"1191" "6" "mk" 36 "a" 33 7 7 1 1 170 1 0 231 231 231 231 231 0 0 0 0 0 231 -1 -1 -1 0
"1198" "6" "mk" 28 "d" 36 7 7 1 1 195 1 0 383 383 383 383 383 0 0 0 0 0 383 1 1 0 1
"1205" "6" "mk" 27 "a" 39 6 6 1 1 36 1 0 448 448 448 448 448 0 0 0 0 0 448 -1 -1 -1 0
"1212" "6" "mk" 21 "b" 41 6 7 0 1 47 1 0 932 932 932 932 932 0 0 0 0 0 932 1 -1 0 0
"1219" "6" "mk" 6 "d" 44 7 7 1 1 78 1 0 1308 1308 1308 1308 1308 0 0 0 0 0 1308 1 1 1 1
"1226" "6" "mk" 14 "a" 46 7 7 1 1 160 1 0 968 968 968 968 968 0 0 0 0 0 968 -1 -1 -1 0
