"subject" "participant" "id" "cond" "resp" "roi" "dist" "pred" "pred.dist" "nopred.dist"
"833" "4" "ksh" 27 "d" 1 1 1 1 0 1
"841" "4" "ksh" 18 "d" 1 1 1 1 0 1
"849" "4" "ksh" 13 "a" 1 1 -1 -1 -1 0
"857" "4" "ksh" 12 "a" 1 1 -1 -1 -1 0
"865" "4" "ksh" 23 "d" 1 1 1 1 0 1
"873" "4" "ksh" 19 "c" 1 1 -1 1 0 -1
"881" "4" "ksh" 17 "a" 1 1 -1 -1 -1 0
"889" "4" "ksh" 16 "b" 1 1 1 -1 1 0
"897" "4" "ksh" 26 "a" 1 1 -1 -1 -1 0
"905" "4" "ksh" 6 "c" 1 1 -1 1 0 -1
"913" "4" "ksh" 14 "d" 1 1 1 1 0 1
"921" "4" "ksh" 3 "b" 1 1 1 -1 1 0
"929" "4" "ksh" 7 "b" 1 1 1 -1 1 0
"937" "4" "ksh" 8 "a" 1 1 -1 -1 -1 0
"945" "4" "ksh" 31 "a" 1 1 -1 -1 -1 0
"953" "4" "ksh" 20 "b" 1 1 1 -1 1 0
"961" "4" "ksh" 24 "c" 1 1 -1 1 0 -1
"969" "4" "ksh" 1 "b" 1 1 1 -1 1 0
"977" "4" "ksh" 10 "c" 1 1 -1 1 0 -1
"985" "4" "ksh" 9 "d" 1 1 1 1 0 1
"993" "4" "ksh" 32 "d" 1 1 1 1 0 1
"1001" "5" "ky" 11 "a" 1 1 -1 -1 -1 0
"1009" "5" "ky" 5 "c" 1 1 -1 1 0 -1
"1017" "5" "ky" 28 "b" 0 1 1 -1 1 0
"1025" "5" "ky" 22 "c" 1 1 -1 1 0 -1
"1033" "5" "ky" 4 "d" 1 1 1 1 0 1
"1041" "5" "ky" 2 "b" 0 1 1 -1 1 0
"1049" "5" "ky" 29 "b" 1 1 1 -1 1 0
"1057" "5" "ky" 21 "d" 0 1 1 1 0 1
"1065" "5" "ky" 15 "b" 1 1 1 -1 1 0
"1073" "5" "ky" 30 "a" 0 1 -1 -1 -1 0
"1081" "5" "ky" 25 "a" 1 1 -1 -1 -1 0
"1089" "5" "ky" 27 "c" 1 1 -1 1 0 -1
"1097" "5" "ky" 18 "c" 1 1 -1 1 0 -1
"1105" "5" "ky" 13 "d" 1 1 1 1 0 1
"1113" "5" "ky" 12 "d" 0 1 1 1 0 1
"1121" "5" "ky" 23 "c" 1 1 -1 1 0 -1
"1129" "5" "ky" 19 "b" 1 1 1 -1 1 0
"1137" "5" "ky" 17 "d" 1 1 1 1 0 1
"1145" "5" "ky" 16 "a" 1 1 -1 -1 -1 0
"1153" "5" "ky" 26 "d" 0 1 1 1 0 1
"1161" "5" "ky" 6 "b" 0 1 1 -1 1 0
"1169" "5" "ky" 14 "c" 1 1 -1 1 0 -1
"1177" "5" "ky" 3 "a" 1 1 -1 -1 -1 0
"1185" "5" "ky" 7 "a" 1 1 -1 -1 -1 0
"1193" "5" "ky" 8 "d" 0 1 1 1 0 1
"1201" "5" "ky" 31 "d" 1 1 1 1 0 1
"1209" "5" "ky" 20 "a" 1 1 -1 -1 -1 0
"1217" "5" "ky" 24 "b" 1 1 1 -1 1 0
"1225" "5" "ky" 1 "a" 1 1 -1 -1 -1 0
"1233" "5" "ky" 10 "b" 1 1 1 -1 1 0
"1241" "5" "ky" 9 "c" 1 1 -1 1 0 -1
"1249" "5" "ky" 32 "c" 0 1 -1 1 0 -1
"1257" "6" "la" 11 "d" 1 1 1 1 0 1
"1265" "6" "la" 5 "b" 1 1 1 -1 1 0
"1273" "6" "la" 28 "a" 1 1 -1 -1 -1 0
"1281" "6" "la" 22 "b" 1 1 1 -1 1 0
"1289" "6" "la" 4 "c" 1 1 -1 1 0 -1
"1297" "6" "la" 2 "a" 1 1 -1 -1 -1 0
"1305" "6" "la" 29 "a" 1 1 -1 -1 -1 0
"1313" "6" "la" 21 "c" 1 1 -1 1 0 -1
"1321" "6" "la" 15 "a" 1 1 -1 -1 -1 0
"1329" "6" "la" 30 "d" 1 1 1 1 0 1
"1337" "6" "la" 25 "d" 0 1 1 1 0 1
"1345" "6" "la" 27 "b" 1 1 1 -1 1 0
"1353" "6" "la" 18 "b" 1 1 1 -1 1 0
"1361" "6" "la" 13 "c" 1 1 -1 1 0 -1
"1369" "6" "la" 12 "c" 1 1 -1 1 0 -1
"1377" "6" "la" 23 "b" 1 1 1 -1 1 0
"1385" "6" "la" 19 "a" 1 1 -1 -1 -1 0
"1393" "6" "la" 17 "c" 1 1 -1 1 0 -1
"1401" "6" "la" 16 "d" 1 1 1 1 0 1
"1409" "6" "la" 26 "c" 1 1 -1 1 0 -1
"1417" "6" "la" 6 "a" 1 1 -1 -1 -1 0
"1425" "6" "la" 14 "b" 0 1 1 -1 1 0
"1433" "6" "la" 3 "d" 1 1 1 1 0 1
"1441" "6" "la" 7 "d" 1 1 1 1 0 1
"1449" "6" "la" 8 "c" 1 1 -1 1 0 -1
"1457" "6" "la" 31 "c" 1 1 -1 1 0 -1
"1465" "6" "la" 20 "d" 0 1 1 1 0 1
