"subject" "id" "cond" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT"
"69" "aa" 11 "d" 5 209 1 209 209 209 209 209 3107 0 0 0 0 0 209
"70" "aa" 11 "d" 6 0 0 0 0 0 0 0 3107 0 0 0 0 0 0
"71" "aa" 11 "d" 7 267 1 0 3222 3222 3222 3222 6329 0 0 0 0 0 3222
"72" "aa" 11 "d" 8 0 0 0 0 0 0 0 6329 0 0 0 0 0 0
"73" "aa" 12 "c" 1 186 1 0 734 734 734 734 734 0 0 0 0 0 734
"74" "aa" 12 "c" 2 0 0 0 0 0 0 0 734 0 0 0 0 0 0
"75" "aa" 12 "c" 3 331 1 331 331 331 331 331 1065 0 0 0 0 0 331
"76" "aa" 12 "c" 4 501 1 501 501 501 501 501 1566 0 0 0 0 0 501
"77" "aa" 12 "c" 5 0 0 0 0 0 0 0 1566 0 0 0 0 0 0
"78" "aa" 12 "c" 6 247 1 0 1552 1552 1552 1552 3118 0 0 0 0 0 1552
"79" "aa" 12 "c" 7 0 0 0 0 0 0 0 3118 0 0 0 0 0 0
"80" "aa" 12 "c" 8 0 0 0 0 0 0 0 3118 0 0 0 0 0 0
"81" "aa" 13 "b" 1 189 1 0 503 503 503 503 503 0 0 0 0 0 503
"82" "aa" 13 "b" 2 243 1 243 243 243 243 243 746 0 0 0 0 0 243
"83" "aa" 13 "b" 3 273 1 0 912 912 912 912 1658 0 0 0 0 0 912
"84" "aa" 13 "b" 4 235 1 235 235 235 235 235 1893 0 0 0 0 0 235
"85" "aa" 13 "b" 5 0 0 0 0 0 0 0 1893 0 0 0 0 0 0
"86" "aa" 13 "b" 6 190 1 190 190 190 190 190 2083 0 0 0 0 0 190
"87" "aa" 13 "b" 7 262 1 0 2533 2533 2533 2533 4616 0 0 0 0 0 2533
"88" "aa" 13 "b" 8 0 0 0 0 0 0 0 4616 0 0 0 0 0 0
"89" "aa" 14 "a" 1 199 1 0 369 369 369 369 369 0 0 0 0 0 369
"90" "aa" 14 "a" 2 268 1 268 268 268 268 268 637 0 0 0 0 0 268
"91" "aa" 14 "a" 3 208 1 0 478 478 478 478 1115 0 0 0 0 0 478
"92" "aa" 14 "a" 4 0 0 0 0 0 0 0 1115 0 0 0 0 0 0
"93" "aa" 14 "a" 5 0 0 0 0 0 0 0 1115 0 0 0 0 0 0
"94" "aa" 14 "a" 6 166 1 0 2051 2051 2051 2051 3166 0 0 0 0 0 2051
"95" "aa" 14 "a" 7 0 0 0 0 0 0 0 3166 0 0 0 0 0 0
"96" "aa" 14 "a" 8 0 0 0 0 0 0 0 3166 0 0 0 0 0 0
"97" "aa" 15 "d" 1 184 1 0 359 359 359 359 359 0 0 0 0 0 359
"98" "aa" 15 "d" 2 218 1 218 218 218 218 218 577 0 0 0 0 0 218
"99" "aa" 15 "d" 3 260 1 0 740 740 740 740 1317 0 0 0 0 0 740
"100" "aa" 15 "d" 4 208 1 0 417 417 417 417 1734 0 0 0 0 0 417
"101" "aa" 15 "d" 5 320 1 320 320 320 320 320 2054 0 0 0 0 0 320
"102" "aa" 15 "d" 6 0 0 0 0 0 0 0 2054 0 0 0 0 0 0
"103" "aa" 15 "d" 7 234 1 0 1451 1451 1451 1451 3505 0 0 0 0 0 1451
"104" "aa" 15 "d" 8 0 0 0 0 0 0 0 3505 0 0 0 0 0 0
"105" "aa" 16 "c" 1 195 1 0 338 338 494 338 338 156 0 156 0 0 156
"106" "aa" 16 "c" 2 240 1 240 240 240 240 396 734 0 0 0 1 1 240
"107" "aa" 16 "c" 3 171 1 171 171 171 171 171 905 0 0 0 0 0 171
"108" "aa" 16 "c" 4 396 1 396 396 396 396 396 1301 0 0 0 0 0 396
"109" "aa" 16 "c" 5 0 0 0 0 0 0 0 1301 0 0 0 0 0 0
"110" "aa" 16 "c" 6 254 1 0 1265 1265 1265 1265 2566 0 0 0 0 0 1265
"111" "aa" 16 "c" 7 0 0 0 0 0 0 0 2566 0 0 0 0 0 0
"112" "aa" 16 "c" 8 0 0 0 0 0 0 0 2566 0 0 0 0 0 0
"113" "aa" 17 "b" 1 205 1 0 470 470 1564 470 470 1094 0 1094 0 0 304
"114" "aa" 17 "b" 2 242 1 0 394 394 1330 394 864 936 0 936 0 1 205
"115" "aa" 17 "b" 3 219 1 0 717 717 2816 717 1581 2099 0 2099 0 1 580
"116" "aa" 17 "b" 4 301 1 301 301 301 301 301 1882 0 0 0 0 0 301
"117" "aa" 17 "b" 5 320 1 0 320 320 853 320 2202 533 0 533 0 0 210
"118" "aa" 17 "b" 6 0 0 0 0 0 132 0 2202 132 0 132 0 0 132
"119" "aa" 17 "b" 7 386 1 0 2884 6737 6737 11531 13733 3853 3853 0 3 3 1250
"120" "aa" 17 "b" 8 0 0 0 0 0 0 0 13733 0 0 0 0 0 0
"121" "aa" 18 "a" 1 187 1 0 345 345 655 345 345 310 0 310 0 0 310
"122" "aa" 18 "a" 2 205 1 0 409 409 612 409 754 203 0 203 0 0 203
"123" "aa" 18 "a" 3 248 1 0 248 248 475 248 1002 227 0 227 0 0 227
"124" "aa" 18 "a" 4 0 0 0 0 0 0 0 1002 0 0 0 0 0 0
"125" "aa" 18 "a" 5 158 1 0 158 158 314 158 1160 156 0 156 0 0 156
"126" "aa" 18 "a" 6 297 1 0 1560 2633 2633 3529 4689 1073 1073 0 1 1 1073
"127" "aa" 18 "a" 7 0 0 0 0 0 0 0 4689 0 0 0 0 0 0
"128" "aa" 18 "a" 8 0 0 0 0 0 0 0 4689 0 0 0 0 0 0
"129" "aa" 19 "d" 1 185 1 0 357 357 871 357 357 514 0 514 0 0 514
"130" "aa" 19 "d" 2 255 1 0 443 443 577 443 800 134 0 134 0 1 134
"131" "aa" 19 "d" 3 167 1 0 1542 1542 2600 1542 2342 1058 0 1058 0 0 1058
"132" "aa" 19 "d" 4 415 1 0 415 415 668 415 2757 253 0 253 0 0 253
"133" "aa" 19 "d" 5 162 1 0 162 162 392 162 2919 230 0 230 0 0 230
"134" "aa" 19 "d" 6 0 0 0 0 0 0 0 2919 0 0 0 0 0 0
"135" "aa" 19 "d" 7 194 1 0 2155 4890 4890 7079 9998 2735 2735 0 1 1 2735
"136" "aa" 19 "d" 8 0 0 0 0 0 0 0 9998 0 0 0 0 0 0
"137" "aa" 20 "c" 1 194 1 0 394 394 394 394 394 0 0 0 0 0 394
"138" "aa" 20 "c" 2 214 1 214 214 214 214 214 608 0 0 0 0 0 214
"139" "aa" 20 "c" 3 205 1 205 205 205 205 205 813 0 0 0 0 0 205
"140" "aa" 20 "c" 4 217 1 217 217 217 217 217 1030 0 0 0 0 0 217
"141" "aa" 20 "c" 5 0 0 0 0 0 0 0 1030 0 0 0 0 0 0
"142" "aa" 20 "c" 6 272 1 0 1894 1894 1894 1894 2924 0 0 0 0 0 1894
"143" "aa" 20 "c" 7 0 0 0 0 0 0 0 2924 0 0 0 0 0 0
"144" "aa" 20 "c" 8 0 0 0 0 0 0 0 2924 0 0 0 0 0 0
"145" "aa" 21 "b" 1 186 1 0 501 501 501 501 501 0 0 0 0 0 501
"146" "aa" 21 "b" 2 271 1 271 271 271 271 271 772 0 0 0 0 0 271
"147" "aa" 21 "b" 3 181 1 0 1073 1073 1073 1073 1845 0 0 0 0 0 1073
"148" "aa" 21 "b" 4 256 1 0 450 450 450 450 2295 0 0 0 0 0 450
"149" "aa" 21 "b" 5 0 0 0 0 0 0 0 2295 0 0 0 0 0 0
"150" "aa" 21 "b" 6 0 0 0 0 0 0 0 2295 0 0 0 0 0 0
"151" "aa" 21 "b" 7 278 1 0 1564 1564 1564 1564 3859 0 0 0 0 0 1564
"152" "aa" 21 "b" 8 0 0 0 0 0 0 0 3859 0 0 0 0 0 0
"153" "aa" 22 "a" 1 191 1 0 368 368 368 368 368 0 0 0 0 0 368
"154" "aa" 22 "a" 2 241 1 241 241 241 241 241 609 0 0 0 0 0 241
"155" "aa" 22 "a" 3 190 1 190 190 190 190 190 799 0 0 0 0 0 190
"156" "aa" 22 "a" 4 197 1 197 197 197 197 197 996 0 0 0 0 0 197
"157" "aa" 22 "a" 5 0 0 0 0 0 0 0 996 0 0 0 0 0 0
"158" "aa" 22 "a" 6 200 1 0 3241 3241 3241 3241 4237 0 0 0 0 0 3241
"159" "aa" 22 "a" 7 0 0 0 0 0 0 0 4237 0 0 0 0 0 0
"160" "aa" 22 "a" 8 0 0 0 0 0 0 0 4237 0 0 0 0 0 0
"161" "aa" 23 "d" 1 193 1 0 937 937 937 937 937 0 0 0 0 0 937
"162" "aa" 23 "d" 2 458 1 458 458 458 458 458 1395 0 0 0 0 0 458
"163" "aa" 23 "d" 3 253 1 0 707 707 1044 707 2102 337 0 337 0 0 337
"164" "aa" 23 "d" 4 278 1 0 278 278 500 278 2380 222 0 222 0 0 222
"165" "aa" 23 "d" 5 462 1 0 462 462 735 462 2842 273 0 273 0 0 273
"166" "aa" 23 "d" 6 0 0 0 0 0 0 0 2842 0 0 0 0 0 0
"167" "aa" 23 "d" 7 205 1 0 1354 1733 1733 2565 5407 379 379 0 1 1 379
"168" "aa" 23 "d" 8 0 0 0 0 0 0 0 5407 0 0 0 0 0 0
"169" "aa" 24 "c" 1 211 1 0 613 613 613 613 613 0 0 0 0 0 613
"170" "aa" 24 "c" 2 0 0 0 0 0 0 0 613 0 0 0 0 0 0
"171" "aa" 24 "c" 3 300 1 300 300 300 300 300 913 0 0 0 0 0 300
"172" "aa" 24 "c" 4 249 1 0 249 249 452 249 1162 203 0 203 0 0 203
"173" "aa" 24 "c" 5 0 0 0 0 0 0 0 1162 0 0 0 0 0 0
