item,condition,surprisal
1,g,2.2881
2,g,2.8372
3,g,4.8416
4,g,4.4334
5,g,1.7836
6,g,2.8668
7,g,3.5153
8,g,3.7083
9,g,3.5796
10,g,4.5557
11,g,3.6677
12,g,4.4883
13,g,4.1843
14,g,2.8808
15,g,2.7816
16,g,3.3544
1,ug,3.1595
2,ug,3.534
3,ug,4.4254
4,ug,5.2068
5,ug,1.8121
6,ug,3.7906
7,ug,4.6427
8,ug,6.2234
9,ug,4.6759
10,ug,4.4702
11,ug,4.1849
12,ug,5.4702
13,ug,5.4045
14,ug,3.9122
15,ug,4.5682
16,ug,4.8566
