item,condition,surprisal
1,g,11.9418
2,g,13.5214
3,g,16.601
4,g,16.9078
5,g,19.003
6,g,13.5975
7,g,16.1568
8,g,14.5712
9,g,14.0062
10,g,16.9528
11,g,17.8274
12,g,12.2544
13,g,15.4022
14,g,15.1769
15,g,14.813
16,g,21.2341
1,ug,14.8165
2,ug,14.2895
3,ug,16.8903
4,ug,15.2131
5,ug,21.7459
6,ug,15.9888
7,ug,16.0246
8,ug,15.222
9,ug,14.8114
10,ug,18.1896
11,ug,15.9994
12,ug,11.7889
13,ug,15.4831
14,ug,15.9383
15,ug,14.1963
16,ug,17.4091
