subject, item, itempos, targetpos, condition, proficiency, V1, V2, V3, NP1, NP2, PP1, PP2, PP3
de37, i3, 2, 0, 1, 4, 6.431331, 6.862758, 6.405228, 6.349139, 6.871091, 5.940171, 6.077642, 6.291569
de37, i14, 4, 1, -1, 4, 6.403574, NaN, 6.563856, 6.376727, 6.418365, 6.131226, 6.391917, 6.811244
de37, i5, 12, 1, 1, 4, 6.232448, 6.306275, 6.390241, 6.182085, 6.198479, 6.230481, 6.230481, 6.335054
de37, i9, 14, 2, 1, 4, 6.481577, 5.828946, 6.059123, 6.198479, 6.390241, 6.001415, 5.874931, 6.148468
de37, i13, 21, 3, 1, 4, 6.261492, 5.963579, 7.119636, 5.758902, 6.291569, 6.308098, 6.059123, 6.248043
de37, i2, 23, 4, -1, 4, 6.214608, NaN, 6.950815, 5.981414, 6.444131, 6.077642, 6.021023, 6.689599
de37, i8, 27, 4, -1, 4, 6.040255, NaN, 6.230481, 6.719013, 6.492240, 5.981414, 5.961005, 6.539586
de37, i10, 32, 4, -1, 4, 6.689599, NaN, 6.291569, 6.595781, 6.996681, 5.940171, 6.230481, 6.322565
de37, i1, 39, 4, 1, 4, 6.246107, 6.230481, 6.738152, 6.349139, 6.504288, 6.148468, 6.095825, 6.335054
de37, i11, 45, 5, 1, 4, 6.617403, 6.291569, 6.061457, 6.198479, 6.261492, 6.148468, 6.150603, 5.918894
de37, i6, 48, 6, -1, 4, 6.785588, NaN, 6.165418, 6.113682, 6.182085, 6.148468, 6.113682, 6.079933
de37, i12, 58, 6, -1, 4, 5.918894, NaN, 6.040255, 5.963579, 5.755742, 6.131226, 6.040255, 6.040255
de37, i15, 61, 6, 1, 4, 6.455199, 6.165418, 6.276643, 6.148468, 6.021023, 6.248043, 6.230481, 5.828946
de37, i7, 63, 7, 1, 4, 5.897154, 6.165418, 6.246107, 6.042633, 6.246107, 6.059123, 5.897154, 6.306275
de37, i4, 67, 8, -1, 4, 6.378426, NaN, 6.182085, 6.098074, 6.455199, 5.831882, 5.560682, 6.363028
de37, i16, 71, 8, -1, 4, 6.003887, NaN, 6.214608, 5.983936, 5.897154, 6.182085, 6.001415, 6.766192
de38, i2, 2, 0, 1, 11, 6.278521, 6.775366, 6.539586, 6.516193, 6.480045, 6.095825, 6.376727, 6.837333
de38, i1, 5, 1, -1, 11, 6.927558, NaN, 7.132498, 6.115892, 7.349874, 6.261492, 6.042633, 6.276643
de38, i7, 11, 1, -1, 11, 6.403574, NaN, 6.516193, 6.001415, 6.700731, 5.918894, 5.730100, 6.246107
de38, i4, 15, 1, 1, 11, 6.728629, 7.074117, 6.113682, 6.165418, 6.551080, 6.095825, 5.981414, 6.077642
de38, i13, 19, 2, -1, 11, 6.648985, NaN, 7.224753, 5.940171, 6.871091, 6.115892, 5.755742, 6.182085
de38, i3, 25, 2, -1, 11, 6.467699, NaN, 6.710523, 5.918894, 6.516193, 6.115892, 5.852202, 6.322565
de38, i12, 29, 2, 1, 11, 6.794587, 6.551080, 6.492240, 6.001415, 6.391917, 6.021023, 5.805135, 6.363028
de38, i6, 33, 3, 1, 11, 7.264030, 7.087574, 6.306275, 6.416732, 6.467699, 6.077642, 5.961005, 6.095825
de38, i8, 39, 4, 1, 11, 6.689599, 5.897154, 7.218177, 6.403574, 6.040255, 5.897154, 5.831882, 6.165418
de38, i11, 44, 5, -1, 11, 6.595781, NaN, 6.966967, 6.467699, 6.481577, 6.113682, 6.276643, 6.113682
