subject, item, itempos, targetpos, condition, proficiency, V1, V2, V3, NP1, NP2, PP1, PP2, PP3
nl21, i13, 7, 0, 1, 27, 6.695799, 7.102499, 6.637258, 6.597146, 6.381816, 6.434547, 6.356108, 6.259581
nl21, i15, 12, 1, 1, 27, 6.326149, 6.439350, 6.167516, 6.369901, 6.481577, 6.297109, 6.278521, 6.368187
nl21, i6, 17, 2, -1, 27, 6.272877, NaN, 6.371612, 6.113682, 6.104793, 5.955837, 6.063785, 6.230481
nl21, i16, 20, 2, -1, 27, 6.842683, NaN, 6.236370, 6.364751, 6.570883, 6.200509, 6.204558, 6.253829
nl21, i10, 25, 2, -1, 27, 6.192362, NaN, 6.432940, 6.423247, 6.196444, 6.304449, 6.287859, 6.666957
nl21, i1, 27, 2, 1, 27, 6.104793, 6.113682, 6.129050, 6.276643, 6.248043, 6.133398, 6.261492, 6.216606
nl21, i9, 29, 3, 1, 27, 6.357842, 6.677083, 4.927254, 7.454720, 6.426488, 6.246107, 6.146329, 6.184149
nl21, i7, 31, 4, 1, 27, 6.013715, 6.120297, 6.033086, 6.333280, 6.173786, 5.945421, 5.894403, 6.068426
nl21, i14, 40, 5, -1, 27, 6.049733, NaN, 5.991465, 6.006353, 6.093570, 6.011267, 6.079933, 6.133398
nl21, i12, 43, 5, -1, 27, 5.710427, NaN, 6.336826, 5.774552, 6.135565, 6.059123, 5.786897, 6.068426
nl21, i11, 50, 5, 1, 27, 5.913503, 5.796058, 5.587249, 6.311735, 6.124683, 6.023448, 5.796058, 6.045005
nl21, i5, 53, 6, 1, 27, 5.961005, 5.843544, 6.035481, 5.802118, 6.059123, 5.996452, 5.902633, 5.874931
nl21, i8, 61, 7, -1, 27, 5.883322, NaN, 5.929589, 5.971262, 5.771441, 6.045005, 5.877736, 5.929589
nl21, i4, 67, 7, -1, 27, 5.961005, NaN, 5.966147, 6.104793, 6.246107, 6.186209, 6.018593, 6.126869
nl21, i3, 70, 7, 1, 27, 6.066108, 6.013715, 5.948035, 6.173786, 5.937536, 6.089045, 5.680173, 5.602119
nl22, i6, 3, 0, 1, 28, 6.079933, 7.074117, 6.278521, 6.670766, 6.516193, 6.003887, 5.918894, 6.023448
nl22, i4, 5, 1, 1, 28, 6.605298, 6.391917, 6.320768, 6.951772, 6.728629, 6.278521, 5.940171, 5.942799
nl22, i8, 9, 2, 1, 28, 6.115892, 6.650279, 5.755742, 6.216606, 7.031741, 5.899897, 5.897154, 6.133398
nl22, i1, 19, 3, -1, 28, 5.921578, NaN, 6.608001, 6.061457, 6.378426, 5.921578, 5.805135, 5.808142
nl22, i10, 23, 3, 1, 28, 6.098074, 6.320768, 6.959399, 6.198479, 7.438972, 5.961005, 5.805135, 6.003887
nl22, i15, 28, 4, -1, 28, 6.812345, NaN, 6.261492, 5.783825, 6.248043, 5.983936, 5.828946, 5.942799
nl22, i9, 33, 4, -1, 28, 5.680173, NaN, 6.679599, 7.286876, 6.200509, 5.918894, 5.808142, 5.624018
nl22, i12, 35, 4, 1, 28, 5.942799, 8.871365, 5.828946, 6.690842, 6.021023, 5.877736, 5.620401, 5.533389
nl22, i3, 40, 5, -1, 28, 5.855072, NaN, 5.620401, 5.758902, 5.497168, 5.831882, 5.590987, 5.564520
nl22, i13, 44, 5, -1, 28, 5.877736, NaN, 5.897154, 5.877736, 6.184149, 6.133398, 6.042633, 6.597146
nl22, i14, 47, 5, 1, 28, 6.079933, 5.624018, 6.738152, 6.216606, 5.808142, 5.703782, 5.497168, 5.680173
nl22, i5, 52, 6, -1, 28, 5.560682, NaN, 5.942799, 5.828946, 5.564520, 6.429719, 5.501258, 5.899897
nl22, i2, 57, 6, 1, 28, 5.680173, 6.077642, 5.680173, 5.780744, 5.624018, 6.291569, 5.564520, 5.590987
nl22, i7, 63, 7, -1, 28, 6.505784, NaN, 6.113682, 6.336826, 5.755742, 5.808142, 5.620401, 5.624018
nl22, i16, 65, 7, 1, 28, 5.707110, 7.067320, 7.350516, 5.918894, 6.444131, 5.560682, 5.624018, 5.501258
nl22, i11, 69, 8, -1, 28, 6.322565, NaN, 5.940171, 5.942799, 6.349139, 5.921578, 5.680173, 5.680173
nl23, i13, 2, 0, 1, 29, 7.672292, 6.113682, 6.395262, 6.194405, 6.725034, 6.628041, 6.672033, 6.656727
nl23, i6, 10, 1, -1, 29, 6.584791, NaN, 6.504288, 6.008813, 6.381816, 6.345636, 5.866468, 6.049733
nl23, i14, 14, 1, -1, 29, 6.646391, NaN, 6.467699, 6.432940, 6.220590, 6.200509, 5.942799, 6.356108
nl23, i11, 18, 1, 1, 29, 6.577861, 6.122493, 6.070738, 6.324359, 7.034388, 6.190315, 5.966147, 6.445720
nl23, i7, 22, 2, 1, 29, 6.006353, 5.940171, 6.006353, 6.047372, 6.577861, 5.950643, 5.913503, 6.234411
nl23, i3, 26, 3, 1, 29, 6.139885, 6.091310, 6.204558, 6.021023, 6.150603, 6.142037, 5.883322, 6.154858
nl23, i2, 31, 4, -1, 29, 5.966147, NaN, 5.955837, 6.052089, 6.030685, 5.899897, 5.808142, 5.968708
nl23, i16, 37, 4, -1, 29, 5.736572, NaN, 5.843544, 5.817111, 5.874931, 5.874931, 5.874931, 5.918894
nl23, i4, 40, 4, -1, 29, 5.831882, NaN, 5.789960, 5.924256, 5.820083, 5.774552, 5.789960, 5.840642
nl23, i10, 45, 4, -1, 29, 5.852202, NaN, 5.849325, 6.575076, 6.033086, 5.926926, 5.855072, 5.894403
