item,condition,surprisal
1,g,13.5554
2,g,12.9455
3,g,13.3174
4,g,12.3308
5,g,17.313
6,g,15.8527
7,g,15.2294
8,g,12.7861
9,g,13.2738
10,g,14.6885
11,g,12.1155
12,g,14.0562
13,g,15.3278
14,g,14.1123
15,g,15.3148
16,g,14.6313
1,ug,15.3657
2,ug,11.6043
3,ug,13.7973
4,ug,12.2167
5,ug,17.3074
6,ug,13.7347
7,ug,12.3807
8,ug,13.4112
9,ug,13.3026
10,ug,14.7105
11,ug,12.5844
12,ug,11.6678
13,ug,15.2451
14,ug,12.2759
15,ug,13.5372
16,ug,14.3374
