"subj" "item" "cond" "pos" "resp" "rt" "roi"
"492" 3 34 "d" "3" "-" 398 "precrit"
"493" 3 34 "d" "4" "-" 388 "precrit"
"494" 3 34 "d" "5" "-" 357 "precrit"
"495" 3 34 "d" "6" "-" 350 "crit"
"496" 3 34 "d" "7" "-" 380 "postcrit"
"497" 3 34 "d" "8" "-" 347 "post"
"498" 3 34 "d" "9" "-" 342 "post"
"499" 3 34 "d" "10" "-" 416 "post"
"500" 3 34 "d" "?" "0" 4823 NA
"546" 3 9 "c" "0" "-" 619 "predep"
"547" 3 9 "c" "1" "-" 1405 "dep"
"548" 3 9 "c" "2" "-" 456 "precrit"
"549" 3 9 "c" "3" "-" 396 "precrit"
"550" 3 9 "c" "4" "-" 389 "crit"
"551" 3 9 "c" "5" "-" 379 "postcrit"
"552" 3 9 "c" "6" "-" 395 "post"
"553" 3 9 "c" "7" "-" 383 "post"
"554" 3 9 "c" "8" "-" 544 "post"
"555" 3 9 "c" "9" "-" 467 "post"
"556" 3 9 "c" "?" "1" 2209 NA
"604" 3 33 "c" "0" "-" 472 "predep"
"605" 3 33 "c" "1" "-" 397 "dep"
"606" 3 33 "c" "2" "-" 361 "precrit"
"607" 3 33 "c" "3" "-" 356 "precrit"
"608" 3 33 "c" "4" "-" 378 "crit"
"609" 3 33 "c" "5" "-" 430 "postcrit"
"610" 3 33 "c" "6" "-" 389 "post"
"611" 3 33 "c" "7" "-" 350 "post"
"612" 3 33 "c" "8" "-" 431 "post"
"613" 3 33 "c" "?" "1" 2249 NA
"635" 3 36 "b" "0" "-" 373 "predep"
"636" 3 36 "b" "1" "-" 348 "dep"
"637" 3 36 "b" "2" "-" 406 "precrit"
"638" 3 36 "b" "3" "-" 349 "precrit"
"639" 3 36 "b" "4" "-" 373 "precrit"
"640" 3 36 "b" "5" "-" 393 "precrit"
"641" 3 36 "b" "6" "-" 379 "crit"
"642" 3 36 "b" "7" "-" 396 "postcrit"
"643" 3 36 "b" "8" "-" 340 "post"
"644" 3 36 "b" "9" "-" 313 "post"
"645" 3 36 "b" "10" "-" 293 "post"
"646" 3 36 "b" "?" "1" 1846 NA
"657" 3 2 "d" "0" "-" 401 "predep"
"658" 3 2 "d" "1" "-" 341 "dep"
"659" 3 2 "d" "2" "-" 326 "precrit"
"660" 3 2 "d" "3" "-" 295 "precrit"
"661" 3 2 "d" "4" "-" 360 "precrit"
"662" 3 2 "d" "5" "-" 374 "precrit"
"663" 3 2 "d" "6" "-" 362 "crit"
"664" 3 2 "d" "7" "-" 351 "postcrit"
"665" 3 2 "d" "8" "-" 341 "post"
"666" 3 2 "d" "9" "-" 347 "post"
"667" 3 2 "d" "10" "-" 360 "post"
"668" 3 2 "d" "?" "1" 2118 NA
"682" 3 4 "b" "0" "-" 204 "predep"
"683" 3 4 "b" "1" "-" 392 "dep"
"684" 3 4 "b" "2" "-" 416 "precrit"
"685" 3 4 "b" "3" "-" 348 "precrit"
"686" 3 4 "b" "4" "-" 426 "precrit"
"687" 3 4 "b" "5" "-" 418 "precrit"
"688" 3 4 "b" "6" "-" 409 "crit"
"689" 3 4 "b" "7" "-" 426 "postcrit"
"690" 3 4 "b" "8" "-" 362 "post"
"691" 3 4 "b" "9" "-" 388 "post"
"692" 3 4 "b" "10" "-" 384 "post"
"693" 3 4 "b" "?" "1" 3950 NA
"732" 3 16 "b" "0" "-" 54 "predep"
"733" 3 16 "b" "1" "-" 1063 "dep"
"734" 3 16 "b" "2" "-" 366 "precrit"
"735" 3 16 "b" "3" "-" 347 "precrit"
"736" 3 16 "b" "4" "-" 367 "precrit"
"737" 3 16 "b" "5" "-" 421 "precrit"
"738" 3 16 "b" "6" "-" 399 "crit"
"739" 3 16 "b" "7" "-" 381 "postcrit"
"740" 3 16 "b" "8" "-" 394 "post"
"741" 3 16 "b" "9" "-" 364 "post"
"742" 3 16 "b" "10" "-" 396 "post"
"743" 3 16 "b" "?" "1" 3578 NA
"762" 3 3 "a" "0" "-" 389 "predep"
"763" 3 3 "a" "1" "-" 386 "dep"
"764" 3 3 "a" "2" "-" 359 "precrit"
"765" 3 3 "a" "3" "-" 360 "precrit"
"766" 3 3 "a" "4" "-" 359 "crit"
"767" 3 3 "a" "5" "-" 358 "postcrit"
"768" 3 3 "a" "6" "-" 351 "post"
"769" 3 3 "a" "7" "-" 374 "post"
"770" 3 3 "a" "8" "-" 358 "post"
"771" 3 3 "a" "9" "-" 396 "post"
"772" 3 3 "a" "?" "1" 2316 NA
"797" 3 1 "c" "0" "-" 137 "predep"
"798" 3 1 "c" "1" "-" 521 "dep"
"799" 3 1 "c" "2" "-" 347 "precrit"
"800" 3 1 "c" "3" "-" 366 "precrit"
"801" 3 1 "c" "4" "-" 396 "crit"
"802" 3 1 "c" "5" "-" 397 "postcrit"
"803" 3 1 "c" "6" "-" 367 "post"
"804" 3 1 "c" "7" "-" 362 "post"
"805" 3 1 "c" "8" "-" 355 "post"
"806" 3 1 "c" "?" "1" 2264 NA
"842" 3 30 "d" "0" "-" 200 "predep"
"843" 3 30 "d" "1" "-" 410 "dep"
"844" 3 30 "d" "2" "-" 341 "precrit"
"845" 3 30 "d" "3" "-" 330 "precrit"
"846" 3 30 "d" "4" "-" 385 "precrit"
"847" 3 30 "d" "5" "-" 359 "precrit"
"848" 3 30 "d" "6" "-" 323 "crit"
"849" 3 30 "d" "7" "-" 348 "postcrit"
"850" 3 30 "d" "8" "-" 323 "post"
"851" 3 30 "d" "9" "-" 327 "post"
"852" 3 30 "d" "10" "-" 352 "post"
"853" 3 30 "d" "?" "1" 3646 NA
"873" 3 31 "a" "0" "-" 11 "predep"
"874" 3 31 "a" "1" "-" 427 "dep"
"875" 3 31 "a" "2" "-" 359 "precrit"
"876" 3 31 "a" "3" "-" 374 "precrit"
"877" 3 31 "a" "4" "-" 359 "crit"
"878" 3 31 "a" "5" "-" 362 "postcrit"
"879" 3 31 "a" "6" "-" 344 "post"
"880" 3 31 "a" "7" "-" 360 "post"
"881" 3 31 "a" "?" "1" 3849 NA
"950" 3 28 "b" "0" "-" 363 "predep"
"951" 3 28 "b" "1" "-" 340 "dep"
"952" 3 28 "b" "2" "-" 305 "precrit"
"953" 3 28 "b" "3" "-" 298 "precrit"
