"subj" "item" "cond" "pos" "resp" "rt" "roi"
"56" 4 6 "a" "0" "-" 812 "predep"
"57" 4 6 "a" "1" "-" 919 "dep"
"58" 4 6 "a" "2" "-" 633 "precrit"
"59" 4 6 "a" "3" "-" 660 "precrit"
"60" 4 6 "a" "4" "-" 568 "crit"
"61" 4 6 "a" "5" "-" 699 "postcrit"
"62" 4 6 "a" "6" "-" 628 "post"
"63" 4 6 "a" "7" "-" 643 "post"
"64" 4 6 "a" "?" "1" 2065 NA
"86" 4 17 "d" "0" "-" 746 "predep"
"87" 4 17 "d" "1" "-" 835 "dep"
"88" 4 17 "d" "2" "-" 820 "precrit"
"89" 4 17 "d" "3" "-" 508 "precrit"
"90" 4 17 "d" "4" "-" 799 "precrit"
"91" 4 17 "d" "5" "-" 621 "precrit"
"92" 4 17 "d" "6" "-" 578 "precrit"
"93" 4 17 "d" "7" "-" 753 "precrit"
"94" 4 17 "d" "8" "-" 517 "crit"
"95" 4 17 "d" "9" "-" 499 "postcrit"
"96" 4 17 "d" "10" "-" 671 "post"
"97" 4 17 "d" "11" "-" 578 "post"
"98" 4 17 "d" "12" "-" 602 "post"
"99" 4 17 "d" "13" "-" 642 "post"
"100" 4 17 "d" "14" "-" 875 "post"
"101" 4 17 "d" "?" "1" 3050 NA
"142" 4 22 "a" "0" "-" 474 "predep"
"143" 4 22 "a" "1" "-" 830 "dep"
"144" 4 22 "a" "2" "-" 803 "precrit"
"145" 4 22 "a" "3" "-" 664 "precrit"
"146" 4 22 "a" "4" "-" 675 "crit"
"147" 4 22 "a" "5" "-" 747 "postcrit"
"148" 4 22 "a" "6" "-" 675 "post"
"149" 4 22 "a" "7" "-" 625 "post"
"150" 4 22 "a" "8" "-" 560 "post"
"151" 4 22 "a" "9" "-" 648 "post"
"152" 4 22 "a" "10" "-" 490 "post"
"153" 4 22 "a" "11" "-" 562 "post"
"154" 4 22 "a" "?" "1" 2050 NA
"177" 4 5 "d" "0" "-" 551 "predep"
"178" 4 5 "d" "1" "-" 771 "dep"
"179" 4 5 "d" "2" "-" 800 "precrit"
"180" 4 5 "d" "3" "-" 599 "precrit"
"181" 4 5 "d" "4" "-" 689 "precrit"
"182" 4 5 "d" "5" "-" 471 "precrit"
"183" 4 5 "d" "6" "-" 496 "precrit"
"184" 4 5 "d" "7" "-" 605 "precrit"
"185" 4 5 "d" "8" "-" 575 "crit"
"186" 4 5 "d" "9" "-" 525 "postcrit"
"187" 4 5 "d" "10" "-" 504 "post"
"188" 4 5 "d" "11" "-" 492 "post"
"189" 4 5 "d" "12" "-" 460 "post"
"190" 4 5 "d" "13" "-" 515 "post"
"191" 4 5 "d" "14" "-" 506 "post"
"192" 4 5 "d" "15" "-" 438 "post"
"193" 4 5 "d" "16" "-" 443 "post"
"194" 4 5 "d" "17" "-" 463 "post"
"195" 4 5 "d" "?" "0" 3075 NA
"207" 4 3 "b" "0" "-" 450 "predep"
"208" 4 3 "b" "1" "-" 844 "dep"
"209" 4 3 "b" "2" "-" 537 "precrit"
"210" 4 3 "b" "3" "-" 662 "precrit"
"211" 4 3 "b" "4" "-" 512 "precrit"
