"word_position"	"item"	"word"	"type_freq"
23	35	"Kandidatur"	4.30009155189
24	35	"einem"	1790.34230012
25	35	"jüngeren"	14.7887179038
26	35	"Kollegen"	34.0655541763
27	35	"zu"	8897.95218113
28	35	"überlassen"	29.2422575687
1	36	"Als"	386.812037774
2	36	"der"	26530.3631386
3	36	"Verteidigungsminister"	11.5350364633
4	36	"des"	7101.07799289
5	36	"kleinen"	222.337623454
6	36	"Alpenlands"	NA
7	36	"die"	24520.1275636
8	36	"Armee"	67.5261525069
9	36	"inspizierte"	0.359703475824
10	36	"und"	22313.7473183
11	36	"weitgehende"	9.00076197459
12	36	"Disziplinlosigkeit"	0.392403791808
13	36	"feststellte"	3.49893381028
14	36	"beschloss"	0.956484242531
15	36	"er"	4943.65829569
16	36	"den"	9841.63424996
17	36	"zuständigen"	26.8060840279
18	36	"General"	175.371794622
19	36	"fristlos"	0.752107267631
20	36	"zu"	8897.95218113
21	36	"entlassen"	22.9474467418
1	37	"Weil"	49.4755780837
2	37	"der"	26530.3631386
3	37	"Buchhalter"	2.69777606868
4	37	"eine"	4602.28334698
5	37	"Vielzahl"	8.40398120788
6	37	"von"	7955.34104766
7	37	"finanziellen"	15.8351280152
8	37	"Ungereimtheiten"	0.53138013474
9	37	"entdeckt"	29.8308632564
10	37	"hatte"	1622.81040626
11	37	"waren"	795.320735204
12	37	"Manfred"	9.66294337326
13	37	"Meier"	4.32461678888
14	37	"und"	22313.7473183
15	37	"seine"	1148.15714467
16	37	"Kollegen"	34.0655541763
17	37	"von"	7955.34104766
18	37	"der"	26530.3631386
19	37	"Unbrauchbarkeit"	0.318828080844
20	37	"des"	7101.07799289
21	37	"neuen"	332.774765611
22	37	"Finanzplans"	0.016350157992
23	37	"für"	4142.64770551
24	37	"die"	24520.1275636
25	37	"Abteilung"	31.0407749478
26	37	"überzeugt"	40.1968634233
1	38	"Weil"	49.4755780837
2	38	"ihm"	1297.73656506
3	38	"der"	26530.3631386
4	38	"Strand"	8.03610265306
5	38	"überhaupt"	243.004223156
6	38	"nicht"	6717.74853877
7	38	"gefiel"	11.3061342515
8	38	"das"	7683.24989344
9	38	"Hotel"	30.69742163
10	38	"und"	22313.7473183
11	38	"das"	7683.24989344
12	38	"Essen"	53.2606396589
13	38	"äußerst"	28.8335036189
14	38	"miserabel"	1.29983756036
15	38	"waren"	795.320735204
16	38	"und"	22313.7473183
17	38	"der"	26530.3631386
18	38	"Reiseveranstalter"	0.261602527872
19	38	"jegliche"	7.01421777856
20	38	"Serviceleistungen"	0.049050473976
21	38	"ablehnte"	3.95673823406
22	38	"beschloss"	0.956484242531
23	38	"Franz"	67.280900137
24	38	"Neubauer"	1.38158835032
25	38	"den"	9841.63424996
26	38	"billigen"	11.0363566446
27	38	"Reiseveranstalter"	0.261602527872
28	38	"zu"	8897.95218113
29	38	"verklagen"	0.842033136587
1	39	"Dass"	5.55087863828
2	39	"der"	26530.3631386
3	39	"Lehrer"	67.387176164
4	39	"den"	9841.63424996
5	39	"Vater"	217.555202241
6	39	"verständigt"	3.62155999522
7	39	"hat"	2369.4648962
8	39	"der"	26530.3631386
9	39	"neue"	350.097758003
10	39	"Schulleiter"	0.817507899599
11	39	"gesagt"	206.584246229
12	39	"nachdem"	104.837213045
13	39	"die"	24520.1275636
14	39	"Zeugnisse"	5.99233290406
15	39	"verteilt"	24.459836356
16	39	"worden"	617.872470517
17	39	"waren"	795.320735204
1	40	"Dass"	5.55087863828
2	40	"der"	26530.3631386
3	40	"Neubau"	6.61363890776
4	40	"den"	9841.63424996
5	40	"Vorort"	2.81222717462
6	40	"verschandelt"	0.28612776486
7	40	"hat"	2369.4648962
8	40	"der"	26530.3631386
9	40	"anwesende"	1.29983756036
10	40	"Architekt"	6.82619096165
11	40	"gemeint"	32.3160872712
12	40	"als"	4153.65136184
13	40	"die"	24520.1275636
14	40	"Einweihungsfeier"	0.114451105944
15	40	"zu"	8897.95218113
16	40	"Ende"	278.320564419
17	40	"war"	3092.73866021
1	41	"Dass"	5.55087863828
2	41	"der"	26530.3631386
3	41	"Verdächtige"	0.53138013474
4	41	"den"	9841.63424996
5	41	"Sachverhalt"	8.5756578668
6	41	"bestreitet"	3.80141173314
7	41	"hat"	2369.4648962
8	41	"der"	26530.3631386
9	41	"eifrige"	2.043769749
10	41	"Reporter"	2.93485335956
11	41	"berichtet"	41.4803508257
12	41	"nachdem"	104.837213045
13	41	"er"	4943.65829569
14	41	"mit"	6389.55999248
15	41	"dem"	5616.24656993
16	41	"Anwalt"	10.0471720861
17	41	"gesprochen"	73.9435895188
18	41	"hatte"	1622.81040626
1	42	"Dass"	5.55087863828
2	42	"der"	26530.3631386
3	42	"Ausschuss"	0.49050473976
4	42	"den"	9841.63424996
5	42	"Bericht"	72.9217046443
6	42	"verfasst"	0.188026816908
7	42	"hat"	2369.4648962
8	42	"der"	26530.3631386
9	42	"korrupte"	0.474154581768
10	42	"Politiker"	30.2396172062
11	42	"erklärt"	132.403579419
12	42	"während"	389.174635604
13	42	"die"	24520.1275636
14	42	"Pressekonferenz"	12.4751705479
15	42	"stattfand"	8.87813578965
1	43	"Dass"	5.55087863828
2	43	"der"	26530.3631386
3	43	"Staatsanwalt"	19.2768362726
4	43	"den"	9841.63424996
5	43	"Fall"	177.227537554
6	43	"bearbeitet"	9.45039131937
7	43	"hat"	2369.4648962
8	43	"der"	26530.3631386
9	43	"windige"	0.49050473976
10	43	"Rechtsanwalt"	22.514167555
11	43	"mitgeteilt"	27.1657875037
12	43	"bevor"	62.2041760805
13	43	"der"	26530.3631386
14	43	"Zeuge"	45.1100858999
15	43	"angehört"	13.0147257616
16	43	"wurde"	1350.62932616
1	44	"Dass"	5.55087863828
2	44	"der"	26530.3631386
3	44	"Mitarbeiter"	31.1961014487
4	44	"den"	9841.63424996
5	44	"Urlaub"	17.8870728432
6	44	"verdient"	29.9207891253
7	44	"hat"	2369.4648962
8	44	"der"	26530.3631386
9	44	"verlässliche"	NA
10	44	"Vorgesetzte"	2.72230130567
11	44	"betont"	44.7013319501
12	44	"als"	4153.65136184
13	44	"er"	4943.65829569
14	44	"dem"	5616.24656993
15	44	"Vorstand"	13.6115065283
16	44	"den"	9841.63424996
17	44	"Bericht"	72.9217046443
18	44	"vorstellte"	3.32725715137
1	45	"Der"	2185.87714719
2	45	"Kanzler"	18.5165539259
3	45	"entlässt"	0.0572255529719
4	45	"den"	9841.63424996
5	45	"Minister"	116.576626483
6	45	"hat"	2369.4648962
7	45	"der"	26530.3631386
8	45	"junge"	96.4904573897
9	45	"Politiker"	30.2396172062
10	45	"gefordert"	25.7596739164
11	45	"als"	4153.65136184
12	45	"die"	24520.1275636
13	45	"Rede"	130.171782853
14	45	"zu"	8897.95218113
15	45	"Ende"	278.320564419
16	45	"war"	3092.73866021
1	46	"Der"	2185.87714719
